dataset,method,n_labeled,n_seeds
adult,embedding_alignment_ssl,50,3
adult,embedding_alignment_ssl,100,3
adult,embedding_alignment_ssl,250,3
adult,embedding_alignment_ssl,500,3
adult,geometric_attention_ssl,50,3
adult,geometric_attention_ssl,100,3
adult,geometric_attention_ssl,250,3
adult,geometric_attention_ssl,500,3
adult,unlabeled_attention_ssl,50,3
adult,unlabeled_attention_ssl,100,3
adult,unlabeled_attention_ssl,250,3
adult,unlabeled_attention_ssl,500,3
jannis,embedding_alignment_ssl,50,3
jannis,embedding_alignment_ssl,100,3
jannis,embedding_alignment_ssl,250,3
jannis,embedding_alignment_ssl,500,3
jannis,geometric_attention_ssl,50,3
jannis,geometric_attention_ssl,100,3
jannis,geometric_attention_ssl,250,3
jannis,geometric_attention_ssl,500,3
jannis,unlabeled_attention_ssl,50,3
jannis,unlabeled_attention_ssl,100,3
jannis,unlabeled_attention_ssl,250,3
jannis,unlabeled_attention_ssl,500,3
