dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
adult,embedding_alignment_ssl,50,3,3,0,1.0,,
adult,embedding_alignment_ssl,100,3,3,0,1.0,,
adult,embedding_alignment_ssl,250,3,3,0,1.0,,
adult,embedding_alignment_ssl,500,3,3,0,1.0,,
adult,geometric_attention_ssl,50,3,3,0,1.0,,
adult,geometric_attention_ssl,100,3,3,0,1.0,,
adult,geometric_attention_ssl,250,3,3,0,1.0,,
adult,geometric_attention_ssl,500,3,3,0,1.0,,
adult,unlabeled_attention_ssl,50,3,3,0,1.0,,
adult,unlabeled_attention_ssl,100,3,3,0,1.0,,
adult,unlabeled_attention_ssl,250,3,3,0,1.0,,
adult,unlabeled_attention_ssl,500,3,3,0,1.0,,
jannis,embedding_alignment_ssl,50,3,3,0,1.0,,
jannis,embedding_alignment_ssl,100,3,3,0,1.0,,
jannis,embedding_alignment_ssl,250,3,3,0,1.0,,
jannis,embedding_alignment_ssl,500,3,3,0,1.0,,
jannis,geometric_attention_ssl,50,3,3,0,1.0,,
jannis,geometric_attention_ssl,100,3,3,0,1.0,,
jannis,geometric_attention_ssl,250,3,3,0,1.0,,
jannis,geometric_attention_ssl,500,3,3,0,1.0,,
jannis,unlabeled_attention_ssl,50,3,3,0,1.0,,
jannis,unlabeled_attention_ssl,100,3,3,0,1.0,,
jannis,unlabeled_attention_ssl,250,3,3,0,1.0,,
jannis,unlabeled_attention_ssl,500,3,3,0,1.0,,
