dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
MagicTelescope,unlabeled_attention_ssl,50,0.7498247458815283,0.018739082983711765,3,0.6916046271141031,0.03418970124143067,3,0.6987903721035159,0.03223570474921138,3,0.6987903721035159,0.03223570474921138,3,0.8038485333772994,0.03427725703226907,3,0.686143345150505,0.08218544559476727,3,0.5236170818325914,0.025275560615504445,3,3.4797999999999996,0.6982083070259186,3,3,3,0,1.0,True,1.0
MagicTelescope,unlabeled_attention_ssl,100,0.7827725201542236,0.00819722920973315,3,0.7504630993469329,0.017436787139267128,3,0.7553085495305948,0.012134143452994704,3,0.7553085495305948,0.012134143452994704,3,0.8377756117982843,0.02029869402149216,3,0.7628300665549256,0.04492818807167977,3,0.5198237619771778,0.07361884404055283,3,3.8809,0.12957237359869597,3,3,3,0,1.0,True,1.0
MagicTelescope,unlabeled_attention_ssl,250,0.8194006309148265,0.008937960042061016,3,0.7789418907303755,0.023516805233231745,3,0.7903372450145798,0.01786807470125475,3,0.7903372450145798,0.01786807470125475,3,0.8696195513593744,0.014708380361706295,3,0.8215718685769922,0.009667189007956664,3,0.43103647511444804,0.015588692993398292,3,3.7840333333333334,0.14425007221257574,3,3,3,0,1.0,True,1.0
MagicTelescope,unlabeled_attention_ssl,500,0.8349982474588153,0.004322244113262698,3,0.8018550038369358,0.012113518296555837,3,0.8118379680582346,0.008010085822857636,3,0.8118379680582346,0.008010085822857636,3,0.8869107151732925,0.007904942510601245,3,0.8388721633546341,0.009812976446956,3,0.41870648119217413,0.013409401853189958,3,5.055933333333333,0.1529086437495716,3,3,3,0,1.0,True,1.0
bank-marketing,embedding_alignment_ssl,50,0.8809760772604962,0.003511474599737887,3,0.5317864624084462,0.05505576788430702,3,0.5184061805800221,0.0856891595293786,3,0.5184061805800221,0.0856891595293786,3,0.5853481973722784,0.20159518334405951,3,0.2019242323009108,0.12166576824727697,3,0.4399935750501687,0.06607596291661119,3,3.6652666666666662,0.1811786503242955,3,3,3,0,1.0,True,1.0
bank-marketing,unlabeled_attention_ssl,100,0.8653839065206975,0.024993011069559132,3,0.6049518848155352,0.09098047452403667,3,0.5943751249310388,0.1100803854976469,3,0.5943751249310388,0.1100803854976469,3,0.781485449048093,0.04407037109372977,3,0.3562225911516494,0.02301999650741957,3,0.40757482134308826,0.1655920518732427,3,4.997966666666667,0.20387178160141106,3,3,3,0,1.0,True,1.0
bank-marketing,unlabeled_attention_ssl,250,0.8753363559290795,0.0068179756543848,3,0.6358690818757129,0.12293673840538683,3,0.6203957645775375,0.13259355948332133,3,0.6203957645775375,0.13259355948332133,3,0.8028091621064859,0.02472319710504747,3,0.3987075661641639,0.06636827399377963,3,0.37695736745704655,0.06445779136442668,3,5.497233333333334,0.48485212522307614,3,3,3,0,1.0,True,1.0
bank-marketing,unlabeled_attention_ssl,500,0.8793173356924324,0.0015690808104827135,3,0.670921099304422,0.008475781439009593,3,0.6841597761635141,0.0048009652303129475,3,0.6841597761635141,0.0048009652303129475,3,0.8027748547114371,0.02035047271470094,3,0.41938232751558235,0.013549248551312313,3,0.6531883648036979,0.08139287828949321,3,6.975933333333333,0.11172131995878537,3,3,3,0,1.0,True,1.0
electricity,unlabeled_attention_ssl,50,0.664680569347898,0.020491243831488457,3,0.6597864089474829,0.014216486838207653,3,0.6562292025666786,0.012972085244757188,3,0.6562292025666786,0.012972085244757188,3,0.7333511566733043,0.016786232466429477,3,0.6824954392672508,0.03611935495395314,3,0.6377609701199662,0.03841905912301573,3,4.534199999999999,0.1917725997112205,3,3,3,0,1.0,True,1.0
electricity,unlabeled_attention_ssl,100,0.6779947772996433,0.08902403693590498,3,0.644822585510505,0.1255653115900035,3,0.6013193264356592,0.20453492613667243,3,0.6013193264356592,0.20453492613667243,3,0.7207599885452235,0.10793407695196269,3,0.6715854973593078,0.1341517215393338,3,0.7147553929095919,0.04638354436429268,3,4.6325,0.14112515721869037,3,3,3,0,1.0,True,1.0
electricity,unlabeled_attention_ssl,250,0.7440141233587113,0.00823410932662727,3,0.7205931002910869,0.01460305290958228,3,0.7242820338396978,0.0153736566930053,3,0.7242820338396978,0.0153736566930053,3,0.8025393442339751,0.015163148892903289,3,0.7669281228260187,0.013212021035176266,3,0.5755337880580202,0.024014323861456785,3,5.6875,0.15416303058775144,3,3,3,0,1.0,True,1.0
electricity,geometric_attention_ssl,500,0.7538710507926,0.007936978820126202,3,0.7394216567035358,0.010771349602828918,3,0.7422186915445611,0.010056131552495356,3,0.7422186915445611,0.010056131552495356,3,0.8183107078241306,0.005117677021669235,3,0.7848736515468699,0.01023274644917359,3,0.5167066276093587,0.011258591224272073,3,14.691933333333333,0.8036321878405163,3,3,3,0,1.0,True,1.0
phoneme,unlabeled_attention_ssl,50,0.7637989515880358,0.027353494953617098,3,0.6984704719749395,0.08396354265366442,3,0.6969828301689741,0.06882470971941587,3,0.6969828301689741,0.06882470971941587,3,0.814452684140695,0.014672908252127819,3,0.5790210525172187,0.015754623104270272,3,0.4809858452975324,0.01067790370633968,3,4.9492,2.8430111906216617,3,3,3,0,1.0,True,1.0
phoneme,unlabeled_attention_ssl,100,0.7733580018501387,0.021871582641141352,3,0.7439922704675707,0.04885169992634405,3,0.7329544779087683,0.03358289022236448,3,0.7329544779087683,0.03358289022236448,3,0.8179430855368556,0.018219206220231397,3,0.6109740568977998,0.016001805216671775,3,0.5108739437903714,0.08035946597626398,3,4.951366666666666,2.9026711186996943,3,3,3,0,1.0,True,1.0
phoneme,unlabeled_attention_ssl,250,0.7897008942337341,0.005260167162883791,3,0.7657054299414779,0.006853183239914831,3,0.7552467595883768,0.001706441924034817,3,0.7552467595883768,0.001706441924034817,3,0.836070876068729,0.015454813019100974,3,0.6203116845704949,0.05250537112767396,3,0.4559589233804478,0.009390495904099582,3,4.058533333333333,0.8486781506161998,3,3,3,0,1.0,True,1.0
phoneme,unlabeled_attention_ssl,500,0.799568300955905,0.016164467988999245,3,0.7748395186108863,0.021798133204732353,3,0.7653412249091147,0.01637892527286804,3,0.7653412249091147,0.01637892527286804,3,0.8666710709586493,0.015748761942092418,3,0.6892300658755524,0.024268863854469896,3,0.431536972930775,0.01883741005026688,3,4.677966666666666,0.676953893063134,3,3,3,0,1.0,True,1.0
satimage,embedding_alignment_ssl,50,0.7594608605495076,0.03811322204808975,3,0.6664463295561038,0.04728889548116434,3,0.6244793034895316,0.06700019585386577,3,0.6244793034895316,0.06700019585386577,3,0.9492728300134058,0.009584879367161117,3,,,0,0.759991158632099,0.05228678240110773,3,3.562,0.27497207130906953,3,3,3,0,1.0,True,1.0
satimage,unlabeled_attention_ssl,100,0.7858994297563505,0.021526225709688505,3,0.6845346567572622,0.038753398604122476,3,0.6502584603579872,0.04573244540317187,3,0.6502584603579872,0.04573244540317187,3,0.939974556758944,0.00997285248231637,3,,,0,0.8126196334779715,0.07454094217178453,3,3.3982666666666668,0.3672076569644665,3,3,3,0,1.0,True,1.0
satimage,unlabeled_attention_ssl,250,0.8128564022809747,0.02557047683802703,3,0.750124335316666,0.024451311598515435,3,0.7398623800425607,0.03114159045135002,3,0.7398623800425607,0.03114159045135002,3,0.9491465136753369,0.010773997984154479,3,,,0,0.5879659011163817,0.0841142073466627,3,3.950066666666667,0.07321648266157937,3,3,3,0,1.0,True,1.0
satimage,unlabeled_attention_ssl,500,0.8434421980300675,0.003506415048851391,3,0.8089412016725411,0.011028578156094395,3,0.8112414855297981,0.007570887253235836,3,0.8112414855297981,0.007570887253235836,3,0.9613479116814085,0.0034368523099138283,3,,,0,0.5645335190358507,0.03344451430562059,3,4.438933333333334,0.38468014418908225,3,3,3,0,1.0,True,1.0
segment,unlabeled_attention_ssl,50,0.6435786435786436,0.019400187099204554,3,0.6435786435786436,0.019400187099204633,3,0.5837449342928213,0.03145216325648355,3,0.5837449342928213,0.03145216325648355,3,0.9215969215969216,0.0313032029521212,3,,,0,1.598109217578987,0.033403839383656694,3,3.587066666666667,0.12534661277167913,3,3,3,0,1.0,True,1.0
segment,unlabeled_attention_ssl,100,0.7041847041847041,0.08914841426307916,3,0.7041847041847041,0.08914841426307915,3,0.6672774646120881,0.11026043908427517,3,0.6672774646120881,0.11026043908427517,3,0.9623853979914586,0.007780378184622308,3,,,0,1.0928739392100149,0.09489284821710023,3,3.6206,0.17302401567412534,3,3,3,0,1.0,True,1.0
segment,unlabeled_attention_ssl,250,0.8759018759018758,0.0033063316702423027,3,0.8759018759018758,0.0033063316702423456,3,0.8752033837529929,0.002880446270722782,3,0.8752033837529929,0.002880446270722782,3,0.9786920430859825,0.0007842079515057809,3,,,0,0.4159846780648692,0.03333781367990221,3,3.395,0.07294134629961237,3,3,3,0,1.0,True,1.0
segment,unlabeled_attention_ssl,500,0.924963924963925,0.01762884808495035,3,0.924963924963925,0.01762884808495035,3,0.9248827271475314,0.017363963085781677,3,0.9248827271475314,0.017363963085781677,3,0.986797994373752,0.00773463863383073,3,,,0,0.30373549399674576,0.08448382054004909,3,4.4261,0.11167470617825712,3,3,3,0,1.0,True,1.0
spambase,unlabeled_attention_ssl,50,0.8534201954397395,0.024544309566682562,3,0.8461397948201467,0.035091495850954633,3,0.8458037985515423,0.02910665881154201,3,0.8458037985515423,0.02910665881154201,3,0.9166938199196264,0.02169632917140869,3,0.876055284551429,0.0430674982571196,3,0.36974277185988447,0.045763568749491015,3,3.249633333333333,0.40707744144490915,3,3,3,0,1.0,True,1.0
spambase,unlabeled_attention_ssl,100,0.8646398841838581,0.010983706771982174,3,0.8650261164923921,0.013922828471969063,3,0.8598393800833241,0.011461693468449514,3,0.8598393800833241,0.011461693468449514,3,0.9305798289180497,0.015211118611257636,3,0.8868482283924942,0.016681828109747766,3,0.5449621486437267,0.05457789894207314,3,3.5768,0.12021634664220997,3,3,3,0,1.0,True,1.0
spambase,unlabeled_attention_ssl,250,0.8939558450959102,0.008003381971587403,3,0.8951563533674971,0.006935591257106567,3,0.8902345642697886,0.0078079698599804,3,0.8902345642697886,0.0078079698599804,3,0.9422738298593627,0.008214592328794987,3,0.9178220894756667,0.015022688581013806,3,0.5319797812839387,0.055046596864840404,3,3.9317333333333333,0.05335881682846192,3,3,3,0,1.0,True,1.0
spambase,geometric_attention_ssl,500,0.9153094462540716,0.003914822231774149,3,0.9140624228600768,0.004740728310276845,3,0.9117920588667956,0.004069008162499686,3,0.9117920588667956,0.004069008162499686,3,0.9581362665429136,0.006332580409045954,3,0.9140369346291735,0.022280833959136784,3,0.26373816288850466,0.012195892078768096,3,10.203233333333333,1.0322375372622978,3,3,3,0,1.0,True,1.0
steel-plates-fault,embedding_alignment_ssl,50,0.5038560411311054,0.0378686885929466,3,0.34550463247727237,0.048404066389350894,3,0.3339128103035507,0.057115634302127335,3,0.3339128103035507,0.057115634302127335,3,0.8369578756399307,0.025692139928316496,3,,,0,1.3964648236244326,0.14156515942844716,3,3.384066666666667,0.11557726131611412,3,3,3,0,1.0,True,1.0
steel-plates-fault,embedding_alignment_ssl,100,0.5329905741216795,0.037459285337436796,3,0.3663249070308385,0.06069184549531759,3,0.34843956777930823,0.06972763483947655,3,0.34843956777930823,0.06972763483947655,3,0.8645091862784963,0.019813507439232242,3,,,0,1.3291139777652996,0.05609302777737232,3,3.325466666666667,0.11565903913371142,3,3,3,0,1.0,True,1.0
steel-plates-fault,unlabeled_attention_ssl,250,0.5775492716366752,0.03490216256112481,3,0.4433977058246064,0.08161819320033946,3,0.4463573087674395,0.09295442271937739,3,0.4463573087674395,0.09295442271937739,3,0.8702160639574461,0.015830358694036584,3,,,0,1.106793256492204,0.11091758846012703,3,3.8329,0.22913018133803334,3,3,3,0,1.0,True,1.0
steel-plates-fault,unlabeled_attention_ssl,500,0.6829477292202228,0.028199627543966318,3,0.6865391081504281,0.03666209028037246,3,0.6901030439481758,0.035407437212605426,3,0.6901030439481758,0.035407437212605426,3,0.9174326347164324,0.014510592529767047,3,,,0,0.9762780513355223,0.16986976894139605,3,4.0202333333333335,0.19289267309396008,3,3,3,0,1.0,True,1.0
