dataset,method,n_labeled,n_seeds
MagicTelescope,embedding_alignment_ssl,50,3
MagicTelescope,embedding_alignment_ssl,100,3
MagicTelescope,embedding_alignment_ssl,250,3
MagicTelescope,embedding_alignment_ssl,500,3
MagicTelescope,geometric_attention_ssl,50,3
MagicTelescope,geometric_attention_ssl,100,3
MagicTelescope,geometric_attention_ssl,250,3
MagicTelescope,geometric_attention_ssl,500,3
MagicTelescope,unlabeled_attention_ssl,50,3
MagicTelescope,unlabeled_attention_ssl,100,3
MagicTelescope,unlabeled_attention_ssl,250,3
MagicTelescope,unlabeled_attention_ssl,500,3
bank-marketing,embedding_alignment_ssl,50,3
bank-marketing,embedding_alignment_ssl,100,3
bank-marketing,embedding_alignment_ssl,250,3
bank-marketing,embedding_alignment_ssl,500,3
bank-marketing,geometric_attention_ssl,50,3
bank-marketing,geometric_attention_ssl,100,3
bank-marketing,geometric_attention_ssl,250,3
bank-marketing,geometric_attention_ssl,500,3
bank-marketing,unlabeled_attention_ssl,50,3
bank-marketing,unlabeled_attention_ssl,100,3
bank-marketing,unlabeled_attention_ssl,250,3
bank-marketing,unlabeled_attention_ssl,500,3
electricity,embedding_alignment_ssl,50,3
electricity,embedding_alignment_ssl,100,3
electricity,embedding_alignment_ssl,250,3
electricity,embedding_alignment_ssl,500,3
electricity,geometric_attention_ssl,50,3
electricity,geometric_attention_ssl,100,3
electricity,geometric_attention_ssl,250,3
electricity,geometric_attention_ssl,500,3
electricity,unlabeled_attention_ssl,50,3
electricity,unlabeled_attention_ssl,100,3
electricity,unlabeled_attention_ssl,250,3
electricity,unlabeled_attention_ssl,500,3
phoneme,embedding_alignment_ssl,50,3
phoneme,embedding_alignment_ssl,100,3
phoneme,embedding_alignment_ssl,250,3
phoneme,embedding_alignment_ssl,500,3
phoneme,geometric_attention_ssl,50,3
phoneme,geometric_attention_ssl,100,3
phoneme,geometric_attention_ssl,250,3
phoneme,geometric_attention_ssl,500,3
phoneme,unlabeled_attention_ssl,50,3
phoneme,unlabeled_attention_ssl,100,3
phoneme,unlabeled_attention_ssl,250,3
phoneme,unlabeled_attention_ssl,500,3
satimage,embedding_alignment_ssl,50,3
satimage,embedding_alignment_ssl,100,3
satimage,embedding_alignment_ssl,250,3
satimage,embedding_alignment_ssl,500,3
satimage,geometric_attention_ssl,50,3
satimage,geometric_attention_ssl,100,3
satimage,geometric_attention_ssl,250,3
satimage,geometric_attention_ssl,500,3
satimage,unlabeled_attention_ssl,50,3
satimage,unlabeled_attention_ssl,100,3
satimage,unlabeled_attention_ssl,250,3
satimage,unlabeled_attention_ssl,500,3
segment,embedding_alignment_ssl,50,3
segment,embedding_alignment_ssl,100,3
segment,embedding_alignment_ssl,250,3
segment,embedding_alignment_ssl,500,3
segment,geometric_attention_ssl,50,3
segment,geometric_attention_ssl,100,3
segment,geometric_attention_ssl,250,3
segment,geometric_attention_ssl,500,3
segment,unlabeled_attention_ssl,50,3
segment,unlabeled_attention_ssl,100,3
segment,unlabeled_attention_ssl,250,3
segment,unlabeled_attention_ssl,500,3
spambase,embedding_alignment_ssl,50,3
spambase,embedding_alignment_ssl,100,3
spambase,embedding_alignment_ssl,250,3
spambase,embedding_alignment_ssl,500,3
spambase,geometric_attention_ssl,50,3
spambase,geometric_attention_ssl,100,3
spambase,geometric_attention_ssl,250,3
spambase,geometric_attention_ssl,500,3
spambase,unlabeled_attention_ssl,50,3
spambase,unlabeled_attention_ssl,100,3
spambase,unlabeled_attention_ssl,250,3
spambase,unlabeled_attention_ssl,500,3
steel-plates-fault,embedding_alignment_ssl,50,3
steel-plates-fault,embedding_alignment_ssl,100,3
steel-plates-fault,embedding_alignment_ssl,250,3
steel-plates-fault,embedding_alignment_ssl,500,3
steel-plates-fault,geometric_attention_ssl,50,3
steel-plates-fault,geometric_attention_ssl,100,3
steel-plates-fault,geometric_attention_ssl,250,3
steel-plates-fault,geometric_attention_ssl,500,3
steel-plates-fault,unlabeled_attention_ssl,50,3
steel-plates-fault,unlabeled_attention_ssl,100,3
steel-plates-fault,unlabeled_attention_ssl,250,3
steel-plates-fault,unlabeled_attention_ssl,500,3
