dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy,ranking_warning
MagicTelescope,unlabeled_attention_ssl,50,0.7498247458815283,0.018739082983711765,3,0.6916046271141031,0.03418970124143067,3,0.6987903721035159,0.03223570474921138,3,0.6987903721035159,0.03223570474921138,3,0.8038485333772994,0.03427725703226907,3,0.686143345150505,0.08218544559476727,3,0.5236170818325914,0.025275560615504445,3,3.4797999999999996,0.6982083070259186,3,3,3,0,1.0,True,1.0,
MagicTelescope,geometric_attention_ssl,50,0.6492288818787241,0.0014478366317786625,3,0.5015411388607028,0.0023531337794719955,3,0.396947188702137,0.005628102519178102,3,0.396947188702137,0.005628102519178102,3,0.6588870219438777,0.1196749954999496,3,0.5100850226221579,0.10633196542152192,3,0.6371662955810914,0.019363399693169026,3,5.599733333333333,0.06900828452681126,3,3,3,0,1.0,True,2.0,
MagicTelescope,embedding_alignment_ssl,50,0.49018576936558006,0.1980851684564125,3,0.488555869541762,0.10149918010089955,3,0.440176843863346,0.1626703479090395,3,0.440176843863346,0.1626703479090395,3,0.4882649170724847,0.11196963252776948,3,0.4257994622129839,0.11271476591521754,3,0.7159682098453554,0.060616247073771015,3,3.1448,0.43750012571426766,3,3,3,0,1.0,True,3.0,
MagicTelescope,unlabeled_attention_ssl,100,0.7827725201542236,0.00819722920973315,3,0.7504630993469329,0.017436787139267128,3,0.7553085495305948,0.012134143452994704,3,0.7553085495305948,0.012134143452994704,3,0.8377756117982843,0.02029869402149216,3,0.7628300665549256,0.04492818807167977,3,0.5198237619771778,0.07361884404055283,3,3.8809,0.12957237359869597,3,3,3,0,1.0,True,1.0,
MagicTelescope,geometric_attention_ssl,100,0.7301086575534526,0.06204014358928301,3,0.6436353541194627,0.11240756560649012,3,0.6206887668458999,0.17052256583693132,3,0.6206887668458999,0.17052256583693132,3,0.7456095474436389,0.07708827276224042,3,0.6679121579361053,0.07266497037812675,3,0.580625090695304,0.04445595224611517,3,6.8384,0.4087285529541582,3,3,3,0,1.0,True,2.0,
MagicTelescope,embedding_alignment_ssl,100,0.6134770417104801,0.11208740877862845,3,0.5320268961311807,0.049782677641545876,3,0.49598752185458994,0.0669384146452286,3,0.49598752185458994,0.0669384146452286,3,0.5956601206402086,0.08171665913872148,3,0.5195742915703844,0.05825256746856748,3,0.6691132150096276,0.03141382612749223,3,3.4987333333333335,0.28119648527912544,3,3,3,0,1.0,True,3.0,
MagicTelescope,unlabeled_attention_ssl,250,0.8194006309148265,0.008937960042061016,3,0.7789418907303755,0.023516805233231745,3,0.7903372450145798,0.01786807470125475,3,0.7903372450145798,0.01786807470125475,3,0.8696195513593744,0.014708380361706295,3,0.8215718685769922,0.009667189007956664,3,0.43103647511444804,0.015588692993398292,3,3.7840333333333334,0.14425007221257574,3,3,3,0,1.0,True,1.0,
MagicTelescope,geometric_attention_ssl,250,0.8054679284963197,0.016110992056829216,3,0.758623406883693,0.01928628277039928,3,0.7719750479347945,0.01995748177574507,3,0.7719750479347945,0.01995748177574507,3,0.8416855381671046,0.028216217445263946,3,0.7907200918837286,0.031972793251927104,3,0.45447891773414534,0.028451985135398723,3,8.0056,0.29775834161279147,3,3,3,0,1.0,True,2.0,
MagicTelescope,embedding_alignment_ssl,250,0.6850683491062041,0.1721125049819723,3,0.6541938979993381,0.1459049323813403,3,0.6568354171825931,0.15732334491593733,3,0.6568354171825931,0.15732334491593733,3,0.7004913055724268,0.16747436338555743,3,0.6560899751212818,0.17966966334685033,3,0.5905233051242755,0.0941568204039439,3,3.2992333333333335,0.5122902432540887,3,3,3,0,1.0,True,3.0,
MagicTelescope,unlabeled_attention_ssl,500,0.8349982474588153,0.004322244113262698,3,0.8018550038369358,0.012113518296555837,3,0.8118379680582346,0.008010085822857636,3,0.8118379680582346,0.008010085822857636,3,0.8869107151732925,0.007904942510601245,3,0.8388721633546341,0.009812976446956,3,0.41870648119217413,0.013409401853189958,3,5.055933333333333,0.1529086437495716,3,3,3,0,1.0,True,1.0,
MagicTelescope,geometric_attention_ssl,500,0.815019277953032,0.021397515931948465,3,0.7743660570000133,0.031309747687593356,3,0.7857868197382807,0.028964508995225905,3,0.7857868197382807,0.028964508995225905,3,0.8717865411045121,0.021222191918694466,3,0.8176064991016722,0.024731055054774218,3,0.4309173240632327,0.039724261981927904,3,10.3475,1.7932754417545562,3,3,3,0,1.0,True,2.0,
MagicTelescope,embedding_alignment_ssl,500,0.7676130389064143,0.020323622505478894,3,0.7499954538676675,0.008178163343033389,3,0.7475038351354893,0.015345569948920567,3,0.7475038351354893,0.015345569948920567,3,0.8252705150788137,0.018653648065588273,3,0.7668258507530794,0.012485256240152048,3,0.5420878668077972,0.027869312763512257,3,3.5782000000000003,0.17104756648371255,3,3,3,0,1.0,True,3.0,
bank-marketing,embedding_alignment_ssl,50,0.8809760772604962,0.003511474599737887,3,0.5317864624084462,0.05505576788430702,3,0.5184061805800221,0.0856891595293786,3,0.5184061805800221,0.0856891595293786,3,0.5853481973722784,0.20159518334405951,3,0.2019242323009108,0.12166576824727697,3,0.4399935750501687,0.06607596291661119,3,3.6652666666666662,0.1811786503242955,3,3,3,0,1.0,True,1.0,
bank-marketing,unlabeled_attention_ssl,50,0.8675955619447824,0.026687206958007685,3,0.5171035680874545,0.029624248918184822,3,0.49811434780592756,0.05054267418595552,3,0.49811434780592756,0.05054267418595552,3,0.650260629669919,0.22632059999047383,3,0.24361300595085866,0.1541770831671499,3,0.3533824496831181,0.06413151207296888,3,4.861,0.2069265811827958,3,3,3,0,1.0,True,2.0,
bank-marketing,geometric_attention_ssl,50,0.8830034280659073,0.0,3,0.5,0.0,3,0.4689335212591026,0.0,3,0.4689335212591026,0.0,3,0.540613524334182,0.015062858693596996,3,0.13172142097874553,0.0061944593403289085,3,0.38336899356088855,0.007383431245532456,3,8.0834,0.1466611400473904,3,3,3,0,1.0,True,3.0,
bank-marketing,unlabeled_attention_ssl,100,0.8653839065206975,0.024993011069559132,3,0.6049518848155352,0.09098047452403667,3,0.5943751249310388,0.1100803854976469,3,0.5943751249310388,0.1100803854976469,3,0.781485449048093,0.04407037109372977,3,0.3562225911516494,0.02301999650741957,3,0.40757482134308826,0.1655920518732427,3,4.997966666666667,0.20387178160141106,3,3,3,0,1.0,True,1.0,
bank-marketing,embedding_alignment_ssl,100,0.875557521471488,0.012896688529946342,3,0.5507200607313887,0.08784972214974428,3,0.53110451688751,0.1076833231855442,3,0.53110451688751,0.1076833231855442,3,0.7186033279948738,0.1031494494336351,3,0.2876639729813037,0.08055373791936458,3,0.4197392606353208,0.12441772115148443,3,3.8821333333333334,0.0696132410776378,3,3,3,0,1.0,True,2.0,
bank-marketing,geometric_attention_ssl,100,0.8830034280659073,0.0,3,0.5,0.0,3,0.4689335212591026,0.0,3,0.4689335212591026,0.0,3,0.6781138153256006,0.08467062423479729,3,0.22941347528525946,0.07046936361939968,3,0.34817486809005666,0.008934919354778924,3,9.4252,0.31628615208383704,3,3,3,0,1.0,True,3.0,
