method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
embedding_alignment_ssl,50,0.6772300324276935,0.15704290379678718,24,0.5845303023082561,0.14401865309423503,24,0.5555555804078084,0.1623134036193988,24,0.5555555804078084,0.1623134036193988,24,0.7631199808866905,0.1848376446883569,24,0.5174118297925238,0.23740224605399465,15,0.7719299500149188,0.35211443593787384,24,3.4159333333333333,0.2356858403941969,24
embedding_alignment_ssl,100,0.7053918622986887,0.12797206935376856,24,0.6040784172086231,0.14344117670376932,24,0.5717129735712884,0.16101427962525688,24,0.5717129735712884,0.16101427962525688,24,0.8009686111566654,0.1611720080604742,24,0.5610933694600362,0.2154931746932906,15,0.7340101851578509,0.33861952869340456,24,3.4447125,0.25991758946869564,24
embedding_alignment_ssl,250,0.7197419055341641,0.13624452220092304,24,0.6140175394586413,0.17293513181149234,24,0.5856090437075575,0.19255205688932714,24,0.5856090437075575,0.19255205688932714,24,0.8200009863612242,0.1532288688400245,24,0.5995567568634032,0.22542731722016218,15,0.7081083609231004,0.32596866611719777,24,3.4357333333333333,0.31359713378607346,24
embedding_alignment_ssl,500,0.7283171490934047,0.12852805363311307,24,0.6234313144626442,0.17589898946244195,24,0.5945658788854354,0.19769193096460455,24,0.5945658788854354,0.19769193096460455,24,0.8304692211822506,0.14604393292351664,24,0.6172527492511584,0.22682256591078367,15,0.6963900450229789,0.318848488864821,24,3.4876083333333336,0.2008311597092068,24
geometric_attention_ssl,50,0.6516315304165435,0.1313738720066417,24,0.5036756337669998,0.12328004943392087,24,0.44129344691408384,0.13788750459072996,24,0.44129344691408384,0.13788750459072996,24,0.7635563379424664,0.12645828614559615,24,0.541924809536599,0.2454896373527343,15,0.9464337733526307,0.5239634230249622,24,6.027758333333334,1.7314602555211236,24
geometric_attention_ssl,100,0.6994164654739632,0.14413435014172157,24,0.5861009667116029,0.1770896488723043,24,0.5456192835932071,0.2032395789801498,24,0.5456192835932071,0.2032395789801498,24,0.816853460764718,0.09507458068073485,24,0.6120261341819891,0.22358814412970449,15,0.7531618490835502,0.3982986984472182,24,7.0168875,1.7511312009328246,24
geometric_attention_ssl,250,0.7753000028611644,0.10940910856374889,24,0.6755894289152783,0.17525053433770188,24,0.6649327125494257,0.1825981146294842,24,0.6649327125494257,0.1825981146294842,24,0.8734411264248547,0.06937237957479576,24,0.6884567406483568,0.17813080983658794,15,0.5638688933978778,0.27910438384698866,24,8.6902375,1.7986748703982531,24
geometric_attention_ssl,500,0.8143621783012325,0.08284895220489893,24,0.736970733475863,0.13045679990046002,24,0.7399054121792482,0.12908118823963763,24,0.7399054121792482,0.12908118823963763,24,0.9025864153343822,0.05859436672231651,24,0.7265691168295283,0.1651748050144119,15,0.45531930051070857,0.20524488968986815,24,11.458758333333334,2.0226475580969026,24
unlabeled_attention_ssl,50,0.7245137545506708,0.10839977380729766,24,0.6168574057160634,0.15838206991073223,24,0.5955413879836472,0.17070670575969063,24,0.5955413879836472,0.17070670575969063,24,0.827720803328955,0.11710092849870837,24,0.6134656254874523,0.2265894562345659,15,0.8511766190503197,0.5111608416347432,24,3.9122,1.1257369416249656,24
unlabeled_attention_ssl,100,0.7461536174324337,0.11657987654120097,24,0.6607726687781724,0.1716750367189132,24,0.6395767752722042,0.18744858190332736,24,0.6395767752722042,0.18744858190332736,24,0.8555806051789845,0.08812524548966981,24,0.6576920880712352,0.19135549298573018,15,0.7365914004815671,0.30683116279465333,24,4.0892333333333335,1.1033278466083636,24
unlabeled_attention_ssl,250,0.7985894249189734,0.09888123602962494,24,0.7332112216561623,0.14407579721701216,24,0.7302399299816217,0.14544339859857608,24,0.7302399299816217,0.14544339859857608,24,0.8814209230433366,0.06622997727989924,24,0.7050682663226673,0.19019237284166554,15,0.5602762713709195,0.2288572805135065,24,4.267125,0.8607615097918417,24
unlabeled_attention_ssl,500,0.8249050228078681,0.08022434444053662,24,0.7865778802824437,0.08937204183403542,24,0.7887963261048352,0.08671279132350783,24,0.7887963261048352,0.08671279132350783,24,0.8977420028734543,0.0672288693183438,24,0.7295122376975919,0.18104554304974324,15,0.5582093833061325,0.20798745706445848,24,5.0502125,1.1095794355295163,24
