dataset,method,n_labeled,n_seeds
adult,laplacian_ssl,50,3
adult,laplacian_ssl,100,3
adult,laplacian_ssl,250,3
adult,laplacian_ssl,500,3
adult,tabiclv2_self_training,50,3
adult,tabiclv2_self_training,100,3
adult,tabiclv2_self_training,250,3
adult,tabiclv2_self_training,500,3
adult,tabpfn3_self_training,50,3
adult,tabpfn3_self_training,100,3
adult,tabpfn3_self_training,250,3
adult,tabpfn3_self_training,500,3
jannis,laplacian_ssl,50,3
jannis,laplacian_ssl,100,3
jannis,laplacian_ssl,250,3
jannis,laplacian_ssl,500,3
jannis,tabiclv2_self_training,50,3
jannis,tabiclv2_self_training,100,3
jannis,tabiclv2_self_training,250,3
jannis,tabiclv2_self_training,500,3
jannis,tabpfn3_self_training,50,3
jannis,tabpfn3_self_training,100,3
jannis,tabpfn3_self_training,250,3
jannis,tabpfn3_self_training,500,3
