dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
adult,laplacian_ssl,50,3,3,0,1.0,,
adult,laplacian_ssl,100,3,3,0,1.0,,
adult,laplacian_ssl,250,3,3,0,1.0,,
adult,laplacian_ssl,500,3,3,0,1.0,,
adult,tabiclv2_self_training,50,3,3,0,1.0,,
adult,tabiclv2_self_training,100,3,3,0,1.0,,
adult,tabiclv2_self_training,250,3,3,0,1.0,,
adult,tabiclv2_self_training,500,3,3,0,1.0,,
adult,tabpfn3_self_training,50,3,3,0,1.0,,
adult,tabpfn3_self_training,100,3,3,0,1.0,,
adult,tabpfn3_self_training,250,3,3,0,1.0,,
adult,tabpfn3_self_training,500,3,3,0,1.0,,
jannis,laplacian_ssl,50,3,3,0,1.0,,
jannis,laplacian_ssl,100,3,3,0,1.0,,
jannis,laplacian_ssl,250,3,3,0,1.0,,
jannis,laplacian_ssl,500,3,3,0,1.0,,
jannis,tabiclv2_self_training,50,3,3,0,1.0,,
jannis,tabiclv2_self_training,100,3,3,0,1.0,,
jannis,tabiclv2_self_training,250,3,3,0,1.0,,
jannis,tabiclv2_self_training,500,3,3,0,1.0,,
jannis,tabpfn3_self_training,50,3,3,0,1.0,,
jannis,tabpfn3_self_training,100,3,3,0,1.0,,
jannis,tabpfn3_self_training,250,3,3,0,1.0,,
jannis,tabpfn3_self_training,500,3,3,0,1.0,,
