dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
adult,laplacian_ssl,50,0.7630258982495649,0.004077916733962972,3,0.5049187339606501,0.008519497128760508,3,0.44217039495536326,0.01755522041872323,3,0.44217039495536326,0.01755522041872323,3,0.7717528013738176,0.08713630103263814,3,0.5406023386267212,0.13231009301345054,3,0.5065021526366246,0.052262504786963544,3,8.4725,0.670496331086158,3,3,3,0,1.0,True
adult,laplacian_ssl,100,0.765107312246221,0.005614523039514207,3,0.5093648947946812,0.011681873183201396,3,0.45125274845037083,0.023652952675819645,3,0.45125274845037083,0.023652952675819645,3,0.8565387824040482,0.01377730491044489,3,0.6647655769011639,0.03477853774108979,3,0.43794329078911504,0.01277775741242612,3,9.406766666666668,0.1264087154168309,3,3,3,0,1.0,True
adult,laplacian_ssl,250,0.8044835704780429,0.035132994044393,3,0.6349654824576197,0.11903422861120998,3,0.627780461228619,0.16032600168924294,3,0.627780461228619,0.16032600168924294,3,0.8785870211247152,0.008486451788659175,3,0.6924369967842109,0.023879649662867923,3,0.37941553481375623,0.00706223741743421,3,10.820033333333333,0.05344289787552104,3,3,3,0,1.0,True
adult,laplacian_ssl,500,0.8384345037021873,0.0031003696568329604,3,0.7483521623918666,0.018738810169796363,3,0.7630735312467148,0.01080396852989347,3,0.7630735312467148,0.01080396852989347,3,0.8885834172054223,0.005949827279499889,3,0.7172668590717418,0.019278723343393218,3,0.3507570813509345,0.010390400829034469,3,15.293999999999999,1.0914310376748502,3,3,3,0,1.0,True
adult,tabiclv2_self_training,50,0.7818609888422561,0.022982396653112677,3,0.6890820412350221,0.01606188717143987,3,0.6930805184970893,0.017778090410478793,3,0.6930805184970893,0.017778090410478793,3,0.8158014286516266,0.010843336443169036,3,0.5893542899101517,0.024474661674390802,3,0.47830995024356326,0.01877623546979511,3,10.351566666666667,1.5530043346151143,3,3,3,0,1.0,True
adult,tabiclv2_self_training,100,0.82427406421674,0.004336121601088637,3,0.7297125379362198,0.003132450659586347,3,0.7432077354608433,0.001914814047117261,3,0.7432077354608433,0.001914814047117261,3,0.8628990457096458,0.013219622702279214,3,0.6780316036141009,0.016448925115142968,3,0.3928899656977914,0.03787170849864065,3,12.089233333333333,0.3999344612975152,3,3,3,0,1.0,True
adult,tabiclv2_self_training,250,0.830723035452281,0.0133879986924031,3,0.7282352168991889,0.030399493221327352,3,0.7456084780085747,0.024644937779176538,3,0.7456084780085747,0.024644937779176538,3,0.878340863306741,0.008258311364776137,3,0.690659172567397,0.037305165808800896,3,0.36549357289146917,0.014708480503160058,3,11.554066666666666,0.30863404435242364,3,3,3,0,1.0,True
adult,tabiclv2_self_training,500,0.8446787456921555,0.005205855857589364,3,0.7513328687991877,0.0010195320642090778,3,0.7696544521889724,0.0037875270142740725,3,0.7696544521889724,0.0037875270142740725,3,0.8955469302470093,0.002762051678453916,3,0.7404288823191708,0.010204294417045725,3,0.33859175612517506,0.00730836784916197,3,12.440533333333335,0.33253433406692495,3,3,3,0,1.0,True
adult,tabpfn3_self_training,50,0.7845907121165592,0.02245155907574855,3,0.6522300958188972,0.10823523128427488,3,0.6393758900625585,0.1293510301120482,3,0.6393758900625585,0.1293510301120482,3,0.837958289545829,0.016249035165283403,3,0.6258328229071901,0.038161817658707624,3,0.4448375890157901,0.031590664321516,3,16.372366666666668,3.4823988303084037,3,3,3,0,1.0,True
adult,tabpfn3_self_training,100,0.8258777766403931,0.006319305695178844,3,0.7276398046899836,0.012852084424088838,3,0.742927430806208,0.011112050727093621,3,0.742927430806208,0.011112050727093621,3,0.8587577617896068,0.01801765503468936,3,0.6731822691163566,0.0300460681573938,3,0.4115353607027951,0.05632047546204139,3,17.892066666666665,1.5436148558929235,3,3,3,0,1.0,True
