dataset,method,n_labeled,n_seeds
MagicTelescope,laplacian_ssl,50,3
MagicTelescope,laplacian_ssl,100,3
MagicTelescope,laplacian_ssl,250,3
MagicTelescope,laplacian_ssl,500,3
MagicTelescope,tabiclv2_self_training,50,3
MagicTelescope,tabiclv2_self_training,100,3
MagicTelescope,tabiclv2_self_training,250,3
MagicTelescope,tabiclv2_self_training,500,3
MagicTelescope,tabpfn3_self_training,50,3
MagicTelescope,tabpfn3_self_training,100,3
MagicTelescope,tabpfn3_self_training,250,3
MagicTelescope,tabpfn3_self_training,500,3
bank-marketing,laplacian_ssl,50,3
bank-marketing,laplacian_ssl,100,3
bank-marketing,laplacian_ssl,250,3
bank-marketing,laplacian_ssl,500,3
bank-marketing,tabiclv2_self_training,50,3
bank-marketing,tabiclv2_self_training,100,3
bank-marketing,tabiclv2_self_training,250,3
bank-marketing,tabiclv2_self_training,500,3
bank-marketing,tabpfn3_self_training,50,3
bank-marketing,tabpfn3_self_training,100,3
bank-marketing,tabpfn3_self_training,250,3
bank-marketing,tabpfn3_self_training,500,3
electricity,laplacian_ssl,50,3
electricity,laplacian_ssl,100,3
electricity,laplacian_ssl,250,3
electricity,laplacian_ssl,500,3
electricity,tabiclv2_self_training,50,3
electricity,tabiclv2_self_training,100,3
electricity,tabiclv2_self_training,250,3
electricity,tabiclv2_self_training,500,3
electricity,tabpfn3_self_training,50,3
electricity,tabpfn3_self_training,100,3
electricity,tabpfn3_self_training,250,3
electricity,tabpfn3_self_training,500,3
phoneme,laplacian_ssl,50,3
phoneme,laplacian_ssl,100,3
phoneme,laplacian_ssl,250,3
phoneme,laplacian_ssl,500,3
phoneme,tabiclv2_self_training,50,3
phoneme,tabiclv2_self_training,100,3
phoneme,tabiclv2_self_training,250,3
phoneme,tabiclv2_self_training,500,3
phoneme,tabpfn3_self_training,50,3
phoneme,tabpfn3_self_training,100,3
phoneme,tabpfn3_self_training,250,3
phoneme,tabpfn3_self_training,500,3
satimage,laplacian_ssl,50,3
satimage,laplacian_ssl,100,3
satimage,laplacian_ssl,250,3
satimage,laplacian_ssl,500,3
satimage,tabiclv2_self_training,50,3
satimage,tabiclv2_self_training,100,3
satimage,tabiclv2_self_training,250,3
satimage,tabiclv2_self_training,500,3
satimage,tabpfn3_self_training,50,3
satimage,tabpfn3_self_training,100,3
satimage,tabpfn3_self_training,250,3
satimage,tabpfn3_self_training,500,3
segment,laplacian_ssl,50,3
segment,laplacian_ssl,100,3
segment,laplacian_ssl,250,3
segment,laplacian_ssl,500,3
segment,tabiclv2_self_training,50,3
segment,tabiclv2_self_training,100,3
segment,tabiclv2_self_training,250,3
segment,tabiclv2_self_training,500,3
segment,tabpfn3_self_training,50,3
segment,tabpfn3_self_training,100,3
segment,tabpfn3_self_training,250,3
segment,tabpfn3_self_training,500,3
spambase,laplacian_ssl,50,3
spambase,laplacian_ssl,100,3
spambase,laplacian_ssl,250,3
spambase,laplacian_ssl,500,3
spambase,tabiclv2_self_training,50,3
spambase,tabiclv2_self_training,100,3
spambase,tabiclv2_self_training,250,3
spambase,tabiclv2_self_training,500,3
spambase,tabpfn3_self_training,50,3
spambase,tabpfn3_self_training,100,3
spambase,tabpfn3_self_training,250,3
spambase,tabpfn3_self_training,500,3
steel-plates-fault,laplacian_ssl,50,3
steel-plates-fault,laplacian_ssl,100,3
steel-plates-fault,laplacian_ssl,250,3
steel-plates-fault,laplacian_ssl,500,3
steel-plates-fault,tabiclv2_self_training,50,3
steel-plates-fault,tabiclv2_self_training,100,3
steel-plates-fault,tabiclv2_self_training,250,3
steel-plates-fault,tabiclv2_self_training,500,3
steel-plates-fault,tabpfn3_self_training,50,3
steel-plates-fault,tabpfn3_self_training,100,3
steel-plates-fault,tabpfn3_self_training,250,3
steel-plates-fault,tabpfn3_self_training,500,3
