dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
MagicTelescope,laplacian_ssl,50,3,3,0,1.0,,
MagicTelescope,laplacian_ssl,100,3,3,0,1.0,,
MagicTelescope,laplacian_ssl,250,3,3,0,1.0,,
MagicTelescope,laplacian_ssl,500,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,50,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,100,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,250,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,500,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,50,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,100,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,250,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,500,3,3,0,1.0,,
bank-marketing,laplacian_ssl,50,3,3,0,1.0,,
bank-marketing,laplacian_ssl,100,3,3,0,1.0,,
bank-marketing,laplacian_ssl,250,3,3,0,1.0,,
bank-marketing,laplacian_ssl,500,3,3,0,1.0,,
bank-marketing,tabiclv2_self_training,50,3,3,0,1.0,,
bank-marketing,tabiclv2_self_training,100,3,3,0,1.0,,
bank-marketing,tabiclv2_self_training,250,3,3,0,1.0,,
bank-marketing,tabiclv2_self_training,500,3,3,0,1.0,,
bank-marketing,tabpfn3_self_training,50,3,3,0,1.0,,
bank-marketing,tabpfn3_self_training,100,3,3,0,1.0,,
bank-marketing,tabpfn3_self_training,250,3,3,0,1.0,,
bank-marketing,tabpfn3_self_training,500,3,3,0,1.0,,
electricity,laplacian_ssl,50,3,3,0,1.0,,
electricity,laplacian_ssl,100,3,3,0,1.0,,
electricity,laplacian_ssl,250,3,3,0,1.0,,
electricity,laplacian_ssl,500,3,3,0,1.0,,
electricity,tabiclv2_self_training,50,3,3,0,1.0,,
electricity,tabiclv2_self_training,100,3,3,0,1.0,,
electricity,tabiclv2_self_training,250,3,3,0,1.0,,
electricity,tabiclv2_self_training,500,3,3,0,1.0,,
electricity,tabpfn3_self_training,50,3,3,0,1.0,,
electricity,tabpfn3_self_training,100,3,3,0,1.0,,
electricity,tabpfn3_self_training,250,3,3,0,1.0,,
electricity,tabpfn3_self_training,500,3,3,0,1.0,,
phoneme,laplacian_ssl,50,3,3,0,1.0,,
phoneme,laplacian_ssl,100,3,3,0,1.0,,
phoneme,laplacian_ssl,250,3,3,0,1.0,,
phoneme,laplacian_ssl,500,3,3,0,1.0,,
phoneme,tabiclv2_self_training,50,3,3,0,1.0,,
phoneme,tabiclv2_self_training,100,3,3,0,1.0,,
phoneme,tabiclv2_self_training,250,3,3,0,1.0,,
phoneme,tabiclv2_self_training,500,3,3,0,1.0,,
phoneme,tabpfn3_self_training,50,3,3,0,1.0,,
phoneme,tabpfn3_self_training,100,3,3,0,1.0,,
phoneme,tabpfn3_self_training,250,3,3,0,1.0,,
phoneme,tabpfn3_self_training,500,3,3,0,1.0,,
satimage,laplacian_ssl,50,3,3,0,1.0,,
satimage,laplacian_ssl,100,3,3,0,1.0,,
satimage,laplacian_ssl,250,3,3,0,1.0,,
satimage,laplacian_ssl,500,3,3,0,1.0,,
satimage,tabiclv2_self_training,50,3,3,0,1.0,,
satimage,tabiclv2_self_training,100,3,3,0,1.0,,
satimage,tabiclv2_self_training,250,3,3,0,1.0,,
satimage,tabiclv2_self_training,500,3,3,0,1.0,,
satimage,tabpfn3_self_training,50,3,3,0,1.0,,
