dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
MagicTelescope,tabiclv2_self_training,50,0.7762881177707676,0.026848650679099716,3,0.7446070747517508,0.0234328804944703,3,0.7491865827045574,0.025881867889007766,3,0.7491865827045574,0.025881867889007766,3,0.8440655394683086,0.018086086264787752,3,0.7621434863237934,0.03128427590514041,3,0.4713708380392678,0.03001001452279477,3,6.288900000000001,2.165284018321845,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3_self_training,100,0.8220294426919033,0.02439418349830762,3,0.7862114594054628,0.03678436663393904,3,0.7958308820199967,0.033338270999772004,3,0.7958308820199967,0.033338270999772004,3,0.8730088445509653,0.030499270724713284,3,0.8268324259989668,0.034927270323897544,3,0.42168281254795276,0.04036994244531222,3,10.284166666666666,1.1644324812256546,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3_self_training,250,0.8571678934454959,0.010496609841836209,3,0.8273869922424798,0.008437956340786408,3,0.8377980803031219,0.010473878976615942,3,0.8377980803031219,0.010473878976615942,3,0.9117010778576683,0.00927334984642085,3,0.8774702802872115,0.014795822835741119,3,0.349357091778483,0.021306353347459686,3,10.712133333333334,0.035309677615823355,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3_self_training,500,0.8687346652646338,0.007892274973149467,3,0.8393281665023998,0.009638844440373794,3,0.8506237833962992,0.009296754026801994,3,0.8506237833962992,0.009296754026801994,3,0.9264076139028404,0.005399308388314819,3,0.8962363036525621,0.005642796530468462,3,0.31926654138373545,0.011760101267345655,3,11.208,0.08472850759927299,3,3,3,0,1.0,True,1.0
adult,tabiclv2_self_training,50,0.7818609888422561,0.022982396653112677,3,0.6890820412350221,0.01606188717143987,3,0.6930805184970893,0.017778090410478793,3,0.6930805184970893,0.017778090410478793,3,0.8158014286516266,0.010843336443169036,3,0.5893542899101517,0.024474661674390802,3,0.47830995024356326,0.01877623546979511,3,10.351566666666667,1.5530043346151143,3,3,3,0,1.0,True,1.0
adult,unlabeled_attention_ssl,100,0.7927798819394685,0.02131602457195969,3,0.7565981135370414,0.02114694946617288,3,0.7351115670336018,0.004392512141561493,3,0.7351115670336018,0.004392512141561493,3,0.8430337356699408,0.009222240446208568,3,0.6298803578276027,0.00860154125671002,3,0.6363757585647929,0.20203647289897766,3,5.2357000000000005,0.2503430246681542,3,3,3,0,1.0,True,1.0
adult,unlabeled_attention_ssl,250,0.7989217593066503,0.030607935150435594,3,0.737623403633934,0.010020211156406894,3,0.7312187287822658,0.01988699688011373,3,0.7312187287822658,0.01988699688011373,3,0.8431188836353477,0.026160355486689033,3,0.6407147579752824,0.03795052718211725,3,0.6548693679635677,0.13036534970852942,3,5.928833333333333,0.05613709409413116,3,3,3,0,1.0,True,1.0
adult,tabiclv2_self_training,500,0.8446787456921555,0.005205855857589364,3,0.7513328687991877,0.0010195320642090778,3,0.7696544521889724,0.0037875270142740725,3,0.7696544521889724,0.0037875270142740725,3,0.8955469302470093,0.002762051678453916,3,0.7404288823191708,0.010204294417045725,3,0.33859175612517506,0.00730836784916197,3,12.440533333333335,0.33253433406692495,3,3,3,0,1.0,True,1.0
bank-marketing,tabiclv2_self_training,50,0.8090235541302665,0.05397662757876339,3,0.5954497030703837,0.024458376457018403,3,0.5867342843904799,0.03998566330609127,3,0.5867342843904799,0.03998566330609127,3,0.7159985306412978,0.07345502770079859,3,0.2503892249598703,0.09940425799942403,3,0.4371011069659883,0.09242358787556738,3,11.101333333333335,3.1861536471635095,3,3,3,0,1.0,True,1.0
bank-marketing,tabiclv2_self_training,100,0.8730141177337903,0.01536119016317134,3,0.652319586306871,0.012652496224914685,3,0.6656036191086757,0.016506174346295876,3,0.6656036191086757,0.016506174346295876,3,0.8129096419365389,0.0418237068410468,3,0.39638276953319956,0.049792424029028656,3,0.3284410053816087,0.05794579651882797,3,13.245199999999999,2.325450603646527,3,3,3,0,1.0,True,1.0
bank-marketing,tabiclv2_self_training,250,0.8929190165505547,0.005544966103696506,3,0.6399489788469953,0.022576796891679,3,0.6716203344970381,0.021610918010136725,3,0.6716203344970381,0.021610918010136725,3,0.8775841123025647,0.013417903921469751,3,0.4955248150378106,0.04437156143513252,3,0.2596364095359271,0.005131075347848557,3,13.0638,2.365993708782844,3,3,3,0,1.0,True,1.0
bank-marketing,unlabeled_attention_ssl,500,0.8793173356924324,0.0015690808104827135,3,0.670921099304422,0.008475781439009593,3,0.6841597761635141,0.0048009652303129475,3,0.6841597761635141,0.0048009652303129475,3,0.8027748547114371,0.02035047271470094,3,0.41938232751558235,0.013549248551312313,3,0.6531883648036979,0.08139287828949321,3,6.975933333333333,0.11172131995878537,3,3,3,0,1.0,True,1.0
electricity,tabpfn3_self_training,50,0.7197396005737614,0.014823630890351894,3,0.7110011451454404,0.012283641191456647,3,0.7114029976999858,0.012881142537468476,3,0.7114029976999858,0.012881142537468476,3,0.7866390396591738,0.02460062082902537,3,0.7636603194011999,0.01085719305148292,3,0.5744951989154922,0.04928795618483126,3,13.252866666666668,0.7237491439258036,3,3,3,0,1.0,True,1.0
electricity,tabpfn3_self_training,100,0.7471036080767958,0.011071875418665963,3,0.729839958699019,0.008608821034252636,3,0.7322975899847464,0.007855319355117402,3,0.7322975899847464,0.007855319355117402,3,0.8136734252506065,0.008487104083892713,3,0.7857325699154748,0.011540209253294867,3,0.5280119419120518,0.02589168362355981,3,13.031933333333333,3.325670009687271,3,3,3,0,1.0,True,1.0
electricity,tabiclv2_self_training,250,0.7693552539629996,0.006866167397280202,3,0.7566684872053999,0.006509581643782031,3,0.75988674128415,0.0066842965839459525,3,0.75988674128415,0.0066842965839459525,3,0.8405554569984099,0.007639285238064584,3,0.8001608340475498,0.016581357386964465,3,0.4938303683019971,0.01430126211234417,3,9.826066666666668,0.5958018154834152,3,3,3,0,1.0,True,1.0
electricity,tabiclv2_self_training,500,0.7828533598146309,0.007723711795211283,3,0.7698507158238702,0.008473480436850485,3,0.7735087466894482,0.008325513581304147,3,0.7735087466894482,0.008325513581304147,3,0.8595907010336541,0.005991095728386323,3,0.8280220832186632,0.003907486380155575,3,0.4591782949254098,0.007038477042133822,3,10.128066666666667,0.11549113963128733,3,3,3,0,1.0,True,1.0
jannis,tabiclv2_self_training,50,0.5192372763280986,0.011451099629630724,3,0.3851687085584765,0.014811476107945165,3,0.37900054922459714,0.016079103558722024,3,0.37900054922459714,0.016079103558722024,3,0.670223073947993,0.04375468560388969,3,,,0,1.1695172247853736,0.04987433473038155,3,36.2753,13.913731698936848,3,3,3,0,1.0,True,1.0
jannis,tabpfn3_self_training,100,0.5652355645787305,0.005149462151394359,3,0.39675294766262015,0.03383381420758424,3,0.3857632091826064,0.022399585635040117,3,0.3857632091826064,0.022399585635040117,3,0.7144996602305156,0.019356691365226688,3,,,0,0.9882073829662144,0.027332283354392948,3,26.661433333333335,8.385914996786775,3,3,3,0,1.0,True,1.0
jannis,tabiclv2_self_training,250,0.6147170637527118,0.025788291966568153,3,0.4452784217119085,0.016738508884410655,3,0.44740654646016065,0.017950024246960586,3,0.44740654646016065,0.017950024246960586,3,0.7730227501810886,0.019140128788372925,3,,,0,0.8902135620514633,0.03711230978991355,3,45.17316666666667,0.6763447740119926,3,3,3,0,1.0,True,1.0
jannis,tabiclv2_self_training,500,0.6459465376883422,0.012251964982913713,3,0.46713650508417354,0.008906141152577245,3,0.47171910588420024,0.01053663175454799,3,0.47171910588420024,0.01053663175454799,3,0.805583658429429,0.010616862291801601,3,,,0,0.8421565425582335,0.048713558064990045,3,41.256499999999996,7.027670455421201,3,3,3,0,1.0,True,1.0
phoneme,tabiclv2_self_training,50,0.7761332099907493,0.011215870169271162,3,0.7296521710406791,0.032283054598693066,3,0.727638911280743,0.01840085448566243,3,0.727638911280743,0.01840085448566243,3,0.8376550448411977,0.023991841899241823,3,0.6363807357669243,0.05294185863137217,3,0.4968288064581286,0.075386608463183,3,4.6558,0.4914683204439529,3,3,3,0,1.0,True,1.0
phoneme,tabpfn3_self_training,100,0.797718162195498,0.02144352593365861,3,0.7729153935510155,0.008528892407518049,3,0.7632275342047655,0.010543689341579064,3,0.7632275342047655,0.010543689341579064,3,0.8656002774703948,0.01691775255798075,3,0.6957406144949645,0.03323432659250519,3,0.43646485715101385,0.03819779681008212,3,9.6193,0.06635932489108093,3,3,3,0,1.0,True,1.0
phoneme,tabpfn3_self_training,250,0.8162195497995683,0.012961979375259761,3,0.7856967865184622,0.004719489179364151,3,0.7815520746694706,0.010907912787044956,3,0.7815520746694706,0.010907912787044956,3,0.8917727825766208,0.007297297289579909,3,0.7401811832905955,0.025502665578527747,3,0.3802015080070429,0.01792092006598884,3,9.980566666666666,1.0942072579421744,3,3,3,0,1.0,True,1.0
phoneme,tabpfn3_self_training,500,0.8325624421831638,0.0057770564277506,3,0.7969511288750888,0.007564896886791979,3,0.7975303514687243,0.005341653087515285,3,0.7975303514687243,0.005341653087515285,3,0.9098124872688436,0.0004439484638821351,3,0.7772279620331687,0.027465920449126453,3,0.3505218347172916,0.006981187298408592,3,10.049666666666667,0.36789286937005583,3,3,3,0,1.0,True,1.0
satimage,tabpfn3_self_training,50,0.8216692586832556,0.014883231954334435,3,0.7747625414509377,0.022510396944450423,3,0.7722198159485035,0.03056021854271602,3,0.7722198159485035,0.03056021854271602,3,0.9617246219583847,0.007431498500651859,3,,,0,0.48046294043950294,0.0418444699838613,3,10.440333333333333,0.2175898052146135,3,3,3,0,1.0,True,1.0
satimage,tabiclv2_self_training,100,0.836962156557802,0.007390657039597331,3,0.8083767649188306,0.009594472227588522,3,0.8037201308562167,0.008010853888342247,3,0.8037201308562167,0.008010853888342247,3,0.9726470564657029,0.001503898741692072,3,,,0,0.41229199658545207,0.00896015733100931,3,6.3657,0.28939248435299775,3,3,3,0,1.0,True,1.0
satimage,tabiclv2_self_training,250,0.8574390876101607,0.014596068662831632,3,0.8214659563958587,0.0164964584384273,3,0.8244125162729886,0.013607311403270974,3,0.8244125162729886,0.013607311403270974,3,0.9744537226772162,0.002809464729086117,3,,,0,0.3808126529758901,0.028228953700373823,3,6.253866666666667,0.4291085798878105,3,3,3,0,1.0,True,1.0
satimage,tabiclv2_self_training,500,0.8818040435458787,0.014896768320892742,3,0.8552338815890469,0.019546059377231056,3,0.8572503169966373,0.020887302202070426,3,0.8572503169966373,0.020887302202070426,3,0.9826685965831663,0.0034531357596765456,3,,,0,0.3068726286360565,0.030138198223052123,3,7.510866666666666,1.1209432203877823,3,3,3,0,1.0,True,1.0
segment,tabpfn3_self_training,50,0.9004329004329005,0.01874513861005271,3,0.9004329004329005,0.01874513861005271,3,0.898824270989904,0.01849923048938926,3,0.898824270989904,0.01849923048938926,3,0.9888641100762312,0.0011573979963593079,3,,,0,0.29908248772995616,0.02344450174693719,3,9.013366666666668,0.2712299639297488,3,3,3,0,1.0,True,1.0
