dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
MagicTelescope,embedding_alignment_ssl,50,3,3,0,1.0,,
MagicTelescope,embedding_alignment_ssl,100,3,3,0,1.0,,
MagicTelescope,embedding_alignment_ssl,250,3,3,0,1.0,,
MagicTelescope,embedding_alignment_ssl,500,3,3,0,1.0,,
MagicTelescope,geometric_attention_ssl,50,3,3,0,1.0,,
MagicTelescope,geometric_attention_ssl,100,3,3,0,1.0,,
MagicTelescope,geometric_attention_ssl,250,3,3,0,1.0,,
MagicTelescope,geometric_attention_ssl,500,3,3,0,1.0,,
MagicTelescope,laplacian_ssl,50,3,3,0,1.0,,
MagicTelescope,laplacian_ssl,100,3,3,0,1.0,,
MagicTelescope,laplacian_ssl,250,3,3,0,1.0,,
MagicTelescope,laplacian_ssl,500,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,50,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,100,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,250,3,3,0,1.0,,
MagicTelescope,tabiclv2_self_training,500,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,50,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,100,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,250,3,3,0,1.0,,
MagicTelescope,tabpfn3_self_training,500,3,3,0,1.0,,
MagicTelescope,unlabeled_attention_ssl,50,3,3,0,1.0,,
MagicTelescope,unlabeled_attention_ssl,100,3,3,0,1.0,,
MagicTelescope,unlabeled_attention_ssl,250,3,3,0,1.0,,
MagicTelescope,unlabeled_attention_ssl,500,3,3,0,1.0,,
adult,embedding_alignment_ssl,50,3,3,0,1.0,,
adult,embedding_alignment_ssl,100,3,3,0,1.0,,
adult,embedding_alignment_ssl,250,3,3,0,1.0,,
adult,embedding_alignment_ssl,500,3,3,0,1.0,,
adult,geometric_attention_ssl,50,3,3,0,1.0,,
