method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count
embedding_alignment_ssl,50,0.666481094577831,0.1630862168580889,30,0.5598535176386348,0.15166278071911135,30,0.5346271241880621,0.16672472223748408,30,0.5346271241880621,0.16672472223748408,30,0.7603128932515533,0.17086094965242288,30,0.5363851586976357,0.2198404543189405,18,0.7798920783172083,0.3565646395539447,30,3.5038833333333335,0.3399238333380942,30
embedding_alignment_ssl,100,0.6976731134864432,0.13512838271365973,30,0.5866411317532635,0.14961254551289957,30,0.5615956238230715,0.16483269954926386,30,0.5615956238230715,0.16483269954926386,30,0.7967397069808516,0.1487502179074679,30,0.5793275314744655,0.20005654524361025,18,0.7332304466050984,0.3395231945908142,30,3.597513333333333,0.3991863964696653,30
embedding_alignment_ssl,250,0.7073688687841655,0.13963865379290016,30,0.5861865051852758,0.17403740100654566,30,0.560793130849148,0.19008914977421326,30,0.560793130849148,0.19008914977421326,30,0.8144689347371151,0.14221161625534925,30,0.6131559384182145,0.20695431331728978,18,0.7102616106656799,0.32502860824746843,30,3.5722099999999997,0.41307646478421006,30
embedding_alignment_ssl,500,0.720153673151455,0.13067881527056235,30,0.5996346149697774,0.17844434569614184,30,0.57842864205978,0.1957034349775813,30,0.57842864205978,0.1957034349775813,30,0.8245150582419137,0.13526157681719586,30,0.6294977399179472,0.20779013672383134,18,0.6947918763540418,0.3168392665023993,30,3.60833,0.312491346252594,30
geometric_attention_ssl,50,0.6470389824802621,0.13205193041629812,30,0.48173603066105686,0.12826011754822567,30,0.41945372386045016,0.1391497471919525,30,0.41945372386045016,0.1391497471919525,30,0.7402928847941211,0.12476530834407726,30,0.5107116291466882,0.2359337305598488,18,0.9220522579961419,0.48611875276035055,30,7.2104099999999995,3.1291674873182576,30
geometric_attention_ssl,100,0.69116480515558,0.14112758237763168,30,0.5566362068802901,0.17757854096501643,30,0.5173808016443855,0.19976115098267944,30,0.5173808016443855,0.19976115098267944,30,0.8010561349909616,0.10138110338220015,30,0.6005433499914349,0.21841220037625342,18,0.7499570170483183,0.3752471834816417,30,8.162923333333334,2.97462723154989,30
geometric_attention_ssl,250,0.7572710693070873,0.12005024463631404,30,0.645168118899132,0.18636390339704242,30,0.6361856237943118,0.19349975728736904,30,0.6361856237943118,0.19349975728736904,30,0.8582274846866881,0.07764483210955218,30,0.6851954922278394,0.1620223662926479,18,0.5854768798865823,0.28584054526485875,30,9.906216666666667,3.140930912092819,30
geometric_attention_ssl,500,0.7919992039990581,0.10612997061378292,30,0.7010964209010311,0.1621409064494331,30,0.7036550000455157,0.1651856460495361,30,0.7036550000455157,0.1651856460495361,30,0.8837391719215595,0.07429243742349491,30,0.723683069026898,0.1501163202084537,18,0.4939374566856286,0.23841848379755876,30,12.583996666666668,3.0417618940892366,30
laplacian_ssl,50,0.6975181487900592,0.12611810026703651,30,0.5592000661711887,0.16176223026225445,30,0.5308475707360587,0.17743271703600533,30,0.5308475707360587,0.17743271703600533,30,0.7989653888534246,0.09602375841094948,30,0.5946263423596246,0.20637299401551293,18,0.8166395952491994,0.4184823193692419,30,6.308986666666667,3.06076831775757,30
laplacian_ssl,100,0.710346606472677,0.12551044666795813,30,0.5706737983098956,0.17337366089720277,30,0.5399667097921693,0.18846702403084503,30,0.5399667097921693,0.18846702403084503,30,0.8287499453514862,0.08311739546025716,30,0.6493191223180476,0.1716887216505527,18,0.7656215519740257,0.4106768145097184,30,6.74352,3.2040624607971755,30
laplacian_ssl,250,0.7620515529225433,0.11676331008235008,30,0.6439710244167098,0.18432013983549017,30,0.6356930297387106,0.1900841181311637,30,0.6356930297387106,0.1900841181311637,30,0.8669324984138288,0.07714450699502719,30,0.695042234540574,0.15887549891301297,18,0.5918139771283789,0.285769757916284,30,7.396786666666667,4.053776284313723,30
laplacian_ssl,500,0.7943065547543955,0.10444764395627466,30,0.6960613075595463,0.16575949863150014,30,0.7000312157263971,0.164542602560077,30,0.7000312157263971,0.164542602560077,30,0.8881319164390876,0.07009632979272283,30,0.7304690192991375,0.1487654617760431,18,0.5079137484096504,0.2403034933491485,30,9.971296666666666,5.932415678083821,30
tabiclv2_self_training,50,0.750376584012398,0.12266792209045296,30,0.698095427434349,0.14276675866800217,30,0.6935320948836784,0.14682395978348198,30,0.6935320948836784,0.14682395978348198,30,0.8404534815292531,0.1056780624962324,30,0.6470004402105425,0.21830771075295605,18,0.6109958504851563,0.3247908853470486,30,10.19946,9.851089732984384,30
tabiclv2_self_training,100,0.7877545390386924,0.1186437901705849,30,0.7354750054348482,0.1450320035166038,30,0.735007544344863,0.1457464744271349,30,0.735007544344863,0.1457464744271349,30,0.8741692134595553,0.08912059702754249,30,0.7184752719364348,0.17686630509769216,18,0.5067167413206337,0.28838171417822506,30,10.892246666666667,9.54032484922718,30
