dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
MagicTelescope,1120,self_training_lr,50,0.7450052576235541,0.027445600706915187,3,0.7232708634135756,0.027587911341776107,3,0.7220634119827665,0.028647364305592726,3,0.7220634119827665,0.028647364305592726,3,0.7751557201861611,0.027585580766536524,3,0.683857410683435,0.08013692860651751,3,0.9946734110514323,0.18662244164825853,3,0.5751333333333334,0.15864943533884174,3,4901.0,150.34294130420622,3,0.32315706184887244,0.009913157147844295,3,3,3,0,1.0,True,1.0
MagicTelescope,1120,xgboost,100,0.797932001402033,0.021327965396949852,3,0.7593065390355168,0.032411754147189796,3,0.768136459590231,0.02933603983149743,3,0.768136459590231,0.02933603983149743,3,0.8326094375282618,0.0308835470851577,3,0.7839143390086863,0.028711926851575052,3,0.5299284259478251,0.0572051092958136,3,1.7440333333333335,0.3890255304389846,3,,,0,,,0,3,3,0,1.0,True,1.0
MagicTelescope,1120,self_training_lightgbm,250,0.8281633368384158,0.009391642393594777,3,0.8035916263879342,0.009734492562085105,3,0.8083451969299155,0.009448684490364921,3,0.8083451969299155,0.009448684490364921,3,0.8796105358738333,0.005261237523280108,3,0.8386913742952714,0.0071337545228963494,3,1.0730208276384325,0.035701860324566806,3,10.908133333333334,1.4384430657253455,3,3000.0,0.0,3,0.2004543632233061,0.0,3,3,3,0,1.0,True,1.0
MagicTelescope,1120,rpl_lite_xgboost,500,0.838503329828251,0.016038624601180183,3,0.8136179697094233,0.02155775227916516,3,0.8192583085749651,0.019616329355979463,3,0.8192583085749651,0.019616329355979463,3,0.8941116877627412,0.012751573374579644,3,0.8538202987822768,0.016393804088710256,3,0.5079838633537292,0.05612950200386871,3,13.441899999999999,0.20917820154117397,3,3000.0,0.0,3,0.2038597444957869,0.0,3,3,3,0,1.0,True,1.0
adult,1590,self_training_lr,50,0.7699525710581089,0.012706552142058507,3,0.7387108149082383,0.015377647987818415,3,0.7126799351508443,0.0019404346606171645,3,0.7126799351508443,0.0019404346606171645,3,0.8333329783902599,0.008368762310797482,3,0.6061302147461035,0.03440033376169163,3,0.6754955252011617,0.0233462105406119,3,0.8656666666666667,0.11383164469220904,3,4977.0,39.83716857408418,3,0.127540168618507,0.0010208638129842428,3,3,3,0,1.0,True,1.0
adult,1590,self_training_lr,100,0.7831576073975501,0.004321597892845798,3,0.7493449669475091,0.018574663738849438,3,0.7261131561582025,0.010259251604300497,3,0.7261131561582025,0.010259251604300497,3,0.8411271925265336,0.02154336051228119,3,0.6372807424921126,0.03494038811196273,3,0.6181125044822693,0.0557892275584783,3,0.7667,0.022507998578283235,3,5000.0,0.0,3,0.1282939470915762,0.0,3,3,3,0,1.0,True,1.0
adult,1590,sslae,250,0.7906643464018835,0.014956799057467433,3,0.7593604244305667,0.025963570455910665,3,0.7355310925548021,0.020321759721841737,3,0.7355310925548021,0.020321759721841737,3,0.8583438214215015,0.02214422589661407,3,0.6627860446566526,0.05449893720904853,3,0.42537027734617716,0.031425333041961157,3,214.51826666666668,156.2588496517984,3,,,0,,,0,3,3,0,1.0,True,1.0
adult,1590,self_training_lr,500,0.8301770907974203,0.005729676310433671,3,0.7727274846466017,0.002025365538142882,3,0.7695245560499345,0.004677593753747868,3,0.7695245560499345,0.004677593753747868,3,0.8862585400742433,0.005616747078919775,3,0.7224747800955087,0.0037252039605372815,3,0.41040416558583576,0.012480681712641835,3,0.9607,0.10127047941033944,3,5000.0,0.0,3,0.1296243486376481,0.0,3,3,3,0,1.0,True,1.0
bank-marketing,1461,self_training_lr,50,0.7678867632422869,0.050540560832955904,3,0.7075835717490143,0.03155240889542126,3,0.6242402786815614,0.04365657790411162,3,0.6242402786815614,0.04365657790411162,3,0.7912717567872022,0.04652595869234727,3,0.3227158332006876,0.04476228181438006,3,0.8324987292289734,0.13902639342049328,3,0.7049666666666666,0.12628991778179816,3,4776.666666666667,49.74267115197308,3,0.13225169352308172,0.0013772266225143379,3,3,3,0,1.0,True,1.0
bank-marketing,1461,self_training_lr,100,0.8145526926904788,0.011587998089526135,3,0.7331881730039665,0.004562192729748366,3,0.6653712293475035,0.00965108549930947,3,0.6653712293475035,0.00965108549930947,3,0.8099669986138945,0.01147058724834961,3,0.36539342019405946,0.037472438330170006,3,0.6879122654596964,0.04216344135059319,3,0.8451666666666666,0.04520235982040466,3,4832.666666666667,165.0494875282359,3,0.13398765295183168,0.004576064309865705,3,3,3,0,1.0,True,1.0
bank-marketing,1461,self_training_lightgbm,250,0.8480961332891002,0.0023019639494262136,3,0.7454859043756823,0.022059665440703716,3,0.6977450547198609,0.011681558290157597,3,0.6977450547198609,0.011681558290157597,3,0.8455364283772465,0.02040705458657402,3,0.43040402167941494,0.019582927184202275,3,1.1171573844041773,0.08628051818964903,3,16.4985,1.1602187854021326,3,3000.0,0.0,3,0.0835235814911743,0.0,3,3,3,0,1.0,True,1.0
bank-marketing,1461,self_training_lightgbm,500,0.8723506211065649,0.003577029317397057,3,0.7430944086640081,0.014127376628113402,3,0.7195901670602494,0.006460327000039731,3,0.7195901670602494,0.006460327000039731,3,0.8633483386264179,0.014289704830286614,3,0.45626302414105235,0.010357430159089204,3,0.9530915184582787,0.021257121233642647,3,19.426233333333332,1.1571074813228586,3,3000.0,0.0,3,0.084109005270831,0.0,3,3,3,0,1.0,True,1.0
electricity,151,catboost,50,0.7000257457059841,0.040335161095255125,3,0.6957898048502075,0.030328383910640175,3,0.6933041293376251,0.03513679475395619,3,0.6933041293376251,0.03513679475395619,3,0.7502632804646229,0.028018109408267926,3,0.6938154010044345,0.027572205738927383,3,1.0805410701350058,0.15297460657057713,3,2.6989,1.008280099972225,3,,,0,,,0,3,3,0,1.0,True,1.0
electricity,151,self_training_lightgbm,100,0.7409614182206039,0.023645809073989624,3,0.7328702836253171,0.017920189500503034,3,0.7336640603800756,0.020673236670763703,3,0.7336640603800756,0.020673236670763703,3,0.8077314094092617,0.026401058981677567,3,0.769057949785349,0.029844308560950748,3,1.6961702537396075,0.2986176197374327,3,13.9495,0.45021018424731324,3,3000.0,0.0,3,0.0829898475753132,0.0,3,3,3,0,1.0,True,1.0
