dataset,method,n_labeled,status,error_message,count
adult,label_propagation,50,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=40, n_unlabeled_used=19960, n_classes=2, min_labeled_per_class=11, last_error=invalid outputs for n_neighbors=3",2
adult,label_propagation,250,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=200, n_unlabeled_used=19800, n_classes=2, min_labeled_per_class=50, last_error=invalid outputs for n_neighbors=3",2
adult,label_propagation,100,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=80, n_unlabeled_used=19920, n_classes=2, min_labeled_per_class=22, last_error=invalid outputs for n_neighbors=3",1
adult,label_spreading,50,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=40, n_unlabeled_used=19960, n_classes=2, min_labeled_per_class=11, last_error=invalid outputs for n_neighbors=3",2
adult,label_spreading,250,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=200, n_unlabeled_used=19800, n_classes=2, min_labeled_per_class=50, last_error=invalid outputs for n_neighbors=3",2
adult,label_spreading,100,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=80, n_unlabeled_used=19920, n_classes=2, min_labeled_per_class=22, last_error=invalid outputs for n_neighbors=3",1
electricity,label_spreading,50,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=40, n_unlabeled_used=19960, n_classes=2, min_labeled_per_class=18, last_error=invalid outputs for n_neighbors=3",3
electricity,label_spreading,100,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=20000, n_labeled=80, n_unlabeled_used=19920, n_classes=2, min_labeled_per_class=34, last_error=invalid outputs for n_neighbors=3",3
spambase,label_propagation,50,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3670, n_labeled=40, n_unlabeled_used=3630, n_classes=2, min_labeled_per_class=16, last_error=invalid outputs for n_neighbors=3",3
spambase,label_propagation,100,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3660, n_labeled=80, n_unlabeled_used=3580, n_classes=2, min_labeled_per_class=32, last_error=invalid outputs for n_neighbors=3",1
spambase,label_spreading,50,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3670, n_labeled=40, n_unlabeled_used=3630, n_classes=2, min_labeled_per_class=16, last_error=invalid outputs for n_neighbors=3",3
spambase,label_spreading,100,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3660, n_labeled=80, n_unlabeled_used=3580, n_classes=2, min_labeled_per_class=32, last_error=invalid outputs for n_neighbors=3",1
