dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
MagicTelescope,catboost,50,3,3,0,1.0,,
MagicTelescope,catboost,100,3,3,0,1.0,,
MagicTelescope,catboost,250,3,3,0,1.0,,
MagicTelescope,catboost,500,3,3,0,1.0,,
MagicTelescope,label_propagation,50,3,3,0,1.0,,
MagicTelescope,label_propagation,100,3,3,0,1.0,,
MagicTelescope,label_propagation,250,3,3,0,1.0,,
MagicTelescope,label_propagation,500,3,3,0,1.0,,
MagicTelescope,label_spreading,50,3,3,0,1.0,,
MagicTelescope,label_spreading,100,3,3,0,1.0,,
MagicTelescope,label_spreading,250,3,3,0,1.0,,
MagicTelescope,label_spreading,500,3,3,0,1.0,,
MagicTelescope,lightgbm,50,3,3,0,1.0,,
MagicTelescope,lightgbm,100,3,3,0,1.0,,
MagicTelescope,lightgbm,250,3,3,0,1.0,,
MagicTelescope,lightgbm,500,3,3,0,1.0,,
MagicTelescope,logistic_regression,50,3,3,0,1.0,,
MagicTelescope,logistic_regression,100,3,3,0,1.0,,
MagicTelescope,logistic_regression,250,3,3,0,1.0,,
MagicTelescope,logistic_regression,500,3,3,0,1.0,,
MagicTelescope,mlp,50,3,3,0,1.0,,
MagicTelescope,mlp,100,3,3,0,1.0,,
MagicTelescope,mlp,250,3,3,0,1.0,,
MagicTelescope,mlp,500,3,3,0,1.0,,
MagicTelescope,random_forest,50,3,3,0,1.0,,
MagicTelescope,random_forest,100,3,3,0,1.0,,
MagicTelescope,random_forest,250,3,3,0,1.0,,
MagicTelescope,random_forest,500,3,3,0,1.0,,
MagicTelescope,rpl_lite_xgboost,50,3,3,0,1.0,,
MagicTelescope,rpl_lite_xgboost,100,3,3,0,1.0,,
MagicTelescope,rpl_lite_xgboost,250,3,3,0,1.0,,
MagicTelescope,rpl_lite_xgboost,500,3,3,0,1.0,,
MagicTelescope,rpl_lr,50,3,3,0,1.0,,
MagicTelescope,rpl_lr,100,3,3,0,1.0,,
MagicTelescope,rpl_lr,250,3,3,0,1.0,,
MagicTelescope,rpl_lr,500,3,3,0,1.0,,
MagicTelescope,scarf,50,3,3,0,1.0,,
MagicTelescope,scarf,100,3,3,0,1.0,,
MagicTelescope,scarf,250,3,3,0,1.0,,
