method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
catboost,50,0.7395068558014327,0.11053208552911403,30,0.6732126087519755,0.13919244271360298,30,0.6747307647192218,0.14130853070734403,30,0.6747307647192218,0.14130853070734403,30,0.8158563618770122,0.11019884222224095,30,0.6038146220512575,0.19972996963348114,18,0.7739926051339787,0.2747742707603265,30,4.094566666666667,1.9864008362611132,30,,,0,,,0
catboost,100,0.7741307790239773,0.1053680513557451,30,0.7084769986103533,0.13687468252914328,30,0.7128889055956026,0.13664581622834956,30,0.7128889055956026,0.13664581622834956,30,0.8599474224276682,0.08274873900798166,30,0.6800623514058851,0.17217160464072664,18,0.6477480254517318,0.25391571802630497,30,4.616396666666666,2.137688337737485,30,,,0,,,0
catboost,250,0.8121613289374171,0.1022013742975436,30,0.7427526603254122,0.14488339986974028,30,0.7530941637056796,0.1427391982444294,30,0.7530941637056796,0.1427391982444294,30,0.8910622025834101,0.07597149410460763,30,0.7374061521279395,0.16831864192057958,18,0.5009964205537022,0.22316815674317536,30,6.682243333333333,3.848255632028202,30,,,0,,,0
catboost,500,0.830069259986321,0.0976774899262306,30,0.7654529324519379,0.14349417773006815,30,0.7757910684837154,0.14075093044670609,30,0.7757910684837154,0.14075093044670609,30,0.9077642548812176,0.06789006969652797,30,0.7695480747454828,0.15463565048769884,18,0.4318500975184858,0.2155264340751961,30,8.006643333333333,5.05029290230695,30,,,0,,,0
label_propagation,50,0.632838368186218,0.16347713118569268,25,0.5490946182552124,0.14294242813428806,25,0.49809599472832816,0.17683059143244956,25,0.49809599472832816,0.17683059143244956,25,0.7479600648089761,0.1522430297110322,25,0.4168145443600525,0.15990385637548926,13,1.1030372312838355,0.741259812484731,25,11.401235999999999,8.916805156691492,25,,,0,,,0
label_propagation,100,0.6755447782925169,0.13254478307981896,28,0.5845931355083038,0.15463392770353962,28,0.5455591765077349,0.18400715596695097,28,0.5455591765077349,0.18400715596695097,28,0.7776825602280119,0.1437049744904281,28,0.49614623967458715,0.2078831549961063,16,0.9309717369498276,0.4201288573536978,28,11.868664285714287,9.825541507995572,28,,,0,,,0
label_propagation,250,0.7085302128558048,0.13533029872376692,28,0.6026516570865185,0.16876539288683304,28,0.5717311855543873,0.19648045230997477,28,0.5717311855543873,0.19648045230997477,28,0.8205806053109435,0.12504532295734963,28,0.5762454767610857,0.2140480355998945,16,0.7463539243022099,0.2839619423612859,28,10.356796428571428,8.843462049927354,28,,,0,,,0
label_propagation,500,0.7427267089805097,0.12413125205770832,30,0.6453823636093116,0.167264599363072,30,0.6308184459908548,0.1848731679708813,30,0.6308184459908548,0.1848731679708813,30,0.8456053753911125,0.10819286634058542,30,0.6224724591156972,0.19156529632635175,18,0.6274494566298433,0.24415484303860926,30,10.940713333333333,9.871699187968966,30,,,0,,,0
label_spreading,50,0.7036837080387722,0.13728821719713816,22,0.6326240941036624,0.14105595902231394,22,0.6188688809709222,0.15174077587005683,22,0.6188688809709222,0.15174077587005683,22,0.8096698098644612,0.11498682259353825,22,0.48057831679223534,0.1841470050216729,10,1.0931525497599015,0.5629696306332489,22,12.12168181818182,11.13318646320161,22,,,0,,,0
label_spreading,100,0.7293983705362406,0.1352168639765744,25,0.6622396392682535,0.1442049508587919,25,0.6553940604885828,0.15329610271540517,25,0.6553940604885828,0.15329610271540517,25,0.830033944910484,0.10729370315846944,25,0.5601229673645464,0.20837861737908278,13,0.9549813732127471,0.5883987905348292,25,10.207952,10.208946930189878,25,,,0,,,0
