dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count
letter,6,catboost,250,0.62275,0.01165118019773102,3,0.6214498915213856,0.011281532134243193,3,0.6213780100696477,0.01036934907888586,3,0.6213780100696477,0.01036934907888586,3,0.946696902884366,0.006988180164405803,3,,,0,1.4991503098195285,0.04496586739777427,3,8.830633333333333,3.7065864907396047,3,,,0
letter,6,catboost,500,0.7204166666666666,0.014459714151162635,3,0.7197422639657661,0.014288370652501327,3,0.7227738151969966,0.012337525522367963,3,0.7227738151969966,0.012337525522367963,3,0.9703367953643709,0.003160514220080534,3,,,0,1.1331311851657817,0.038151246991496766,3,8.3386,0.950066171379657,3,,,0
letter,6,lightgbm,250,0.5953333333333334,0.010339044120871766,3,0.5948042689587485,0.010842117210042966,3,0.5938516528261241,0.012060190449129168,3,0.5938516528261241,0.012060190449129168,3,0.9331250543003945,0.005735578818169384,3,,,0,2.123317445127387,0.11994519364461748,3,13.0319,4.719781722707098,3,,,0
letter,6,lightgbm,500,0.71475,0.015524174696260037,3,0.7141579700895235,0.015473253255293805,3,0.7153976566135598,0.01623770490258012,3,0.7153976566135598,0.01623770490258012,3,0.9638958895949276,0.0035139844089986092,3,,,0,1.51672291470686,0.08323948025657875,3,20.5712,7.405450962635564,3,,,0
letter,6,logistic_regression,250,0.5861666666666666,0.009501096427956816,3,0.5841724120144117,0.00928844753544747,3,0.5826090649563099,0.007957930687701911,3,0.5826090649563099,0.007957930687701911,3,0.934343384927729,0.005399266066973778,3,,,0,1.5556618810750076,0.052490860407114294,3,0.4391333333333334,0.10490573546443173,3,,,0
letter,6,logistic_regression,500,0.6558333333333333,0.0028867513459480834,3,0.6542739706822835,0.003423453200854425,3,0.6538388277485765,0.006330370010977267,3,0.6538388277485765,0.006330370010977267,3,0.9549773883934627,0.0030478971395331705,3,,,0,1.2964890656768313,0.026082597162970112,3,0.3774666666666667,0.044638585700415456,3,,,0
letter,6,mlp,250,0.22125000000000003,0.06162335190493943,3,0.2213148114589629,0.06141676981244131,3,0.1874449944892025,0.04933405846840481,3,0.1874449944892025,0.04933405846840481,3,0.7806485240161818,0.028981586747276716,3,,,0,2.916300360263532,0.12043678544274514,3,0.3699333333333333,0.04959045607103582,3,,,0
letter,6,mlp,500,0.5428333333333334,0.048958102836336864,3,0.5418088230722776,0.04874414815518998,3,0.523417942256231,0.066878278913478,3,0.523417942256231,0.066878278913478,3,0.9322884524598445,0.021578905568956978,3,,,0,1.7056302303594908,0.28525727711702814,3,0.6123666666666666,0.0773021560716991,3,,,0
letter,6,random_forest,250,0.6214166666666666,0.025662878508330586,3,0.6202209321896026,0.026011313360220577,3,0.6189072460711348,0.027735913912916577,3,0.6189072460711348,0.027735913912916577,3,0.9321166088153889,0.008352735893102332,3,,,0,1.9166280723917948,0.16905489000309598,3,2.3766666666666665,0.3332118595328403,3,,,0
letter,6,random_forest,500,0.7216666666666667,0.01079737622449702,3,0.7210000314135282,0.010782493123129856,3,0.7221277887703792,0.010610488543691864,3,0.7221277887703792,0.010610488543691864,3,0.9620297752952015,0.002736918257758945,3,,,0,1.4224879215892001,0.05742436790680804,3,2.321,0.21204379264670772,3,,,0
letter,6,rpl_lite_xgboost,250,0.6046666666666667,0.013290817632235228,3,0.6041144169734938,0.01267189025963266,3,0.606741573854586,0.010845463091574636,3,0.606741573854586,0.010845463091574636,3,0.9147330144639377,0.004401691587390131,3,,,0,2.86686642964681,0.04909820789434704,3,243.09503333333336,4.036683981107922,3,13583.333333333334,172.38716116153603,3
letter,6,rpl_lite_xgboost,500,0.7150833333333333,0.023980895173728048,3,0.714596564815985,0.023765274299856358,3,0.7180728499630691,0.02318131699937007,3,0.7180728499630691,0.02318131699937007,3,0.954623069187765,0.006368854327855282,3,,,0,1.8569719394048054,0.18513378224728477,3,277.81513333333334,6.3920909953889975,3,13739.0,113.22102278287367,3
letter,6,rpl_lr,250,0.5463333333333332,0.02299094024465574,3,0.5448874390753738,0.02236021762396556,3,0.5251614995141834,0.026639935193818604,3,0.5251614995141834,0.026639935193818604,3,0.9257469767069869,0.0102524367147794,3,,,0,1.865749378069714,0.16299915045896632,3,0.8967333333333333,0.16688098553560057,3,,,0
letter,6,rpl_lr,500,0.6262500000000001,0.005379358697837521,3,0.6244455574789337,0.005792352244355404,3,0.6134696123760142,0.008632644886408636,3,0.6134696123760142,0.008632644886408636,3,0.9515745234007554,0.0032210356789094865,3,,,0,1.4446570106979575,0.060126454044841016,3,1.5650666666666666,0.18714049089743595,3,,,0
letter,6,self_training_catboost,250,0.49825,0.026024027359346225,3,0.4966786819309592,0.025989195476212167,3,0.4722652432201509,0.03561676431728758,3,0.4722652432201509,0.03561676431728758,3,0.9110308757053925,0.0038073274990886924,3,,,0,3.000374620718913,0.13892763827838778,3,277.9055,13.780892254132164,3,13451.666666666666,118.03530545278981,3
letter,6,self_training_catboost,500,0.6365,0.007941190087134248,3,0.6357333650736224,0.00833021339599534,3,0.6306613188328595,0.005408749271906337,3,0.6306613188328595,0.005408749271906337,3,0.9505568000322496,0.005379726425172375,3,,,0,1.6993847793624146,0.07999655653812819,3,291.1902,8.429015032018876,3,12011.333333333334,189.43160595141833,3
letter,6,self_training_lightgbm,250,0.6124999999999999,0.00902427282389002,3,0.6120988943782723,0.009641181807602888,3,0.612633618109656,0.010540803473084217,3,0.612633618109656,0.010540803473084217,3,0.9192426505437671,0.007360416023129329,3,,,0,5.878408254175702,0.21825210408605308,3,775.7363,23.685910839357646,3,15664.666666666666,7.637626158259535,3
letter,6,self_training_lightgbm,500,0.7274166666666666,0.009638248457750753,3,0.7267998402633845,0.009218629307720954,3,0.7295593773669404,0.008719793120711628,3,0.7295593773669404,0.008719793120711628,3,0.9538158942297201,0.004941308468325252,3,,,0,3.688989895327809,0.2129344740994406,3,770.1069000000001,42.966462763299496,3,15400.666666666666,7.5718777944001046,3
letter,6,self_training_lr,250,0.5194166666666667,0.0314745267372416,3,0.5172459642703998,0.031467548742240274,3,0.4740149434108288,0.04541356776524154,3,0.4740149434108288,0.04541356776524154,3,0.9182509502579185,0.005212021711058899,3,,,0,3.141784156140559,0.13229283638087405,3,5.822500000000001,1.339323340347655,3,11766.666666666666,292.59585324015353,3
