method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count
catboost,50,0.8093203669609278,0.046548635098018126,6,0.7767119275638965,0.06075274657844985,6,0.7798741091849992,0.06522267860690159,6,0.7798741091849992,0.06522267860690159,6,0.8782629800109328,0.05320506758789108,6,0.7529509360126099,0.16473246390444465,6,0.5641664314255487,0.16505314053186862,6,2.1887166666666666,0.6609990995959577,6,,,0
catboost,100,0.8172507527279168,0.04923609704524785,6,0.7805828681218795,0.07913146168437053,6,0.783315171189916,0.07394361244465511,6,0.783315171189916,0.07394361244465511,6,0.8918228335914783,0.0400297054024037,6,0.786328405946957,0.1432552100106313,6,0.5612905911503244,0.12272517684819631,6,2.3336166666666665,0.8263315519007289,6,,,0
catboost,250,0.7868998578357305,0.1321404118174056,9,0.7730892823667328,0.12800028792003235,9,0.7730952253085034,0.12930806353575405,9,0.7730952253085034,0.12930806353575405,9,0.9286814123693728,0.04119048697665529,9,0.8385612723476449,0.12918594677200548,6,0.7506197340134189,0.5747137340605799,9,4.904466666666667,3.559642124216984,9,,,0
catboost,500,0.8265558705244369,0.09394163909234773,9,0.8101477978929581,0.09460516439839288,9,0.8131132304174028,0.09407087040830732,9,0.8131132304174028,0.09407087040830732,9,0.9457392843138374,0.040023513409461565,9,0.8548955278241164,0.12032630738717447,6,0.5919684796392758,0.4205402159981009,9,5.1952444444444446,2.6303772348805365,9,,,0
lightgbm,50,0.7409986530748763,0.04328074051638655,6,0.6247667288723008,0.13833625131563368,6,0.5850960423834642,0.18869895573364753,6,0.5850960423834642,0.18869895573364753,6,0.6717826648501299,0.1616669135145416,6,0.5171588596688252,0.22940401354800768,6,0.5542137694431627,0.05344834497398146,6,0.38258333333333333,0.12343752130801504,6,,,0
lightgbm,100,0.8081686338201749,0.030420293109550987,6,0.7762089126018669,0.06279242829164322,6,0.7774526177100901,0.057087237174143685,6,0.7774526177100901,0.057087237174143685,6,0.8732700121045572,0.037839961101296136,6,0.7641973002474831,0.13358637759105418,6,0.5922164629459358,0.06887469782268764,6,0.9350333333333333,0.2722411039256686,6,,,0
lightgbm,250,0.7671213876509432,0.137332647926094,9,0.7495288024632324,0.13234294634912383,9,0.7506347897955553,0.13387235146667326,9,0.7506347897955553,0.13387235146667326,9,0.9186212498485425,0.04453767453412075,9,0.8313163492753151,0.1306196965901489,6,1.1057622818669814,0.7832299680346658,9,5.721188888888888,5.971631655051332,9,,,0
lightgbm,500,0.8224418599921052,0.09298165737157928,9,0.8050408602780676,0.09218173201801909,9,0.8080259560921764,0.09275122682238252,9,0.8080259560921764,0.09275122682238252,9,0.9401261369480477,0.042029659720837144,9,0.8535863556587283,0.120852026440045,6,0.8805420649142623,0.50678767261019,9,9.36881111111111,9.187151607740622,9,,,0
logistic_regression,50,0.789681642880364,0.04819384634716238,6,0.7487588075441362,0.0848879164186539,6,0.7499328752878305,0.08032146218174722,6,0.7499328752878305,0.08032146218174722,6,0.8494216223123466,0.06815449868104945,6,0.6958925870756573,0.1662643045021014,6,0.48664804786214,0.07268067672353168,6,0.11373333333333334,0.029105096919039224,6,,,0
logistic_regression,100,0.8106589219309074,0.07345454432907557,6,0.7719159497331257,0.11748932695435811,6,0.7729315436230956,0.11064327571111385,6,0.7729315436230956,0.11064327571111385,6,0.8626861285196107,0.08003521938774218,6,0.7029740562632205,0.18319270438900026,6,0.4559233853103292,0.05653845964553367,6,0.09135,0.015139451773429579,6,,,0
logistic_regression,250,0.7378298645184612,0.12940358311356606,9,0.7103044149205746,0.13161700902056572,9,0.712133752897491,0.13131680234049378,9,0.712133752897491,0.13131680234049378,9,0.889897262813098,0.069010249978893,9,0.7091766210338668,0.1877971352478898,6,0.8137811748324129,0.5589583074833635,9,0.20537777777777777,0.18325912513281417,9,,,0
logistic_regression,500,0.7637728330816149,0.10786214479400798,9,0.7339378013544247,0.12293377849373054,9,0.735874884829183,0.12005228380233206,9,0.735874884829183,0.12005228380233206,9,0.9026800885921189,0.07581225642398888,9,0.7306139193386372,0.18456502353845528,6,0.7112971567224232,0.4422302317599003,9,0.18723333333333333,0.144802365312173,9,,,0
mlp,50,0.6950876907516164,0.013759739611951422,6,0.5863023521716797,0.07873252080404057,6,0.554891759976491,0.10521023018639414,6,0.554891759976491,0.10521023018639414,6,0.6878764230348753,0.07584190302247144,6,0.5318279207131387,0.14037619931203404,6,0.6315168006108086,0.020778738199020298,6,0.11873333333333334,0.048226949589069666,6,,,0
mlp,100,0.7141292880715602,0.09214059507912943,6,0.6105643170697834,0.1514690944864086,6,0.5660476629610758,0.18855181199152074,6,0.5660476629610758,0.18855181199152074,6,0.6639130185901514,0.20758928633277046,6,0.5056877078682237,0.22810738452269413,6,0.6007380271872144,0.11859629232212031,6,0.15901666666666667,0.0813766899466098,6,,,0
