dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
letter,catboost,50,3,3,0,1.0,,
letter,catboost,100,3,3,0,1.0,,
letter,catboost,250,3,3,0,1.0,,
letter,catboost,500,3,3,0,1.0,,
letter,label_propagation,50,3,3,0,1.0,,
letter,label_propagation,100,3,3,0,1.0,,
letter,label_propagation,250,3,3,0,1.0,,
letter,label_propagation,500,3,3,0,1.0,,
letter,label_spreading,50,3,2,1,0.6666666666666666,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[50, 30, 15, 7, 5, 3], n_graph_rows=16000, n_labele..."
letter,label_spreading,100,3,3,0,1.0,,
letter,label_spreading,250,3,3,0,1.0,,
letter,label_spreading,500,3,3,0,1.0,,
letter,lightgbm,50,3,3,0,1.0,,
letter,lightgbm,100,3,3,0,1.0,,
letter,lightgbm,250,3,3,0,1.0,,
letter,lightgbm,500,3,3,0,1.0,,
letter,logistic_regression,50,3,3,0,1.0,,
letter,logistic_regression,100,3,3,0,1.0,,
letter,logistic_regression,250,3,3,0,1.0,,
letter,logistic_regression,500,3,3,0,1.0,,
letter,mlp,50,3,3,0,1.0,,
letter,mlp,100,3,3,0,1.0,,
letter,mlp,250,3,3,0,1.0,,
letter,mlp,500,3,3,0,1.0,,
letter,random_forest,50,3,3,0,1.0,,
letter,random_forest,100,3,3,0,1.0,,
letter,random_forest,250,3,3,0,1.0,,
letter,random_forest,500,3,3,0,1.0,,
letter,rpl_lite_xgboost,50,3,3,0,1.0,,
letter,rpl_lite_xgboost,100,3,3,0,1.0,,
letter,rpl_lite_xgboost,250,3,3,0,1.0,,
letter,rpl_lite_xgboost,500,3,3,0,1.0,,
letter,rpl_lr,50,3,3,0,1.0,,
letter,rpl_lr,100,3,3,0,1.0,,
letter,rpl_lr,250,3,3,0,1.0,,
letter,rpl_lr,500,3,3,0,1.0,,
letter,scarf,50,3,3,0,1.0,,
letter,scarf,100,3,3,0,1.0,,
letter,scarf,250,3,3,0,1.0,,
letter,scarf,500,3,3,0,1.0,,
letter,self_training_catboost,50,3,3,0,1.0,,
letter,self_training_catboost,100,3,3,0,1.0,,
letter,self_training_catboost,250,3,3,0,1.0,,
letter,self_training_catboost,500,3,3,0,1.0,,
letter,self_training_lightgbm,50,3,3,0,1.0,,
letter,self_training_lightgbm,100,3,3,0,1.0,,
letter,self_training_lightgbm,250,3,3,0,1.0,,
letter,self_training_lightgbm,500,3,3,0,1.0,,
letter,self_training_lr,50,3,3,0,1.0,,
letter,self_training_lr,100,3,3,0,1.0,,
letter,self_training_lr,250,3,3,0,1.0,,
letter,self_training_lr,500,3,3,0,1.0,,
letter,self_training_xgboost,50,3,3,0,1.0,,
letter,self_training_xgboost,100,3,3,0,1.0,,
letter,self_training_xgboost,250,3,3,0,1.0,,
letter,self_training_xgboost,500,3,3,0,1.0,,
letter,sslae,50,3,3,0,1.0,,
letter,sslae,100,3,3,0,1.0,,
letter,sslae,250,3,3,0,1.0,,
letter,sslae,500,3,3,0,1.0,,
letter,vime_lite,50,3,3,0,1.0,,
letter,vime_lite,100,3,3,0,1.0,,
letter,vime_lite,250,3,3,0,1.0,,
letter,vime_lite,500,3,3,0,1.0,,
letter,xgboost,50,3,3,0,1.0,,
letter,xgboost,100,3,3,0,1.0,,
letter,xgboost,250,3,3,0,1.0,,
letter,xgboost,500,3,3,0,1.0,,
phoneme,catboost,50,3,3,0,1.0,,
phoneme,catboost,100,3,3,0,1.0,,
phoneme,catboost,250,3,3,0,1.0,,
phoneme,catboost,500,3,3,0,1.0,,
phoneme,label_propagation,50,3,3,0,1.0,,
phoneme,label_propagation,100,3,3,0,1.0,,
phoneme,label_propagation,250,3,3,0,1.0,,
phoneme,label_propagation,500,3,3,0,1.0,,
phoneme,label_spreading,50,3,3,0,1.0,,
phoneme,label_spreading,100,3,3,0,1.0,,
phoneme,label_spreading,250,3,3,0,1.0,,
phoneme,label_spreading,500,3,3,0,1.0,,
phoneme,lightgbm,50,3,3,0,1.0,,
phoneme,lightgbm,100,3,3,0,1.0,,
phoneme,lightgbm,250,3,3,0,1.0,,
phoneme,lightgbm,500,3,3,0,1.0,,
phoneme,logistic_regression,50,3,3,0,1.0,,
phoneme,logistic_regression,100,3,3,0,1.0,,
phoneme,logistic_regression,250,3,3,0,1.0,,
phoneme,logistic_regression,500,3,3,0,1.0,,
phoneme,mlp,50,3,3,0,1.0,,
phoneme,mlp,100,3,3,0,1.0,,
phoneme,mlp,250,3,3,0,1.0,,
phoneme,mlp,500,3,3,0,1.0,,
phoneme,random_forest,50,3,3,0,1.0,,
phoneme,random_forest,100,3,3,0,1.0,,
phoneme,random_forest,250,3,3,0,1.0,,
phoneme,random_forest,500,3,3,0,1.0,,
phoneme,rpl_lite_xgboost,50,3,3,0,1.0,,
phoneme,rpl_lite_xgboost,100,3,3,0,1.0,,
phoneme,rpl_lite_xgboost,250,3,3,0,1.0,,
phoneme,rpl_lite_xgboost,500,3,3,0,1.0,,
phoneme,rpl_lr,50,3,3,0,1.0,,
phoneme,rpl_lr,100,3,3,0,1.0,,
phoneme,rpl_lr,250,3,3,0,1.0,,
phoneme,rpl_lr,500,3,3,0,1.0,,
phoneme,scarf,50,3,3,0,1.0,,
phoneme,scarf,100,3,3,0,1.0,,
phoneme,scarf,250,3,3,0,1.0,,
phoneme,scarf,500,3,3,0,1.0,,
phoneme,self_training_catboost,50,3,3,0,1.0,,
phoneme,self_training_catboost,100,3,3,0,1.0,,
phoneme,self_training_catboost,250,3,3,0,1.0,,
phoneme,self_training_catboost,500,3,3,0,1.0,,
phoneme,self_training_lightgbm,50,3,3,0,1.0,,
phoneme,self_training_lightgbm,100,3,3,0,1.0,,
phoneme,self_training_lightgbm,250,3,3,0,1.0,,
phoneme,self_training_lightgbm,500,3,3,0,1.0,,
phoneme,self_training_lr,50,3,3,0,1.0,,
phoneme,self_training_lr,100,3,3,0,1.0,,
phoneme,self_training_lr,250,3,3,0,1.0,,
phoneme,self_training_lr,500,3,3,0,1.0,,
phoneme,self_training_xgboost,50,3,3,0,1.0,,
phoneme,self_training_xgboost,100,3,3,0,1.0,,
phoneme,self_training_xgboost,250,3,3,0,1.0,,
phoneme,self_training_xgboost,500,3,3,0,1.0,,
phoneme,sslae,50,3,3,0,1.0,,
phoneme,sslae,100,3,3,0,1.0,,
phoneme,sslae,250,3,3,0,1.0,,
phoneme,sslae,500,3,3,0,1.0,,
phoneme,vime_lite,50,3,3,0,1.0,,
phoneme,vime_lite,100,3,3,0,1.0,,
phoneme,vime_lite,250,3,3,0,1.0,,
phoneme,vime_lite,500,3,3,0,1.0,,
phoneme,xgboost,50,3,3,0,1.0,,
phoneme,xgboost,100,3,3,0,1.0,,
phoneme,xgboost,250,3,3,0,1.0,,
phoneme,xgboost,500,3,3,0,1.0,,
spambase,catboost,50,3,3,0,1.0,,
spambase,catboost,100,3,3,0,1.0,,
spambase,catboost,250,3,3,0,1.0,,
spambase,catboost,500,3,3,0,1.0,,
spambase,label_propagation,50,3,0,3,0.0,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3670, n_labeled..."
spambase,label_propagation,100,3,2,1,0.6666666666666666,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3660, n_labeled..."
spambase,label_propagation,250,3,3,0,1.0,,
spambase,label_propagation,500,3,3,0,1.0,,
spambase,label_spreading,50,3,0,3,0.0,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3670, n_labeled..."
spambase,label_spreading,100,3,2,1,0.6666666666666666,failed_graph_ssl_nan,"GraphSSLNanError: Graph SSL failed after retries. tried_neighbors=[7, 15, 30, 50, 5, 3], n_graph_rows=3660, n_labeled..."
spambase,label_spreading,250,3,3,0,1.0,,
spambase,label_spreading,500,3,3,0,1.0,,
spambase,lightgbm,50,3,3,0,1.0,,
spambase,lightgbm,100,3,3,0,1.0,,
spambase,lightgbm,250,3,3,0,1.0,,
spambase,lightgbm,500,3,3,0,1.0,,
spambase,logistic_regression,50,3,3,0,1.0,,
spambase,logistic_regression,100,3,3,0,1.0,,
spambase,logistic_regression,250,3,3,0,1.0,,
spambase,logistic_regression,500,3,3,0,1.0,,
spambase,mlp,50,3,3,0,1.0,,
spambase,mlp,100,3,3,0,1.0,,
spambase,mlp,250,3,3,0,1.0,,
spambase,mlp,500,3,3,0,1.0,,
spambase,random_forest,50,3,3,0,1.0,,
spambase,random_forest,100,3,3,0,1.0,,
spambase,random_forest,250,3,3,0,1.0,,
spambase,random_forest,500,3,3,0,1.0,,
spambase,rpl_lite_xgboost,50,3,3,0,1.0,,
spambase,rpl_lite_xgboost,100,3,3,0,1.0,,
spambase,rpl_lite_xgboost,250,3,3,0,1.0,,
spambase,rpl_lite_xgboost,500,3,3,0,1.0,,
spambase,rpl_lr,50,3,3,0,1.0,,
spambase,rpl_lr,100,3,3,0,1.0,,
spambase,rpl_lr,250,3,3,0,1.0,,
spambase,rpl_lr,500,3,3,0,1.0,,
spambase,scarf,50,3,3,0,1.0,,
spambase,scarf,100,3,3,0,1.0,,
