dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean,n_paired_seeds,n_expected_seeds,pair_complete,comparison_warning
letter,rpl_lite_xgboost,xgboost,50,-0.022205982045986894,0.007169999222037096,-0.02094741830338513,0.006945730176685735,-0.029599759432613948,0.0035311863008152832,1.9693445142307586,0.08789968652037612,3,3,True,
letter,rpl_lite_xgboost,xgboost,100,-0.02028412411171134,0.015545093612604189,-0.02703365661351037,0.015042533232461597,-0.04265700240466156,0.009324776133781234,3.836734941468945,0.26995807127882593,3,3,True,
letter,rpl_lite_xgboost,xgboost,250,0.0017434062805296395,0.01611191824157332,7.876965101834739e-05,0.016639325686509603,-0.018094818549063696,0.005028599319921766,2.555662873541792,0.3809523809523809,3,3,True,
letter,rpl_lite_xgboost,xgboost,500,-0.009222091242889566,0.003431103523531639,-0.010094090656574073,0.004338408191637992,-0.005622859953897996,0.0008488250969271563,2.333331687054382,0.3870967741935483,3,3,True,
letter,rpl_lr,logistic_regression,50,-0.05379356177946649,0.00556305575364046,-0.0625004654872016,0.008314256760619627,-0.05587719035733115,0.01069929457911883,1.2138910364592677,,3,3,True,
letter,rpl_lr,logistic_regression,100,-0.09045711912195849,0.007815105476739352,-0.10173168113940605,0.019074085208351865,-0.03549278780075612,0.00983758760407915,1.2952810964622143,,3,3,True,
letter,rpl_lr,logistic_regression,250,-0.06053568926797211,0.019717805153483158,-0.07466922966242084,0.023505388920900008,-0.01842792419777643,0.0011350745722562567,1.9036230524346207,,3,3,True,
letter,rpl_lr,logistic_regression,500,-0.039446226038862865,0.008034712702987605,-0.05069317131196912,0.00676702851977584,-0.004994014439638872,0.0016239292278020297,1.5261302618065011,,3,3,True,
letter,self_training_catboost,catboost,50,-0.04826825824372571,0.008040684621997005,-0.05592371409476513,0.007947706564596134,-0.022525217869985775,0.0072085881877787875,2.0173921674858604,0.0,3,3,True,
letter,self_training_catboost,catboost,100,-0.0397133721464887,0.012669705729748126,-0.04326540083140096,0.009343365532376765,-0.020201532382564207,0.002084397232084165,1.6312502381796705,0.0,3,3,True,
letter,self_training_catboost,catboost,250,-0.03335505610742617,0.005568943840435137,-0.035649273820585616,0.006447568205509662,-0.013628073868401555,0.0004498743620794052,1.9954762043296272,0.0,3,3,True,
letter,self_training_catboost,catboost,500,-0.047364916969925695,0.010057841271405719,-0.048339717666374384,0.009832719638658616,-0.010783761978208406,0.0017714445297779993,1.622373760887025,0.0,3,3,True,
letter,self_training_lightgbm,lightgbm,50,0.04316894635426677,0.06383368568284713,0.02858020797385677,0.07432542767881725,-0.062022299896121846,0.04075429334447825,12.987508489077912,0.32196447230929987,3,3,True,
letter,self_training_lightgbm,lightgbm,100,0.018702023988841538,0.00362954996464725,0.01016446207810969,0.006367156423299673,-0.029331504629263854,0.011305524870448948,10.220827510796312,0.3773584905660377,3,3,True,
letter,self_training_lightgbm,lightgbm,250,0.00910999832478343,0.00920110537060629,0.0069092602667705965,0.009648361136393299,-0.0174885324204133,0.002045887326191777,9.293327631285932,0.3809523809523809,3,3,True,
letter,self_training_lightgbm,lightgbm,500,-0.0099066615390729,0.009725659852739961,-0.009837765712840377,0.010867078913262768,-0.009576581921690938,0.0008823508075742366,7.857163636229806,0.3870967741935483,3,3,True,
