dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
letter,6,catboost,50,0.3205,0.03925000000000001,3,0.3189306141160459,0.04089486842364968,3,0.2863023517836331,0.05266429169863415,3,0.2863023517836331,0.05266429169863415,3,0.8309173100912872,0.034024118404189715,3,,,0,2.5537321571347893,0.12090765145605367,3,6.843700000000001,0.770138455084539,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,catboost,100,0.5425833333333334,0.011292512268460592,3,0.5412492771341653,0.011456106357442375,3,0.5423685339578009,0.007523020985048686,3,0.5423685339578009,0.007523020985048686,3,0.9163819526325776,0.005374873916155961,3,,,0,1.9008305422462486,0.013581603380619027,3,9.149266666666668,0.7321355771531209,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,catboost,250,0.6295833333333333,0.02173466892624161,3,0.6284201043438976,0.02132734437817406,3,0.6306738608763914,0.020008033886968608,3,0.6306738608763914,0.020008033886968608,3,0.948728402155453,0.011000427143007866,3,,,0,1.4719884218493322,0.07819872915240018,3,9.573166666666667,2.355435537927824,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,random_forest,500,0.7278333333333333,0.011514483632943927,3,0.7269478079422216,0.011644789229198843,3,0.7271055063331269,0.012188940962979077,3,0.7271055063331269,0.012188940962979077,3,0.9640587201800092,0.0030242019375647466,3,,,0,1.3614721997157513,0.07002589684514873,3,3.5497,1.709191443343899,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,rpl_lite_xgboost,50,0.7465309898242368,0.0009250693802035637,3,0.711785885345269,0.027985880250139587,3,0.7028589335389214,0.015264456338398794,3,0.7028589335389214,0.015264456338398794,3,0.7953036484053709,0.03792491087540759,3,0.5685573493427346,0.056331640514614874,3,1.1190165678660076,0.047713274984963236,3,7.5408,3.375462058740995,3,1993.6666666666667,159.92602456552632,3,0.46657305562056317,0.037427106146858465,3,3,3,0,1.0,True,1.0
phoneme,1489,rpl_lite_xgboost,100,0.7718162195497996,0.005652267277158061,3,0.7429015200312704,0.016027398840238773,3,0.7337969913052337,0.010788771994437812,3,0.7337969913052337,0.010788771994437812,3,0.8285312787311234,0.022841247296966297,3,0.60863787150921,0.06740464049960238,3,0.9353115757306417,0.15578950201842937,3,9.209666666666665,0.9259778957044996,3,2045.6666666666667,28.290163190291644,3,0.4844107664377615,0.006699067769427374,3,3,3,0,1.0,True,1.0
phoneme,1489,self_training_lightgbm,250,0.810977489978415,0.008342737748053438,3,0.7838339086439735,0.013829517849607884,3,0.7770445773940798,0.01129150156109806,3,0.7770445773940798,0.01129150156109806,3,0.8750942793752512,0.00888934443632855,3,0.7071505433003934,0.038416022946739244,3,1.3472009098223137,0.0786503183233282,3,15.2281,6.707845016844083,3,1989.0,0.0,3,0.4883378345200098,0.0,3,3,3,0,1.0,True,1.0
phoneme,1489,self_training_lightgbm,500,0.8368794326241135,0.01072176296682927,3,0.8000052300967292,0.01998551236057293,3,0.8017573847021695,0.015725735959320076,3,0.8017573847021695,0.015725735959320076,3,0.9004905280195551,0.006890552613072637,3,0.7675227281052853,0.008206050972091077,3,1.02971819700499,0.017310605641706747,3,13.688266666666665,3.4801230097991263,3,1867.0,0.0,3,0.4883599267590897,0.0,3,3,3,0,1.0,True,1.0
spambase,44,random_forest,50,0.8689829895041621,0.038790236335759516,3,0.8448635919310407,0.05074498503073777,3,0.8555077865376024,0.0476377028556966,3,0.8555077865376024,0.0476377028556966,3,0.9364860728497092,0.01141507371443301,3,0.9208186485038102,0.017296884634743662,3,0.37084032546452694,0.03352512599003477,3,2.6412666666666667,0.5777929156136593,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,random_forest,100,0.9022801302931596,0.022801302931596087,3,0.8858205713044423,0.03262009797823485,3,0.8942626353813664,0.027322293408554427,3,0.8942626353813664,0.027322293408554427,3,0.9555517705566583,0.00872930039084946,3,0.9490916302684774,0.009325723312688269,3,0.3196746000584474,0.022104301537584328,3,3.3622,2.08542376269189,3,,,0,,,0,3,3,0,1.0,True,1.0
