dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete
letter,6,catboost,50,0.3205,0.03925000000000001,3,0.3189306141160459,0.04089486842364968,3,0.2863023517836331,0.05266429169863415,3,0.2863023517836331,0.05266429169863415,3,0.8309173100912872,0.034024118404189715,3,,,0,2.5537321571347893,0.12090765145605367,3,6.843700000000001,0.770138455084539,3,,,0,,,0,3,3,0,1.0,True
letter,6,catboost,100,0.5425833333333334,0.011292512268460592,3,0.5412492771341653,0.011456106357442375,3,0.5423685339578009,0.007523020985048686,3,0.5423685339578009,0.007523020985048686,3,0.9163819526325776,0.005374873916155961,3,,,0,1.9008305422462486,0.013581603380619027,3,9.149266666666668,0.7321355771531209,3,,,0,,,0,3,3,0,1.0,True
letter,6,catboost,250,0.6295833333333333,0.02173466892624161,3,0.6284201043438976,0.02132734437817406,3,0.6306738608763914,0.020008033886968608,3,0.6306738608763914,0.020008033886968608,3,0.948728402155453,0.011000427143007866,3,,,0,1.4719884218493322,0.07819872915240018,3,9.573166666666667,2.355435537927824,3,,,0,,,0,3,3,0,1.0,True
letter,6,catboost,500,0.7270833333333333,0.017917054259373448,3,0.7263049304493393,0.018028286780243458,3,0.7278266042300562,0.019464601902045887,3,0.7278266042300562,0.019464601902045887,3,0.9729086624778006,0.0028556307684024797,3,,,0,1.0917091714351645,0.03323763290003243,3,10.633866666666666,1.6897835196655615,3,,,0,,,0,3,3,0,1.0,True
letter,6,label_propagation,50,0.1945,0.008019507466172728,3,0.1935609959782828,0.010229344707598193,3,0.16863537785853025,0.02198937431369136,3,0.16863537785853025,0.02198937431369136,3,0.8026521020870833,0.027817095156227593,3,,,0,3.734727614009401,0.3966513374068229,3,82.17563333333334,38.19054792253357,3,,,0,,,0,3,3,0,1.0,True
letter,6,label_propagation,100,0.27175,0.018786630884754196,3,0.2714588305224775,0.01886067997181508,3,0.2725588086357792,0.03011592978745334,3,0.2725588086357792,0.03011592978745334,3,0.8763637882877351,0.0026366220813879467,3,,,0,2.594608840208249,0.03318101546276834,3,83.20933333333333,18.00288136891797,3,,,0,,,0,3,3,0,1.0,True
letter,6,label_propagation,250,0.39841666666666664,0.018175074506954124,3,0.39709962208252486,0.01902158339430686,3,0.40946221731002436,0.019610962876719363,3,0.40946221731002436,0.019610962876719363,3,0.912612165357833,0.012091748449740048,3,,,0,2.091985723258586,0.07560221498929641,3,80.43,6.74626052935995,3,,,0,,,0,3,3,0,1.0,True
letter,6,label_propagation,500,0.47641666666666665,0.013077493388770395,3,0.4752008362695983,0.013632110859869678,3,0.5017105561552322,0.018972140828224127,3,0.5017105561552322,0.018972140828224127,3,0.9491380129925878,0.0017019443052672023,3,,,0,1.6778260542117203,0.027055362944471688,3,74.75246666666668,6.131221204077799,3,,,0,,,0,3,3,0,1.0,True
letter,6,label_spreading,50,0.374,0.008485281374238578,2,0.3734684385991747,0.009076916359335373,2,0.3632350460142285,0.011985503218337561,2,0.3632350460142285,0.011985503218337561,2,0.8333789808724585,0.019102641948639792,2,,,0,5.257352921213678,0.8810764991159774,2,12.639,0.06590235200658776,2,,,0,,,0,3,2,1,0.6666666666666666,False
letter,6,label_spreading,100,0.513,0.010720890821195778,3,0.5123547806749426,0.010299660532874571,3,0.5184059634029112,0.01603632129941894,3,0.5184059634029112,0.01603632129941894,3,0.8943246793950048,0.007849272879549413,3,,,0,2.92027145182784,0.26050820564436106,3,12.948633333333333,1.5769245395177713,3,,,0,,,0,3,3,0,1.0,True
letter,6,label_spreading,250,0.5978333333333333,0.00418578945162479,3,0.5966513777210795,0.004028462412126018,3,0.6004617988438475,0.005499869850302904,3,0.6004617988438475,0.005499869850302904,3,0.9345983080264508,0.013328199438357313,3,,,0,1.8743702526584107,0.30094470390172967,3,12.6738,2.0206271031538696,3,,,0,,,0,3,3,0,1.0,True
letter,6,label_spreading,500,0.6815000000000001,0.006144102863722296,3,0.6801474825411059,0.006060531168043294,3,0.6825108220224472,0.007549150121521918,3,0.6825108220224472,0.007549150121521918,3,0.9641951911796607,0.002702078341287283,3,,,0,1.223196912698587,0.03669894825397948,3,11.211799999999998,0.4188433119914893,3,,,0,,,0,3,3,0,1.0,True
letter,6,lightgbm,50,0.22791666666666666,0.05050082507576815,3,0.22672880924829264,0.049132031698465924,3,0.20304685441633782,0.042177087600670106,3,0.20304685441633782,0.042177087600670106,3,0.7583412799601029,0.031345265837022476,3,,,0,3.7646010157724556,0.49461786979730443,3,10.766799999999998,1.1357065510069053,3,,,0,,,0,3,3,0,1.0,True
letter,6,lightgbm,100,0.49524999999999997,0.008011710179480982,3,0.4943553905997593,0.0075192243508369755,3,0.4935526200452219,0.01145940765462688,3,0.4935526200452219,0.01145940765462688,3,0.8820728307827559,0.00542824703329443,3,,,0,2.8617772031715187,0.0863438456183247,3,15.300166666666668,1.348164475623556,3,,,0,,,0,3,3,0,1.0,True
letter,6,lightgbm,250,0.60725,0.014551632210855203,3,0.606658128526189,0.014110148346417866,3,0.6070024252871002,0.013413858752550866,3,0.6070024252871002,0.013413858752550866,3,0.9327312875158086,0.009496470023739741,3,,,0,2.163182751223188,0.18633840403325289,3,21.972800000000003,1.0077771628688548,3,,,0,,,0,3,3,0,1.0,True
letter,6,lightgbm,500,0.71075,0.013536986370680845,3,0.7100562381382113,0.013696048896758127,3,0.7099291493207414,0.013567036917485814,3,0.7099291493207414,0.013567036917485814,3,0.963989651666968,0.0036163031900779477,3,,,0,1.5384433826270378,0.09817342704243279,3,38.326166666666666,4.080699180696042,3,,,0,,,0,3,3,0,1.0,True
letter,6,logistic_regression,50,0.3176666666666667,0.03707200201409861,3,0.3164657441519747,0.038558380101680494,3,0.2935300620169612,0.047411908578320484,3,0.2935300620169612,0.047411908578320484,3,0.8169678185362609,0.022073043510207068,3,,,0,2.6238977909088135,0.2137569976863551,3,0.8374666666666668,0.2702828210103878,3,,,0,,,0,3,3,0,1.0,True
