dataset,method,n_labeled,pseudo_label_fraction,pseudo_label_fraction,pseudo_label_fraction,n_pseudo_added_total,n_pseudo_added_total,n_pseudo_added_total,runtime_seconds,runtime_seconds,runtime_seconds
,,,mean,std,count,mean,std,count,mean,std,count
letter,rpl_lite_xgboost,50,0.0544200626959247,,1,868.0,,1,41.7561,,1
letter,rpl_lite_xgboost,100,0.2731446540880503,,1,4343.0,,1,63.0374,,1
letter,rpl_lite_xgboost,250,0.3809523809523809,,1,6000.0,,1,73.3461,,1
letter,rpl_lite_xgboost,500,0.3870967741935484,,1,6000.0,,1,71.8859,,1
letter,rpl_lr,50,,,0,,,0,0.7685,,1
letter,rpl_lr,100,,,0,,,0,1.0684,,1
letter,rpl_lr,250,,,0,,,0,1.1701,,1
letter,rpl_lr,500,,,0,,,0,1.3518,,1
letter,self_training_catboost,50,0.0,,1,0.0,,1,5.4393,,1
letter,self_training_catboost,100,0.0,,1,0.0,,1,6.7577,,1
letter,self_training_catboost,250,0.0,,1,0.0,,1,4.9465,,1
letter,self_training_catboost,500,0.0,,1,0.0,,1,6.8563,,1
letter,self_training_lightgbm,50,0.2827586206896552,,1,4510.0,,1,229.1171,,1
letter,self_training_lightgbm,100,0.3773584905660377,,1,6000.0,,1,147.1275,,1
letter,self_training_lightgbm,250,0.3809523809523809,,1,6000.0,,1,174.1187,,1
letter,self_training_lightgbm,500,0.3870967741935484,,1,6000.0,,1,315.0146,,1
letter,self_training_lr,50,0.0,,1,0.0,,1,0.3096,,1
letter,self_training_lr,100,0.0960377358490566,,1,1527.0,,1,0.4341,,1
letter,self_training_lr,250,0.1032380952380952,,1,1626.0,,1,0.5065,,1
letter,self_training_lr,500,0.1524516129032258,,1,2363.0,,1,0.781,,1
letter,self_training_xgboost,50,0.0,,1,0.0,,1,60.5946,,1
letter,self_training_xgboost,100,0.0795597484276729,,1,1265.0,,1,145.6193,,1
letter,self_training_xgboost,250,0.3361904761904762,,1,5295.0,,1,209.8916,,1
letter,self_training_xgboost,500,0.3870967741935484,,1,6000.0,,1,208.5153,,1
phoneme,rpl_lite_xgboost,50,0.4233559560028083,,1,1809.0,,1,29.9337,,1
phoneme,rpl_lite_xgboost,100,0.4766753492777646,,1,2013.0,,1,19.1307,,1
phoneme,rpl_lite_xgboost,250,0.4883378345200098,,1,1989.0,,1,11.3423,,1
phoneme,rpl_lite_xgboost,500,0.4883599267590897,,1,1867.0,,1,13.7186,,1
phoneme,rpl_lr,50,,,0,,,0,0.3402,,1
phoneme,rpl_lr,100,,,0,,,0,0.3064,,1
phoneme,rpl_lr,250,,,0,,,0,0.3023,,1
phoneme,rpl_lr,500,,,0,,,0,0.2969,,1
phoneme,self_training_catboost,50,0.0,,1,0.0,,1,0.7611,,1
phoneme,self_training_catboost,100,0.0,,1,0.0,,1,0.8791,,1
phoneme,self_training_catboost,250,0.1841394549472133,,1,750.0,,1,2.9857,,1
phoneme,self_training_catboost,500,0.1961810096782631,,1,750.0,,1,3.528,,1
phoneme,self_training_lightgbm,50,0.0,,1,0.0,,1,0.6965,,1
phoneme,self_training_lightgbm,100,0.477148946246744,,1,2015.0,,1,22.0287,,1
phoneme,self_training_lightgbm,250,0.4883378345200098,,1,1989.0,,1,24.5888,,1
phoneme,self_training_lightgbm,500,0.4883599267590897,,1,1867.0,,1,31.4176,,1
phoneme,self_training_lr,50,0.4952024338871987,,1,2116.0,,1,0.1979,,1
phoneme,self_training_lr,100,0.4998816007577552,,1,2111.0,,1,0.1458,,1
phoneme,self_training_lr,250,0.4338325558556347,,1,1767.0,,1,0.0783,,1
