dataset,ssl_method,supervised_method,n_labeled,delta_balanced_accuracy_mean,delta_balanced_accuracy_std,delta_macro_f1_mean,delta_macro_f1_std,delta_roc_auc_mean,delta_roc_auc_std,runtime_ratio_ssl_over_sup_mean,pseudo_label_fraction_mean
letter,rpl_lite_xgboost,xgboost,50,-0.02649258120007969,,-0.023729727639943604,,-0.025858430576959357,,1.6116508226902726,0.0544200626959247
letter,rpl_lite_xgboost,xgboost,100,-0.03363673492843178,,-0.03835191103025998,,-0.052748281943148845,,2.492256842721195,0.2731446540880503
letter,rpl_lite_xgboost,xgboost,250,-0.012837625663787211,,-0.015888607278312095,,-0.02301231541372739,,1.711562470101486,0.3809523809523809
letter,rpl_lite_xgboost,xgboost,500,-0.01050251375644784,,-0.01272572765049973,,-0.006493076849972468,,2.1878345928277296,0.3870967741935484
letter,rpl_lr,logistic_regression,50,-0.0496404169555682,,-0.06402599565766509,,-0.04786106748308905,,1.5515848980415907,
letter,rpl_lr,logistic_regression,100,-0.08248597665429364,,-0.08278572927078581,,-0.04251092776188581,,2.661684105630294,
letter,rpl_lr,logistic_regression,250,-0.0795425559193399,,-0.09795624421209082,,-0.019711739876801637,,3.013391707442699,
letter,rpl_lr,logistic_regression,500,-0.0484085423663293,,-0.05764774672993478,,-0.00551512087920103,,2.699820251647693,
letter,self_training_catboost,catboost,50,-0.054001287642210016,,-0.06267302598613961,,-0.015341134885599628,,0.9426209621516706,0.0
letter,self_training_catboost,catboost,100,-0.046621944160283424,,-0.046778609841039986,,-0.020525740534816372,,0.8572606528054396,0.0
letter,self_training_catboost,catboost,250,-0.03882190097766336,,-0.04203212743574536,,-0.01333363064512827,,0.5502775583762557,0.0
letter,self_training_catboost,catboost,500,-0.04175099373095903,,-0.044853877504862694,,-0.008775576394105422,,0.8200334888171271,0.0
letter,self_training_lightgbm,lightgbm,50,0.116783485916899,,0.1142812971519884,,-0.017188955754983914,,25.110099183516905,0.2827586206896552
letter,self_training_lightgbm,lightgbm,100,0.014608896810249739,,0.0031632448552667003,,-0.040318796786824374,,7.165765634132087,0.3773584905660377
letter,self_training_lightgbm,lightgbm,250,0.019396851573840745,,0.017469645446234527,,-0.019831755232613935,,6.2969899931648285,0.3809523809523809
letter,self_training_lightgbm,lightgbm,500,-0.02109361416430411,,-0.022165203095648844,,-0.010578669093976534,,4.959274436676149,0.3870967741935484
letter,self_training_lr,logistic_regression,50,0.0,,0.0,,0.0,,0.6250757116898848,0.0
letter,self_training_lr,logistic_regression,100,-0.03982387114788155,,-0.03467081371421754,,-0.020092752463401253,,1.0814648729446936,0.0960377358490566
letter,self_training_lr,logistic_regression,250,-0.030853929243782274,,-0.035644027975765824,,-0.007341661893838558,,1.3044038114859644,0.1032380952380952
letter,self_training_lr,logistic_regression,500,-0.011022274485178563,,-0.013880054097343275,,-0.002533962197245221,,1.5598162572398642,0.1524516129032258
letter,self_training_xgboost,xgboost,50,0.0,,0.0,,0.0,,2.338756180308697,0.0
letter,self_training_xgboost,xgboost,100,-0.03873146643998948,,-0.03950283138094379,,-0.015438028255681968,,5.757228198772007,0.0795597484276729
