dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
letter,6,catboost,50,0.3205,,1,0.3199324526843887,,1,0.2963440676561575,,1,0.2963440676561575,,1,0.843882938346773,,1,,,0,2.5408792213360925,,1,5.7704,,1,,,0,,,0
letter,6,catboost,100,0.547,,1,0.545488977363327,,1,0.5396637864366618,,1,0.5396637864366618,,1,0.921394147878284,,1,,,0,1.894002787490516,,1,7.8829,,1,,,0,,,0
letter,6,catboost,250,0.64625,,1,0.6448299818925113,,1,0.6451074136149683,,1,0.6451074136149683,,1,0.957652117208963,,1,,,0,1.414517649104981,,1,8.9891,,1,,,0,,,0
letter,6,catboost,500,0.74725,,1,0.7466896823342147,,1,0.7496508966893737,,1,0.7496508966893737,,1,0.9762017321584264,,1,,,0,1.0533719208940109,,1,8.361,,1,,,0,,,0
letter,6,label_propagation,50,0.19625,,1,0.1960076785366194,,1,0.1736406117493301,,1,0.1736406117493301,,1,0.8109974859963935,,1,,,0,3.9082046773539054,,1,61.8525,,1,,,0,,,0
letter,6,label_propagation,100,0.2635,,1,0.2622346894499459,,1,0.2635024070479915,,1,0.2635024070479915,,1,0.8741549108682091,,1,,,0,2.595755020836536,,1,56.3764,,1,,,0,,,0
letter,6,label_propagation,250,0.39275,,1,0.3910178901152603,,1,0.4003121935060261,,1,0.4003121935060261,,1,0.9254059706998004,,1,,,0,2.0144516894662474,,1,48.4831,,1,,,0,,,0
letter,6,label_propagation,500,0.46825,,1,0.4667214478674888,,1,0.4859630741113466,,1,0.4859630741113466,,1,0.9496986866886792,,1,,,0,1.6881107256151235,,1,51.0419,,1,,,0,,,0
letter,6,label_spreading,50,0.368,,1,0.3670500894892256,,1,0.3547600154126089,,1,0.3547600154126089,,1,0.8198713732119967,,1,,,0,5.8803680884826885,,1,11.4109,,1,,,0,,,0
letter,6,label_spreading,100,0.50375,,1,0.5033413582064811,,1,0.5005176994714098,,1,0.5005176994714098,,1,0.8979557679395358,,1,,,0,2.823738460896684,,1,16.0028,,1,,,0,,,0
letter,6,label_spreading,250,0.60025,,1,0.5986283835703108,,1,0.6020906690740843,,1,0.6020906690740843,,1,0.9495987746820904,,1,,,0,1.5287436907269694,,1,9.9249,,1,,,0,,,0
letter,6,label_spreading,500,0.6745,,1,0.673244681730658,,1,0.67414460561133,,1,0.67414460561133,,1,0.9669287417325936,,1,,,0,1.1808789119416747,,1,9.4919,,1,,,0,,,0
letter,6,lightgbm,50,0.17025,,1,0.1706649688984234,,1,0.1547673270003936,,1,0.1547673270003936,,1,0.7257183688655936,,1,,,0,3.772157803870221,,1,9.1245,,1,,,0,,,0
letter,6,lightgbm,100,0.4875,,1,0.4872208406760294,,1,0.4823761000232651,,1,0.4823761000232651,,1,0.8883288366227059,,1,,,0,2.7660071065707545,,1,20.532,,1,,,0,,,0
letter,6,lightgbm,250,0.61825,,1,0.6173146397354814,,1,0.6156480127506991,,1,0.6156480127506991,,1,0.9434201486380144,,1,,,0,1.961388396090792,,1,27.6511,,1,,,0,,,0
letter,6,lightgbm,500,0.72625,,1,0.7257008709215853,,1,0.72544679980919,,1,0.72544679980919,,1,0.9679046360041478,,1,,,0,1.4339345917872433,,1,63.5203,,1,,,0,,,0
letter,6,logistic_regression,50,0.33,,1,0.3295163076412413,,1,0.316275063777394,,1,0.316275063777394,,1,0.8258827092509725,,1,,,0,2.607950210571289,,1,0.4953,,1,,,0,,,0
letter,6,logistic_regression,100,0.51175,,1,0.5107145554033182,,1,0.5015266510652576,,1,0.5015266510652576,,1,0.90707297186664,,1,,,0,1.8491506576538088,,1,0.4014,,1,,,0,,,0
letter,6,logistic_regression,250,0.5955,,1,0.5936541088564823,,1,0.5934349534621235,,1,0.5934349534621235,,1,0.9422443281543016,,1,,,0,1.499135971069336,,1,0.3883,,1,,,0,,,0
letter,6,logistic_regression,500,0.68075,,1,0.6793518264750271,,1,0.6784490939234467,,1,0.6784490939234467,,1,0.9608080277033488,,1,,,0,1.228945016860962,,1,0.5007,,1,,,0,,,0
