dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
letter,6,sslae,50,0.3496666666666666,0.03274650108535771,3,0.3488742709360262,0.03359956052425353,3,0.3298296313492506,0.034124475857268056,3,0.3298296313492506,0.034124475857268056,3,0.8251116226867256,0.018922282059615787,3,,,0,2.7465623525298013,0.2021267319652578,3,107.58123333333333,6.922975187976152,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,sslae,100,0.5170833333333333,0.0040414518843274,3,0.516341916730533,0.004681077202942014,3,0.5141908614469785,0.008055757406901875,3,0.5141908614469785,0.008055757406901875,3,0.9091189531884676,0.0019719692172711573,3,,,0,1.8978185312912723,0.04462532447613827,3,98.85793333333334,24.042796560369876,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,sslae,250,0.56075,0.020032785627565587,3,0.5592989478583251,0.019631969817222997,3,0.5588018660435831,0.023968761612540853,3,0.5588018660435831,0.023968761612540853,3,0.9323237436279096,0.002318592591804636,3,,,0,1.620876391701503,0.020075580729099072,3,69.84023333333333,18.43854368905889,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,scarf,500,0.6485,0.016822603841260768,3,0.6474976989451315,0.016650758837573495,3,0.6456361061112512,0.019502128091234597,3,0.6456361061112512,0.019502128091234597,3,0.9601117873188239,0.005850459823131807,3,,,0,1.3037202541245132,0.09249128257731751,3,170.50109999999998,115.37561897433096,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,scarf,50,0.7388220783225409,0.009891467735026447,3,0.6657273137672662,0.03720314795371692,3,0.6683478032366571,0.024698834364182683,3,0.6683478032366571,0.024698834364182683,3,0.7693513578982719,0.0180526141799941,3,0.5453207417064049,0.027074540412864435,3,0.669982945793326,0.10887969986834731,3,38.533566666666665,34.663139088134145,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,scarf,100,0.7733580018501387,0.009388428829872564,3,0.7184604522106793,0.02783305031952594,3,0.721261824330169,0.02067697309511079,3,0.721261824330169,0.02067697309511079,3,0.7904547982008467,0.007864987486498094,3,0.5748362709885094,0.04979765192531384,3,0.514508697834692,0.040057007121776796,3,44.46096666666667,39.3154681079004,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,sslae,250,0.7795251310514955,0.010397604255373016,3,0.7354355569502481,0.04108858437249627,3,0.7321795641891292,0.02656317519022096,3,0.7321795641891292,0.02656317519022096,3,0.8523048210481114,0.006501470092299731,3,0.6533434544227879,0.02412451678944259,3,0.45453819542700113,0.03798748722421428,3,10.441666666666668,3.7646473331951475,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,vime_lite,500,0.7992599444958373,0.004239200457868581,3,0.7561646324343072,0.02648097504760969,3,0.756147406792394,0.014224313715287056,3,0.756147406792394,0.014224313715287056,3,0.8683226804521005,0.008745999722943648,3,0.6907246159864578,0.006538068589104982,3,0.4082542942546499,0.01402812403212471,3,35.376666666666665,31.716267924573557,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,vime_lite,50,0.8874411871154542,0.03933348705093914,3,0.8764625729435114,0.0446685229773445,3,0.8804713351362031,0.042608480801254275,3,0.8804713351362031,0.042608480801254275,3,0.9396292675862569,0.029313663911162857,3,0.9030223177696411,0.05309431811835741,3,0.37682713594672407,0.1269027383551065,3,63.543733333333336,10.703268477588205,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,scarf,100,0.8888888888888888,0.035918251231018675,3,0.8766946098324397,0.042591094910295474,3,0.8814882995470468,0.03911852452845218,3,0.8814882995470468,0.03911852452845218,3,0.9415645539790214,0.018360994820991183,3,0.8977927623188879,0.04441851869327191,3,0.5746745623437789,0.3197870981462022,3,52.0422,25.091621913100795,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,sslae,250,0.9145855953673543,0.022602236693443342,3,0.9108978346515003,0.024088752269611293,3,0.9105946945051294,0.02366234051024575,3,0.9105946945051294,0.02366234051024575,3,0.9568641777830439,0.012240204530356371,3,0.9166513394299801,0.036031226359934346,3,0.31071401000547555,0.0658457051766842,3,20.072066666666668,5.582679306868104,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,scarf,500,0.9106044154904089,0.012953695380509075,3,0.9064891337618611,0.009892954926812204,3,0.9064589935887168,0.012772440716681491,3,0.9064589935887168,0.012772440716681491,3,0.9612843982345449,0.0033433056545409973,3,0.9316284431902758,0.006176507381454383,3,0.2701114240001316,0.016643980349013404,3,36.05073333333333,17.076332523212745,3,,,0,,,0,3,3,0,1.0,True,1.0
