dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
letter,scarf,50,3,3,0,1.0,,
letter,scarf,100,3,3,0,1.0,,
letter,scarf,250,3,3,0,1.0,,
letter,scarf,500,3,3,0,1.0,,
letter,sslae,50,3,3,0,1.0,,
letter,sslae,100,3,3,0,1.0,,
letter,sslae,250,3,3,0,1.0,,
letter,sslae,500,3,3,0,1.0,,
letter,vime_lite,50,3,3,0,1.0,,
letter,vime_lite,100,3,3,0,1.0,,
letter,vime_lite,250,3,3,0,1.0,,
letter,vime_lite,500,3,3,0,1.0,,
phoneme,scarf,50,3,3,0,1.0,,
phoneme,scarf,100,3,3,0,1.0,,
phoneme,scarf,250,3,3,0,1.0,,
phoneme,scarf,500,3,3,0,1.0,,
phoneme,sslae,50,3,3,0,1.0,,
phoneme,sslae,100,3,3,0,1.0,,
phoneme,sslae,250,3,3,0,1.0,,
phoneme,sslae,500,3,3,0,1.0,,
phoneme,vime_lite,50,3,3,0,1.0,,
phoneme,vime_lite,100,3,3,0,1.0,,
phoneme,vime_lite,250,3,3,0,1.0,,
phoneme,vime_lite,500,3,3,0,1.0,,
spambase,scarf,50,3,3,0,1.0,,
spambase,scarf,100,3,3,0,1.0,,
spambase,scarf,250,3,3,0,1.0,,
spambase,scarf,500,3,3,0,1.0,,
spambase,sslae,50,3,3,0,1.0,,
spambase,sslae,100,3,3,0,1.0,,
spambase,sslae,250,3,3,0,1.0,,
spambase,sslae,500,3,3,0,1.0,,
spambase,vime_lite,50,3,3,0,1.0,,
spambase,vime_lite,100,3,3,0,1.0,,
spambase,vime_lite,250,3,3,0,1.0,,
spambase,vime_lite,500,3,3,0,1.0,,
