dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy,ranking_warning
letter,6,sslae,50,0.3496666666666666,0.03274650108535771,3,0.3488742709360262,0.03359956052425353,3,0.3298296313492506,0.034124475857268056,3,0.3298296313492506,0.034124475857268056,3,0.8251116226867256,0.018922282059615787,3,,,0,2.7465623525298013,0.2021267319652578,3,107.58123333333333,6.922975187976152,3,,,0,,,0,3,3,0,1.0,True,1.0,
letter,6,scarf,50,0.32166666666666666,0.04254287053471277,3,0.32044983750778117,0.043363406434153005,3,0.303875091762771,0.0493276063197468,3,0.303875091762771,0.0493276063197468,3,0.805267033411775,0.02769503147275571,3,,,0,4.260605262658106,0.5763577470827858,3,109.77766666666666,10.03714414877725,3,,,0,,,0,3,3,0,1.0,True,2.0,
letter,6,vime_lite,50,0.3165833333333333,0.03949076896356073,3,0.3156209603289683,0.04046817212267949,3,0.3001560544623105,0.042505194185299966,3,0.3001560544623105,0.042505194185299966,3,0.8020471100462321,0.02497087869185539,3,,,0,4.502523757022995,0.638247561364893,3,113.59196666666666,19.419994913833875,3,,,0,,,0,3,3,0,1.0,True,3.0,
letter,6,sslae,100,0.5170833333333333,0.0040414518843274,3,0.516341916730533,0.004681077202942014,3,0.5141908614469785,0.008055757406901875,3,0.5141908614469785,0.008055757406901875,3,0.9091189531884676,0.0019719692172711573,3,,,0,1.8978185312912723,0.04462532447613827,3,98.85793333333334,24.042796560369876,3,,,0,,,0,3,3,0,1.0,True,1.0,
letter,6,vime_lite,100,0.517,0.01951121472384533,3,0.5156635380841085,0.019569116886683547,3,0.5165309586463178,0.01993316327856135,3,0.5165309586463178,0.01993316327856135,3,0.9067303087698355,0.004737514371186953,3,,,0,2.4834355151780585,0.11489584548857856,3,118.1629,17.02544915912646,3,,,0,,,0,3,3,0,1.0,True,2.0,
letter,6,scarf,100,0.4956666666666667,0.009779868778942448,3,0.49452667000122547,0.009564922463926467,3,0.49160816371163074,0.014194669949958747,3,0.49160816371163074,0.014194669949958747,3,0.9045243367587955,0.0038842074439582545,3,,,0,2.4628643377161974,0.0555556278888618,3,195.68123333333332,132.9737876047882,3,,,0,,,0,3,3,0,1.0,True,3.0,
letter,6,sslae,250,0.56075,0.020032785627565587,3,0.5592989478583251,0.019631969817222997,3,0.5588018660435831,0.023968761612540853,3,0.5588018660435831,0.023968761612540853,3,0.9323237436279096,0.002318592591804636,3,,,0,1.620876391701503,0.020075580729099072,3,69.84023333333333,18.43854368905889,3,,,0,,,0,3,3,0,1.0,True,1.0,
letter,6,vime_lite,250,0.5429166666666667,0.014283586151010282,3,0.5415412141442721,0.014091460903049396,3,0.5409700527190439,0.01677821087706774,3,0.5409700527190439,0.01677821087706774,3,0.930709749760688,0.004141935194942946,3,,,0,1.7276648932749827,0.04004577862040086,3,106.93883333333333,16.06684459012825,3,,,0,,,0,3,3,0,1.0,True,2.0,
letter,6,scarf,250,0.5414166666666667,0.02542308662089108,3,0.5403402746751217,0.025339229183683164,3,0.5389783652476005,0.027940693597515526,3,0.5389783652476005,0.027940693597515526,3,0.9313967747274728,0.00637029218014491,3,,,0,1.703057939177831,0.11225332777130444,3,190.43853333333334,74.50724825252462,3,,,0,,,0,3,3,0,1.0,True,3.0,
letter,6,scarf,500,0.6485,0.016822603841260768,3,0.6474976989451315,0.016650758837573495,3,0.6456361061112512,0.019502128091234597,3,0.6456361061112512,0.019502128091234597,3,0.9601117873188239,0.005850459823131807,3,,,0,1.3037202541245132,0.09249128257731751,3,170.50109999999998,115.37561897433096,3,,,0,,,0,3,3,0,1.0,True,1.0,
letter,6,vime_lite,500,0.6420833333333333,0.024854996144303382,3,0.6407802031141623,0.024712552306147672,3,0.6388758219738726,0.02469095666102419,3,0.6388758219738726,0.02469095666102419,3,0.9600686025153519,0.00521420006844177,3,,,0,1.2830265157568501,0.08163032089986813,3,110.24596666666666,10.323412472788887,3,,,0,,,0,3,3,0,1.0,True,2.0,
letter,6,sslae,500,0.6168333333333333,0.03270161820664742,3,0.6159067375214021,0.03306422424868807,3,0.6168507745571358,0.033800948762282,3,0.6168507745571358,0.033800948762282,3,0.9552071612925811,0.004941650658591127,3,,,0,1.3610947181026225,0.09929439953818599,3,58.54806666666667,4.66589040841438,3,,,0,,,0,3,3,0,1.0,True,3.0,
phoneme,1489,scarf,50,0.7388220783225409,0.009891467735026447,3,0.6657273137672662,0.03720314795371692,3,0.6683478032366571,0.024698834364182683,3,0.6683478032366571,0.024698834364182683,3,0.7693513578982719,0.0180526141799941,3,0.5453207417064049,0.027074540412864435,3,0.669982945793326,0.10887969986834731,3,38.533566666666665,34.663139088134145,3,,,0,,,0,3,3,0,1.0,True,1.0,
phoneme,1489,vime_lite,50,0.7394387912426765,0.009891467735026447,3,0.6430926938301375,0.08887035879358379,3,0.6311606449893132,0.10018923856336215,3,0.6311606449893132,0.10018923856336215,3,0.7363439421716462,0.06558539405202722,3,0.5177608261787299,0.0305692136647258,3,0.5944258442731556,0.06571909410594926,3,35.2307,23.44350231578038,3,,,0,,,0,3,3,0,1.0,True,2.0,
phoneme,1489,sslae,50,0.7243293246993524,0.02410511419203588,3,0.639478421721968,0.07079411871778918,3,0.6285197610412722,0.0673464123407646,3,0.6285197610412722,0.0673464123407646,3,0.7490709696599337,0.038168723980573666,3,0.5306959169914536,0.020256496725625125,3,0.6021157693122839,0.1033055177084212,3,6.145033333333333,2.6616083658820533,3,,,0,,,0,3,3,0,1.0,True,3.0,
phoneme,1489,scarf,100,0.7733580018501387,0.009388428829872564,3,0.7184604522106793,0.02783305031952594,3,0.721261824330169,0.02067697309511079,3,0.721261824330169,0.02067697309511079,3,0.7904547982008467,0.007864987486498094,3,0.5748362709885094,0.04979765192531384,3,0.514508697834692,0.040057007121776796,3,44.46096666666667,39.3154681079004,3,,,0,,,0,3,3,0,1.0,True,1.0,
phoneme,1489,vime_lite,100,0.7718162195497996,0.007534253298100898,3,0.7124479054838941,0.02759313465855612,3,0.7161132513193641,0.01733222293685226,3,0.7161132513193641,0.01733222293685226,3,0.801863290776862,0.020503699302114087,3,0.5819857536410119,0.058713360476071196,3,0.5347916356407717,0.044381119200015154,3,34.8288,30.291788679607542,3,,,0,,,0,3,3,0,1.0,True,2.0,
phoneme,1489,sslae,100,0.7718162195497995,0.011713487458046613,3,0.6970672920761282,0.04542724647852327,3,0.7044793734972914,0.03496892498383238,3,0.7044793734972914,0.03496892498383238,3,0.8068263773046834,0.016417009442096,3,0.5851739494824642,0.04389239999830138,3,0.49925738301132666,0.01923867537115687,3,5.551933333333333,2.771531247042568,3,,,0,,,0,3,3,0,1.0,True,3.0,
phoneme,1489,sslae,250,0.7795251310514955,0.010397604255373016,3,0.7354355569502481,0.04108858437249627,3,0.7321795641891292,0.02656317519022096,3,0.7321795641891292,0.02656317519022096,3,0.8523048210481114,0.006501470092299731,3,0.6533434544227879,0.02412451678944259,3,0.45453819542700113,0.03798748722421428,3,10.441666666666668,3.7646473331951475,3,,,0,,,0,3,3,0,1.0,True,1.0,
phoneme,1489,scarf,250,0.7816836262719704,0.009790014101996617,3,0.7071242175500024,0.04264995558368899,3,0.7159876775709041,0.03541631473713615,3,0.7159876775709041,0.03541631473713615,3,0.8359814138878336,0.010384338174543739,3,0.6402470753363728,0.01137567719285986,3,0.46648638111939694,0.01665237102267908,3,41.6274,35.558318407511905,3,,,0,,,0,3,3,0,1.0,True,2.0,
phoneme,1489,vime_lite,250,0.7631822386679001,0.00882459945806609,3,0.6780393743703238,0.05777647249138225,3,0.6839440211309799,0.04500269477755483,3,0.6839440211309799,0.04500269477755483,3,0.809629984419817,0.029841283896507177,3,0.6153029797139844,0.03325994163425648,3,0.4757758223959885,0.025422155668423357,3,35.46236666666667,30.900978597017495,3,,,0,,,0,3,3,0,1.0,True,3.0,
phoneme,1489,vime_lite,500,0.7992599444958373,0.004239200457868581,3,0.7561646324343072,0.02648097504760969,3,0.756147406792394,0.014224313715287056,3,0.756147406792394,0.014224313715287056,3,0.8683226804521005,0.008745999722943648,3,0.6907246159864578,0.006538068589104982,3,0.4082542942546499,0.01402812403212471,3,35.376666666666665,31.716267924573557,3,,,0,,,0,3,3,0,1.0,True,1.0,
phoneme,1489,sslae,500,0.7798334875115635,0.0361961101693133,3,0.7091990519761507,0.11570433913939564,3,0.6995346281089575,0.11642215568175826,3,0.6995346281089575,0.11642215568175826,3,0.8456736089319042,0.03843463345240912,3,0.6716539816717487,0.042064004651783476,3,0.4442242002091372,0.05796487753549666,3,8.1662,4.782202462255231,3,,,0,,,0,3,3,0,1.0,True,2.0,
phoneme,1489,scarf,500,0.7819919827320382,0.02729085327989578,3,0.7036510204193988,0.07239085797919616,3,0.7101066571001096,0.06848440547118227,3,0.7101066571001096,0.06848440547118227,3,0.8510248236906865,0.03181814035042349,3,0.6831154278654169,0.037492306588541566,3,0.43608022371827615,0.04753611097495697,3,28.482466666666667,11.013132535447546,3,,,0,,,0,3,3,0,1.0,True,3.0,
