method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count
scarf,50,0.6440017375322935,0.2500102521772663,9,0.6155899607007941,0.2396332704345662,9,0.6118538864555907,0.24823841312947867,9,0.6118538864555907,0.24823841312947867,9,0.8360767778250879,0.07814616341575462,9,0.7271627708600829,0.2009963712905616,6,1.8173892802823386,1.8569480687609592,9,63.00575555555555,41.66340749729044,9,,,0,,,0
scarf,100,0.7193045191352314,0.1760793137859916,9,0.6965605773481148,0.16829923398619123,9,0.6981194291962822,0.17129594901086276,9,0.6981194291962822,0.17129594901086276,9,0.8788478963128878,0.06896207115398499,9,0.7363145166536986,0.18185541774662745,6,1.1840158659648894,0.973324189185702,9,97.39479999999999,102.02442322306948,9,,,0,,,0
scarf,250,0.7454127288441855,0.1642043488431913,9,0.7175583182067791,0.16070019712456457,9,0.7210476575284724,0.1619724087883636,9,0.7210476575284724,0.1619724087883636,9,0.9080914855354645,0.05603480097849437,9,0.7844620508560628,0.15858681115916295,6,0.8223133442520909,0.6677355911240237,9,91.45856666666666,85.37507664965813,9,,,0,,,0
scarf,500,0.780365466074149,0.11481026180553168,9,0.7525459510421304,0.12379628848302583,9,0.7540672522666925,0.12308860360061961,9,0.7540672522666925,0.12308860360061961,9,0.9241403364146851,0.05719933750158391,9,0.8073719355278465,0.13822136070253752,6,0.6699706339476403,0.48359005897517016,9,78.34476666666666,90.65892076886313,9,,,0,,,0
sslae,50,0.643799122227568,0.22976412529300275,9,0.6106672645461578,0.22010548123707946,9,0.6021126763231426,0.22943367355296246,9,0.6021126763231426,0.22943367355296246,9,0.8305137518502916,0.0777406262627394,9,0.7019954438203914,0.18985656083912178,6,1.2535820113044267,1.128890689890502,9,42.76067777777777,48.91717879676264,9,,,0,,,0
sslae,100,0.7214657334559171,0.16104423479831012,9,0.6905037485981096,0.15224284780015432,9,0.694477357921899,0.15479329653689802,9,0.694477357921899,0.15479329653689802,9,0.8849202744388214,0.06087734926719126,9,0.7359250577205326,0.16810365197242844,6,0.9317512992665287,0.7267113942775444,9,38.37662222222222,47.002146373963015,9,,,0,,,0
sslae,250,0.7516202421396165,0.1554606393481884,9,0.7352107798200245,0.15441049233042983,9,0.7338587082459472,0.1538383889966165,9,0.7338587082459472,0.1538383889966165,9,0.9138309141530215,0.0478707310681625,9,0.7849973969263839,0.14680398266197753,6,0.7953761990446598,0.6234900882178582,9,33.45132222222222,29.30111406136198,9,,,0,,,0
sslae,500,0.7681252775961455,0.1288996047100957,9,0.7424266748387875,0.1402439918841195,9,0.7398420877392343,0.14154280544293676,9,0.7398420877392343,0.14154280544293676,9,0.9207653325895817,0.05976154943262769,9,0.7981941576702586,0.14162976391504467,6,0.7011599159402694,0.5032424235903129,9,28.55081111111111,23.751982736891907,9,,,0,,,0
vime_lite,50,0.6478211038971547,0.25811797376255047,9,0.6117254090342057,0.2498260225396341,9,0.603929344862609,0.2587966864984801,9,0.603929344862609,0.2587966864984801,9,0.8260067732680452,0.0975571877452192,9,0.7103915719741855,0.2145444439902123,6,1.824592245747625,2.0370787175053477,9,70.7888,37.963024031121385,9,,,0,,,0
vime_lite,100,0.7215585974925921,0.16124740758429823,9,0.6966272127275907,0.1530483500214011,9,0.6998676996404911,0.154163163826993,9,0.6998676996404911,0.154163163826993,9,0.8806265675587993,0.06217600963435544,9,0.7342585132472449,0.17200500234896415,6,1.1751019193779133,0.9879642050492453,9,70.94842222222222,41.01527820976526,9,,,0,,,0
vime_lite,250,0.7380566142404884,0.1600066929746957,9,0.707511620812204,0.16119047964529754,9,0.7095588000380065,0.16062492682759025,9,0.7095588000380065,0.16062492682759025,9,0.8981782216383417,0.06934737475541791,9,0.7660603462566554,0.1681698523831001,6,0.8351480707536225,0.6746919996113124,9,68.51902222222222,35.98762665961656,9,,,0,,,0
vime_lite,500,0.7834999971820483,0.11745376753109969,9,0.7666643038723578,0.11561743727342769,9,0.7665516898389976,0.11673946858954527,9,0.7665516898389976,0.11673946858954527,9,0.9304237135066139,0.04699416392101989,9,0.8138864274902101,0.13531234702648265,6,0.65097147773834,0.4806528564808717,9,67.61112222222222,37.377414085239295,9,,,0,,,0
