dataset,dataset_id,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_pseudo_added_total_mean,n_pseudo_added_total_std,n_pseudo_added_total_count,pseudo_label_fraction_mean,pseudo_label_fraction_std,pseudo_label_fraction_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
letter,6,vime,50,0.31725000000000003,0.041248484820657336,3,0.31642798429983016,0.04212262608940479,3,0.2994273696950035,0.04318391554875694,3,0.2994273696950035,0.04318391554875694,3,0.8020563787865748,0.026409527801491136,3,,,0,4.468212826378333,0.6876219548646367,3,109.15033333333334,19.68094388624014,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,vime,100,0.5168333333333334,0.015601148461998992,3,0.5156729082470934,0.01557673723296827,3,0.5147451419960304,0.019018934836663882,3,0.5147451419960304,0.019018934836663882,3,0.907161774967138,0.005263823098103425,3,,,0,2.445800039874807,0.12887149417416843,3,79.3661,5.819581967804895,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,vime,250,0.5475833333333333,0.02225748937623766,3,0.5461871330618165,0.022032814095792972,3,0.5459839867388978,0.025658543814303294,3,0.5459839867388978,0.025658543814303294,3,0.9311854875960678,0.004966280076917315,3,,,0,1.7266298853892466,0.053262894821112815,3,87.3626,21.228996284092194,3,,,0,,,0,3,3,0,1.0,True,1.0
letter,6,vime,500,0.64075,0.036864617182333505,3,0.6393809472164254,0.03706661167871849,3,0.6368286734750015,0.042292119487552175,3,0.6368286734750015,0.042292119487552175,3,0.959952477864268,0.007388342629265704,3,,,0,1.301065997827058,0.07140999887313478,3,75.43873333333333,5.603349029226469,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,vime,50,0.7372802960222016,0.011591086111139359,3,0.6409504186830066,0.0930543324529221,3,0.6236638362889543,0.11377942299874258,3,0.6236638362889543,0.11377942299874258,3,0.7389878937024129,0.06836704845920445,3,0.5262622353966266,0.023651358568639175,3,0.5939914683315896,0.06632836422401625,3,23.63276666666667,5.306702070338349,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,vime,100,0.7721245760098675,0.009312160882233397,3,0.7123584433029988,0.025610862620564733,3,0.7161954294239884,0.015039726666816525,3,0.7161954294239884,0.015039726666816525,3,0.7985917276385838,0.021315452398378298,3,0.5817666894904705,0.05567394758529313,3,0.5338385918990444,0.04016809651553387,3,20.87,2.6077046861176583,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,vime,250,0.7739747147702745,0.02010474660832933,3,0.6955182200053952,0.07308602531353248,3,0.7002961711841328,0.056405113971802874,3,0.7002961711841328,0.056405113971802874,3,0.8154931981215695,0.034702418555778436,3,0.6212080673122403,0.042452532500222115,3,0.4706104158880946,0.030352078500011405,3,24.757733333333334,4.475803085853234,3,,,0,,,0,3,3,0,1.0,True,1.0
phoneme,1489,vime,500,0.8032685784767191,0.006562996192967273,3,0.7596158081049983,0.029204480542735754,3,0.7600971468175378,0.017330518725064664,3,0.7600971468175378,0.017330518725064664,3,0.8758127295049025,0.01749605406906196,3,0.7131539241705284,0.03059946208849384,3,0.40121433019926583,0.020401443427880448,3,28.581266666666664,5.500541891789694,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,vime,50,0.8747737965979008,0.038331646557583185,3,0.8616763924681813,0.04782430816662003,3,0.8661842554480143,0.043401669311314596,3,0.8661842554480143,0.043401669311314596,3,0.93799842675698,0.027009221876119312,3,0.9048730223610452,0.04433558077583886,3,0.4334029030031501,0.03245424166081726,3,31.847633333333334,8.812147310010957,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,vime,100,0.8747737965979008,0.03512168959524604,3,0.8595905289453677,0.0471600813845456,3,0.8652946865782579,0.04039746133957915,3,0.8652946865782579,0.04039746133957915,3,0.93264265331714,0.024736958552858315,3,0.8910944457042916,0.015301681566638144,3,0.417173060225741,0.04096158462239277,3,28.859566666666666,2.549697539578632,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,vime,250,0.9066232356134636,0.03107293815690367,3,0.901438628711356,0.02824876734367918,3,0.9022350054173197,0.03160495000267965,3,0.9022350054173197,0.03160495000267965,3,0.9541537894421569,0.018252612885015805,3,0.9162291543321434,0.043460510339335366,3,0.30466338037832774,0.06579988954749423,3,26.037966666666666,6.036603396226503,3,,,0,,,0,3,3,0,1.0,True,1.0
spambase,44,vime,500,0.9073470865001809,0.02142402980376221,3,0.9012337450753872,0.015366827648966396,3,0.9027745435479125,0.02097279217991915,3,0.9027745435479125,0.02097279217991915,3,0.9601949768127676,0.008541883009816665,3,0.9313352001704045,0.015509647537218885,3,0.27623328236688993,0.04781411381217883,3,25.8997,4.56194824937767,3,,,0,,,0,3,3,0,1.0,True,1.0
