dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
MagicTelescope,tabiclv2,50,0.7747108307045215,0.02684865067909972,3,0.7466952648697927,0.02201930942928206,3,0.7498175354202831,0.025656784769018167,3,0.7498175354202831,0.025656784769018167,3,0.8439344593193895,0.018121638893810826,3,0.7665420958142705,0.02879662976299837,3,0.46755021840621797,0.026591683311209362,3,5.496099999999999,0.8318480870928299,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3,100,0.8220294426919033,0.02439418349830762,3,0.7862114594054628,0.03678436663393904,3,0.7958308820199967,0.033338270999772004,3,0.7958308820199967,0.033338270999772004,3,0.8730088445509653,0.030499270724713284,3,0.8268324259989668,0.034927270323897544,3,0.42168281254795276,0.04036994244531222,3,7.5531999999999995,1.0377757561246066,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3,250,0.8571678934454959,0.010496609841836209,3,0.8273869922424798,0.008437956340786408,3,0.8377980803031219,0.010473878976615942,3,0.8377980803031219,0.010473878976615942,3,0.9117010778576683,0.00927334984642085,3,0.8774702802872115,0.014795822835741119,3,0.349357091778483,0.021306353347459686,3,7.442833333333333,0.7130227579350699,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3,500,0.8699614440939362,0.009468589315976217,3,0.8430093213897344,0.013418698355845096,3,0.8527994645707472,0.011747749394711793,3,0.8527994645707472,0.011747749394711793,3,0.9262668353382786,0.004943619425185897,3,0.8959990956472893,0.005323676039996925,3,0.3191428757917667,0.011508274118582034,3,6.979733333333333,0.38406512902544737,3,3,3,0,1.0,True,1.0
adult,tabiclv2,50,0.7818609888422561,0.022982396653112677,3,0.6890820412350221,0.01606188717143987,3,0.6930805184970893,0.017778090410478793,3,0.6930805184970893,0.017778090410478793,3,0.8158013998724586,0.010843359680057816,3,0.5893542795970725,0.024474677149166128,3,0.4783099537254522,0.018776234544352406,3,5.123266666666667,0.488047716246407,3,3,3,0,1.0,True,1.0
adult,tabiclv2,100,0.8214078547787218,0.0020015708705854985,3,0.7269491046551378,0.007998551869542373,3,0.7396451252455938,0.004706853597861344,3,0.7396451252455938,0.004706853597861344,3,0.8597554204316054,0.014086446716468554,3,0.6660557849997618,0.0122021657190901,3,0.3996833173197536,0.03916763357995549,3,5.3508,0.28726209286990867,3,3,3,0,1.0,True,1.0
adult,tabiclv2,250,0.8284710137509811,0.01516425159442594,3,0.7265595018702046,0.028471989755220577,3,0.7431991910857243,0.023373363457477803,3,0.7431991910857243,0.023373363457477803,3,0.8763867194192655,0.010597766199579962,3,0.6848519789153062,0.037726955519907596,3,0.3665983924025868,0.01571730907933845,3,5.236266666666666,0.5421920723630447,3,3,3,0,1.0,True,1.0
adult,tabiclv2,500,0.8426996963182858,0.002001570870585571,3,0.7486640038645435,0.004693931240970981,3,0.7666901830481437,0.0013832219423395794,3,0.7666901830481437,0.0013832219423395794,3,0.8944729012858801,0.0039673454732393225,3,0.7348682069413673,0.008110510929604697,3,0.34026108564607704,0.007357789955516427,3,5.690133333333333,0.2808008606349584,3,3,3,0,1.0,True,1.0
bank-marketing,tabiclv2,50,0.8091709978252055,0.053971794238660095,3,0.5918434414874456,0.02996956535628963,3,0.5838671653490745,0.04244120929348774,3,0.5838671653490745,0.04244120929348774,3,0.7173263195523744,0.072254822027316,3,0.24906218939910477,0.10055237614886184,3,0.4439524142320632,0.09347440409459147,3,9.469533333333333,3.1063701281935696,3,3,3,0,1.0,True,1.0
bank-marketing,tabiclv2,100,0.8708393232334402,0.01786553567474223,3,0.6553244919289831,0.017054592096171276,3,0.6658362686672792,0.016496224200449737,3,0.6658362686672792,0.016496224200449737,3,0.8143078803632676,0.04149818676583864,3,0.39894987438140017,0.047459648286555335,3,0.3135691445786361,0.039902571207091904,3,7.696066666666667,0.0776764013927873,3,3,3,0,1.0,True,1.0
bank-marketing,tabiclv2,250,0.8929927383980242,0.005518438538957491,3,0.6203120493332055,0.03238523640538018,3,0.6524441877441413,0.0363144596507611,3,0.6524441877441413,0.0363144596507611,3,0.8739640606856192,0.012822941356337398,3,0.49035063689203867,0.04521634068753639,3,0.25525721550366026,0.007609673534195419,3,7.1480999999999995,1.057910293928554,3,3,3,0,1.0,True,1.0
bank-marketing,tabpfn3,500,0.8954624202882524,0.001618945870175646,3,0.6566948149077567,0.024296543653087147,3,0.6881708210638511,0.01925039868239416,3,0.6881708210638511,0.01925039868239416,3,0.8949695376373232,0.009610052901832571,3,0.5126953258973251,0.021147252577504553,3,0.23963225251574982,0.006154487729296482,3,12.730466666666667,4.400435953781549,3,3,3,0,1.0,True,1.0
electricity,tabpfn3,50,0.7197396005737614,0.014823630890351894,3,0.7110011451454404,0.012283641191456647,3,0.7114029976999858,0.012881142537468476,3,0.7114029976999858,0.012881142537468476,3,0.7866390396591738,0.02460062082902537,3,0.7636603194011999,0.01085719305148292,3,0.5744951989154922,0.04928795618483126,3,9.109166666666667,2.976588685615352,3,3,3,0,1.0,True,1.0
electricity,tabpfn3,100,0.7471036080767958,0.011071875418665963,3,0.729839958699019,0.008608821034252636,3,0.7322975899847464,0.007855319355117402,3,0.7322975899847464,0.007855319355117402,3,0.8136734252506065,0.008487104083892713,3,0.7857325699154748,0.011540209253294867,3,0.5280119419120518,0.02589168362355981,3,8.426599999999999,1.4640780443678545,3,3,3,0,1.0,True,1.0
