dataset,method,n_labeled,n_seeds
MagicTelescope,tabiclv2,50,3
MagicTelescope,tabiclv2,100,3
MagicTelescope,tabiclv2,250,3
MagicTelescope,tabiclv2,500,3
MagicTelescope,tabpfn3,50,3
MagicTelescope,tabpfn3,100,3
MagicTelescope,tabpfn3,250,3
MagicTelescope,tabpfn3,500,3
adult,tabiclv2,50,3
adult,tabiclv2,100,3
adult,tabiclv2,250,3
adult,tabiclv2,500,3
adult,tabpfn3,50,3
adult,tabpfn3,100,3
adult,tabpfn3,250,3
adult,tabpfn3,500,3
bank-marketing,tabiclv2,50,3
bank-marketing,tabiclv2,100,3
bank-marketing,tabiclv2,250,3
bank-marketing,tabiclv2,500,3
bank-marketing,tabpfn3,50,3
bank-marketing,tabpfn3,100,3
bank-marketing,tabpfn3,250,3
bank-marketing,tabpfn3,500,3
electricity,tabiclv2,50,3
electricity,tabiclv2,100,3
electricity,tabiclv2,250,3
electricity,tabiclv2,500,3
electricity,tabpfn3,50,3
electricity,tabpfn3,100,3
electricity,tabpfn3,250,3
electricity,tabpfn3,500,3
jannis,tabiclv2,50,3
jannis,tabiclv2,100,3
jannis,tabiclv2,250,3
jannis,tabiclv2,500,3
jannis,tabpfn3,50,3
jannis,tabpfn3,100,3
jannis,tabpfn3,250,3
jannis,tabpfn3,500,3
phoneme,tabiclv2,50,3
phoneme,tabiclv2,100,3
phoneme,tabiclv2,250,3
phoneme,tabiclv2,500,3
phoneme,tabpfn3,50,3
phoneme,tabpfn3,100,3
phoneme,tabpfn3,250,3
phoneme,tabpfn3,500,3
satimage,tabiclv2,50,3
satimage,tabiclv2,100,3
satimage,tabiclv2,250,3
satimage,tabiclv2,500,3
satimage,tabpfn3,50,3
satimage,tabpfn3,100,3
satimage,tabpfn3,250,3
satimage,tabpfn3,500,3
segment,tabiclv2,50,3
segment,tabiclv2,100,3
segment,tabiclv2,250,3
segment,tabiclv2,500,3
segment,tabpfn3,50,3
segment,tabpfn3,100,3
segment,tabpfn3,250,3
segment,tabpfn3,500,3
spambase,tabiclv2,50,3
spambase,tabiclv2,100,3
spambase,tabiclv2,250,3
spambase,tabiclv2,500,3
spambase,tabpfn3,50,3
spambase,tabpfn3,100,3
spambase,tabpfn3,250,3
spambase,tabpfn3,500,3
steel-plates-fault,tabiclv2,50,3
steel-plates-fault,tabiclv2,100,3
steel-plates-fault,tabiclv2,250,3
steel-plates-fault,tabiclv2,500,3
steel-plates-fault,tabpfn3,50,3
steel-plates-fault,tabpfn3,100,3
steel-plates-fault,tabpfn3,250,3
steel-plates-fault,tabpfn3,500,3
