dataset,method,n_labeled,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,failure_statuses,failure_messages_short
MagicTelescope,tabiclv2,50,3,3,0,1.0,,
MagicTelescope,tabiclv2,100,3,3,0,1.0,,
MagicTelescope,tabiclv2,250,3,3,0,1.0,,
MagicTelescope,tabiclv2,500,3,3,0,1.0,,
MagicTelescope,tabpfn3,50,3,3,0,1.0,,
MagicTelescope,tabpfn3,100,3,3,0,1.0,,
MagicTelescope,tabpfn3,250,3,3,0,1.0,,
MagicTelescope,tabpfn3,500,3,3,0,1.0,,
adult,tabiclv2,50,3,3,0,1.0,,
adult,tabiclv2,100,3,3,0,1.0,,
adult,tabiclv2,250,3,3,0,1.0,,
adult,tabiclv2,500,3,3,0,1.0,,
adult,tabpfn3,50,3,3,0,1.0,,
adult,tabpfn3,100,3,3,0,1.0,,
adult,tabpfn3,250,3,3,0,1.0,,
adult,tabpfn3,500,3,3,0,1.0,,
bank-marketing,tabiclv2,50,3,3,0,1.0,,
bank-marketing,tabiclv2,100,3,3,0,1.0,,
bank-marketing,tabiclv2,250,3,3,0,1.0,,
bank-marketing,tabiclv2,500,3,3,0,1.0,,
bank-marketing,tabpfn3,50,3,3,0,1.0,,
bank-marketing,tabpfn3,100,3,3,0,1.0,,
bank-marketing,tabpfn3,250,3,3,0,1.0,,
bank-marketing,tabpfn3,500,3,3,0,1.0,,
electricity,tabiclv2,50,3,3,0,1.0,,
electricity,tabiclv2,100,3,3,0,1.0,,
electricity,tabiclv2,250,3,3,0,1.0,,
electricity,tabiclv2,500,3,3,0,1.0,,
electricity,tabpfn3,50,3,3,0,1.0,,
electricity,tabpfn3,100,3,3,0,1.0,,
electricity,tabpfn3,250,3,3,0,1.0,,
electricity,tabpfn3,500,3,3,0,1.0,,
jannis,tabiclv2,50,3,3,0,1.0,,
jannis,tabiclv2,100,3,3,0,1.0,,
jannis,tabiclv2,250,3,3,0,1.0,,
jannis,tabiclv2,500,3,3,0,1.0,,
jannis,tabpfn3,50,3,3,0,1.0,,
jannis,tabpfn3,100,3,3,0,1.0,,
jannis,tabpfn3,250,3,3,0,1.0,,
jannis,tabpfn3,500,3,3,0,1.0,,
phoneme,tabiclv2,50,3,3,0,1.0,,
phoneme,tabiclv2,100,3,3,0,1.0,,
phoneme,tabiclv2,250,3,3,0,1.0,,
phoneme,tabiclv2,500,3,3,0,1.0,,
phoneme,tabpfn3,50,3,3,0,1.0,,
phoneme,tabpfn3,100,3,3,0,1.0,,
phoneme,tabpfn3,250,3,3,0,1.0,,
phoneme,tabpfn3,500,3,3,0,1.0,,
satimage,tabiclv2,50,3,3,0,1.0,,
satimage,tabiclv2,100,3,3,0,1.0,,
satimage,tabiclv2,250,3,3,0,1.0,,
satimage,tabiclv2,500,3,3,0,1.0,,
satimage,tabpfn3,50,3,3,0,1.0,,
satimage,tabpfn3,100,3,3,0,1.0,,
satimage,tabpfn3,250,3,3,0,1.0,,
satimage,tabpfn3,500,3,3,0,1.0,,
segment,tabiclv2,50,3,3,0,1.0,,
segment,tabiclv2,100,3,3,0,1.0,,
segment,tabiclv2,250,3,3,0,1.0,,
segment,tabiclv2,500,3,3,0,1.0,,
segment,tabpfn3,50,3,3,0,1.0,,
segment,tabpfn3,100,3,3,0,1.0,,
segment,tabpfn3,250,3,3,0,1.0,,
segment,tabpfn3,500,3,3,0,1.0,,
spambase,tabiclv2,50,3,3,0,1.0,,
spambase,tabiclv2,100,3,3,0,1.0,,
spambase,tabiclv2,250,3,3,0,1.0,,
spambase,tabiclv2,500,3,3,0,1.0,,
spambase,tabpfn3,50,3,3,0,1.0,,
spambase,tabpfn3,100,3,3,0,1.0,,
spambase,tabpfn3,250,3,3,0,1.0,,
spambase,tabpfn3,500,3,3,0,1.0,,
steel-plates-fault,tabiclv2,50,3,3,0,1.0,,
steel-plates-fault,tabiclv2,100,3,3,0,1.0,,
steel-plates-fault,tabiclv2,250,3,3,0,1.0,,
steel-plates-fault,tabiclv2,500,3,3,0,1.0,,
steel-plates-fault,tabpfn3,50,3,3,0,1.0,,
steel-plates-fault,tabpfn3,100,3,3,0,1.0,,
steel-plates-fault,tabpfn3,250,3,3,0,1.0,,
steel-plates-fault,tabpfn3,500,3,3,0,1.0,,
