dataset,method,n_labeled,metric_accuracy_mean,metric_accuracy_std,metric_accuracy_count,metric_balanced_accuracy_mean,metric_balanced_accuracy_std,metric_balanced_accuracy_count,metric_macro_f1_mean,metric_macro_f1_std,metric_macro_f1_count,metric_f1_macro_mean,metric_f1_macro_std,metric_f1_macro_count,metric_roc_auc_mean,metric_roc_auc_std,metric_roc_auc_count,metric_average_precision_mean,metric_average_precision_std,metric_average_precision_count,metric_log_loss_mean,metric_log_loss_std,metric_log_loss_count,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_count,n_expected_seeds,n_success_seeds,n_failed_seeds,success_rate,is_complete,rank_balanced_accuracy
MagicTelescope,tabiclv2,50,0.7747108307045215,0.02684865067909972,3,0.7466952648697927,0.02201930942928206,3,0.7498175354202831,0.025656784769018167,3,0.7498175354202831,0.025656784769018167,3,0.8439344593193895,0.018121638893810826,3,0.7665420958142705,0.02879662976299837,3,0.46755021840621797,0.026591683311209362,3,5.496099999999999,0.8318480870928299,3,3,3,0,1.0,True,1.0
MagicTelescope,tabpfn3,50,0.7725201542236242,0.01132018161099488,3,0.7374844976887464,0.0012571025100580114,3,0.7432369192913585,0.005489974538582993,3,0.7432369192913585,0.005489974538582993,3,0.8419920990240565,0.003170164779215129,3,0.7692015214494333,0.00728000739449791,3,0.4749903468655057,0.024040472548784404,3,8.283,1.8774897815966933,3,3,3,0,1.0,True,2.0
MagicTelescope,tabpfn3,100,0.8220294426919033,0.02439418349830762,3,0.7862114594054628,0.03678436663393904,3,0.7958308820199967,0.033338270999772004,3,0.7958308820199967,0.033338270999772004,3,0.8730088445509653,0.030499270724713284,3,0.8268324259989668,0.034927270323897544,3,0.42168281254795276,0.04036994244531222,3,7.5531999999999995,1.0377757561246066,3,3,3,0,1.0,True,1.0
MagicTelescope,tabiclv2,100,0.8157202944269191,0.013962430835845948,3,0.7831685814976052,0.026007260903707387,3,0.7907859355860268,0.02096173142641408,3,0.7907859355860268,0.02096173142641408,3,0.8730574376543413,0.021126500217378056,3,0.8211211958054395,0.019263286705624574,3,0.4233258488481679,0.02723639451328597,3,5.289466666666667,1.1444159223522425,3,3,3,0,1.0,True,2.0
MagicTelescope,tabpfn3,250,0.8571678934454959,0.010496609841836209,3,0.8273869922424798,0.008437956340786408,3,0.8377980803031219,0.010473878976615942,3,0.8377980803031219,0.010473878976615942,3,0.9117010778576683,0.00927334984642085,3,0.8774702802872115,0.014795822835741119,3,0.349357091778483,0.021306353347459686,3,7.442833333333333,0.7130227579350699,3,3,3,0,1.0,True,1.0
MagicTelescope,tabiclv2,250,0.8555906063792499,0.00856417225578025,3,0.8272530328764166,0.008012690766976043,3,0.8366231359354598,0.009169581529092885,3,0.8366231359354598,0.009169581529092885,3,0.9115667143909536,0.005147240057638326,3,0.873326571724276,0.013412523141167068,3,0.349986189312854,0.014411941526138288,3,5.3952,1.1974015157832396,3,3,3,0,1.0,True,2.0
MagicTelescope,tabpfn3,500,0.8699614440939362,0.009468589315976217,3,0.8430093213897344,0.013418698355845096,3,0.8527994645707472,0.011747749394711793,3,0.8527994645707472,0.011747749394711793,3,0.9262668353382786,0.004943619425185897,3,0.8959990956472893,0.005323676039996925,3,0.3191428757917667,0.011508274118582034,3,6.979733333333333,0.38406512902544737,3,3,3,0,1.0,True,1.0
MagicTelescope,tabiclv2,500,0.8667192429022083,0.010590555772073455,3,0.8402237545718938,0.012626290947642897,3,0.8494487329299648,0.012298593292412476,3,0.8494487329299648,0.012298593292412476,3,0.9249991210810823,0.006065363058339783,3,0.8915220239258231,0.006394679823919679,3,0.3231018089792906,0.012828787410846424,3,6.959566666666667,3.0257751822191508,3,3,3,0,1.0,True,2.0
adult,tabiclv2,50,0.7818609888422561,0.022982396653112677,3,0.6890820412350221,0.01606188717143987,3,0.6930805184970893,0.017778090410478793,3,0.6930805184970893,0.017778090410478793,3,0.8158013998724586,0.010843359680057816,3,0.5893542795970725,0.024474677149166128,3,0.4783099537254522,0.018776234544352406,3,5.123266666666667,0.488047716246407,3,3,3,0,1.0,True,1.0
adult,tabpfn3,50,0.7845907121165592,0.02245155907574855,3,0.6522300958188972,0.10823523128427488,3,0.6393758900625585,0.1293510301120482,3,0.6393758900625585,0.1293510301120482,3,0.837958289545829,0.016249035165283403,3,0.6258328229071901,0.038161817658707624,3,0.4448375890157901,0.031590664321516,3,8.298166666666667,1.9555383640658481,3,3,3,0,1.0,True,2.0
