timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-29T08:44:19.754004+00:00,spambase,44,self_training_xgboost,1,50,3630,40,10,921,2,57,57,1772.0,465.0,3.0,"{0: 1124, 1: 688}",0.4881542699724518,0.9951214542103676,0.9812721610069276,0.9993770718574524,,max_iter,,,,,stratified_labeled_val,2,True,20,30,1.8544,success,,0.8371335504885994,0.8198628513877781,0.825791661202296,0.5861355662345886,0.903509681368919,0.8788365431257109
2026-06-29T08:44:25.358745+00:00,spambase,44,rpl_lite_xgboost,1,50,3630,40,10,921,2,57,57,1772.0,465.0,3.0,"{0: 1105, 1: 667}",0.4881542699724518,0.995126256319793,,,0.0569990612565782,max_iter,,,,,stratified_labeled_val,2,True,20,30,4.0728,success,,0.8414766558089034,0.8258538463817057,0.831030409650666,0.5718045830726624,0.9061929164568462,0.885334096938025
2026-06-29T08:45:12.441268+00:00,spambase,44,self_training_lightgbm,1,50,3630,40,10,921,2,57,57,0.0,0.0,0.0,"{0: 24, 1: 16}",0.0,,,,,no_candidates,,,,,stratified_labeled_val,2,True,20,30,0.6442,success,,0.6058631921824105,0.5288811872389585,0.4906695185992623,0.6580302086125479,0.5956090721486615,0.4578250130171785
2026-06-29T08:58:31.208422+00:00,letter,6,logistic_regression,0,50,15950,50,0,4000,26,16,16,,,,,,,,,,,,,,,no_val_low_label_multiclass,26,True,1,5,1.7869,success,,0.33,0.3295163076412413,0.316275063777394,2.607950210571289,0.8258827092509725,
2026-06-29T09:07:45.939897+00:00,phoneme,1489,label_spreading,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,30.0,4.0,4313.0,4273.0,stratified_labeled_val,2,True,15,35,4.4176,success,,0.7206290471785384,0.6196343336581498,0.6272754258574234,1.0694937164879854,0.7321997786843278,0.4988781288373849
2026-06-29T09:07:59.211104+00:00,phoneme,1489,label_propagation,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,15.0,3.0,4313.0,4273.0,stratified_labeled_val,2,True,15,35,8.4299,success,,0.7437557816836263,0.6018506284374122,0.6054645759136503,0.6564298097370243,0.7379308636266043,0.5348427862213693
2026-06-29T09:08:21.402009+00:00,spambase,44,self_training_xgboost,0,50,3630,40,10,921,2,57,57,1772.0,465.0,3.0,"{0: 1043, 1: 769}",0.4881542699724518,0.9946716956911992,0.9843616485595704,0.999704658985138,,max_iter,,,,,stratified_labeled_val,2,True,20,30,7.342,success,,0.8251900108577633,0.8162638111318463,0.8167191364548223,0.7427996397018433,0.8913129338349278,0.8572613629370114
2026-06-29T09:09:02.517527+00:00,spambase,44,self_training_catboost,0,50,3630,40,10,921,2,57,57,1301.0,500.0,3.0,"{0: 774, 1: 567}",0.3584022038567493,0.99488221438074,0.9701761918930116,0.9996046872374552,,max_iter,,,,,stratified_labeled_val,2,True,20,30,17.9847,success,,0.8555917480998915,0.8519431855208981,0.8497234139393486,0.4330082439315068,0.9202731123552238,0.9051140858290808
2026-06-29T09:09:27.663984+00:00,spambase,44,rpl_lite_xgboost,0,50,3630,40,10,921,2,57,57,1772.0,465.0,3.0,"{0: 1020, 1: 752}",0.4881542699724518,0.9946700452278214,,,0.0335481558322207,max_iter,,,,,stratified_labeled_val,2,True,20,30,11.3555,success,,0.8208469055374593,0.812198228620516,0.8123483468650634,0.7401432991027832,0.8913623033857638,0.8573501432919051
2026-06-29T09:10:07.126343+00:00,spambase,44,self_training_lightgbm,0,50,3630,40,10,921,2,57,57,0.0,0.0,0.0,"{0: 24, 1: 16}",0.0,,,,,no_candidates,,,,,stratified_labeled_val,2,True,20,30,2.0699,success,,0.7752442996742671,0.7413504546935632,0.7501274612471935,0.4978795844651654,0.8317559761841287,0.7186364140101472
2026-06-29T09:17:28.226364+00:00,letter,6,label_spreading,0,50,15950,50,0,4000,26,16,16,,,,,,,,,,,50.0,0.0,16000.0,15950.0,no_val_low_label_multiclass,26,True,1,5,10.0439,success,,0.368,0.3670500894892256,0.3547600154126089,5.8803680884826885,0.8198713732119967,
2026-06-29T09:17:44.086686+00:00,letter,6,label_propagation,0,50,15950,50,0,4000,26,16,16,,,,,,,,,,,50,0,16000,15950,no_val_low_label_multiclass,26,True,1,5,74.6265,success,,0.19625,0.1960076785366194,0.17364061174933013,3.9082046773539068,0.8109974859963935,
