timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,neural_method,method_fidelity,reference_family,best_epoch,epochs_trained,pretrain_epochs_trained,finetune_epochs_trained,best_val_loss,final_train_loss,neural_validation_strategy,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,train_pool_class_counts,labeled_class_counts,val_class_counts,test_class_counts,unlabeled_class_counts,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-07-07T12:41:47.634269+00:00,bank-marketing,1461,logistic_regression,0,50,36118,40,10,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,8,42,"{1:31937,2:4231}","{1:42,2:8}","{1:8,2:2}","{1:7985,2:1058}","{1:31895,2:4223}",0.7138,success,,0.8564635629768882,0.562456602822163,0.5732194409660563,0.38284364342689514,0.7318925016542123,0.234142896652921
2026-07-07T12:41:48.358009+00:00,bank-marketing,1461,logistic_regression,0,100,36068,80,20,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,16,84,"{1:31937,2:4231}","{1:84,2:16}","{1:17,2:3}","{1:7985,2:1058}","{1:31853,2:4215}",0.6099,success,,0.8772531239632865,0.6254752235110018,0.6467183269075965,0.337941974401474,0.7789282361895473,0.3492630870387332
2026-07-07T12:41:48.975240+00:00,bank-marketing,1461,logistic_regression,0,250,35918,200,50,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,33,217,"{1:31937,2:4231}","{1:217,2:33}","{1:43,2:7}","{1:7985,2:1058}","{1:31720,2:4198}",0.718,success,,0.8751520513104059,0.6439641672180707,0.6605840361234397,0.33551734685897827,0.821141779305006,0.36785808428136707
2026-07-07T12:41:49.703275+00:00,bank-marketing,1461,logistic_regression,0,500,35668,400,100,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,62,438,"{1:31937,2:4231}","{1:438,2:62}","{1:88,2:12}","{1:7985,2:1058}","{1:31499,2:4169}",0.7276,success,,0.8901913081941834,0.6610895547298633,0.6873276000478148,0.288833886384964,0.8425930945664898,0.43427157351524814
2026-07-07T12:41:50.438024+00:00,bank-marketing,1461,logistic_regression,1,50,36118,40,10,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,8,42,"{1:31937,2:4231}","{1:42,2:8}","{1:8,2:2}","{1:7985,2:1058}","{1:31895,2:4223}",0.8001,success,,0.8920712153046555,0.6240266189085631,0.6568532402720302,0.28032779693603516,0.8589402625196346,0.4386818036480679
2026-07-07T12:41:51.247682+00:00,bank-marketing,1461,logistic_regression,1,100,36068,80,20,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,16,84,"{1:31937,2:4231}","{1:84,2:16}","{1:17,2:3}","{1:7985,2:1058}","{1:31853,2:4215}",0.7923,success,,0.872055733716687,0.6368812388066944,0.6524984883839301,0.3250400125980377,0.8025847140136337,0.35000875752156185
2026-07-07T12:41:52.052530+00:00,bank-marketing,1461,logistic_regression,1,250,35918,200,50,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,33,217,"{1:31937,2:4231}","{1:217,2:33}","{1:43,2:7}","{1:7985,2:1058}","{1:31720,2:4198}",1.0525,success,,0.8941722879575362,0.604717730432652,0.6382741488859193,0.27726298570632935,0.83359003708513,0.44359552963377735
2026-07-07T12:41:53.116937+00:00,bank-marketing,1461,logistic_regression,1,500,35668,400,100,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,62,438,"{1:31937,2:4231}","{1:438,2:62}","{1:88,2:12}","{1:7985,2:1058}","{1:31499,2:4169}",0.9716,success,,0.894061705186332,0.6378628761631273,0.6715700442799952,0.2637133300304413,0.8762275201731035,0.4711828936915576
2026-07-07T12:41:54.099745+00:00,bank-marketing,1461,logistic_regression,2,50,36118,40,10,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,8,42,"{1:31937,2:4231}","{1:42,2:8}","{1:8,2:2}","{1:7985,2:1058}","{1:31895,2:4223}",0.8637,success,,0.8444100409156253,0.6306562517385504,0.6287947156312758,0.3757358193397522,0.7524706651057689,0.3176852568787396
2026-07-07T12:41:54.973421+00:00,bank-marketing,1461,logistic_regression,2,100,36068,80,20,9043,2,16,51,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,2,True,16,84,"{1:31937,2:4231}","{1:84,2:16}","{1:17,2:3}","{1:7985,2:1058}","{1:31853,2:4215}",1.0407,success,,0.880128276014597,0.6574412325567907,0.6751989704562835,0.3276136517524719,0.8042701165820128,0.40159970221244934
