timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,neural_method,method_fidelity,reference_family,best_epoch,epochs_trained,pretrain_epochs_trained,finetune_epochs_trained,best_val_loss,final_train_loss,neural_validation_strategy,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,train_pool_class_counts,labeled_class_counts,val_class_counts,test_class_counts,unlabeled_class_counts,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-07-07T23:12:07.952591+00:00,jannis,41168,logistic_regression,0,50,66936,40,10,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,4,20,"{0:1350,1:23032,2:11787,3:30817}","{0:4,1:16,2:10,3:20}","{0:1,1:3,2:2,3:4}","{0:337,1:5758,2:2947,3:7705}","{0:1346,1:23016,2:11777,3:30797}",0.8458,success,,0.47315937182779005,0.3589112665432498,0.3568748764638473,1.7137207984924316,0.6594309601841399,
2026-07-07T23:12:08.807372+00:00,jannis,41168,logistic_regression,0,100,66886,80,20,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,7,42,"{0:1350,1:23032,2:11787,3:30817}","{0:7,1:32,2:19,3:42}","{0:2,1:6,2:4,3:8}","{0:337,1:5758,2:2947,3:7705}","{0:1343,1:23000,2:11768,3:30775}",0.8074,success,,0.4729802352660178,0.3819201959219026,0.3685448382053319,1.9368774890899658,0.6699301902542899,
2026-07-07T23:12:09.623758+00:00,jannis,41168,logistic_regression,0,250,66736,200,50,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,10,111,"{0:1350,1:23032,2:11787,3:30817}","{0:10,1:84,2:45,3:111}","{0:2,1:17,2:9,3:22}","{0:337,1:5758,2:2947,3:7705}","{0:1340,1:22948,2:11742,3:30706}",0.9298,success,,0.4948348958022332,0.3866381034066013,0.3776424202714236,1.504638433456421,0.6708667764967947,
2026-07-07T23:12:10.568240+00:00,jannis,41168,logistic_regression,0,500,66486,400,100,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,15,226,"{0:1350,1:23032,2:11787,3:30817}","{0:15,1:170,2:89,3:226}","{0:3,1:34,2:18,3:45}","{0:337,1:5758,2:2947,3:7705}","{0:1335,1:22862,2:11698,3:30591}",1.4684,success,,0.5819549770108079,0.42853530045696253,0.4300848541738491,1.0099124908447266,0.7350565367184001,
2026-07-07T23:12:12.050545+00:00,jannis,41168,logistic_regression,1,50,66936,40,10,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,4,20,"{0:1350,1:23032,2:11787,3:30817}","{0:4,1:16,2:10,3:20}","{0:1,1:3,2:2,3:4}","{0:337,1:5758,2:2947,3:7705}","{0:1346,1:23016,2:11777,3:30797}",1.286,success,,0.4668298799785036,0.32880700061968265,0.33284530333066986,1.6607515811920166,0.6345476208739418,
2026-07-07T23:12:13.346243+00:00,jannis,41168,logistic_regression,1,100,66886,80,20,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,7,42,"{0:1350,1:23032,2:11787,3:30817}","{0:7,1:32,2:19,3:42}","{0:2,1:6,2:4,3:8}","{0:337,1:5758,2:2947,3:7705}","{0:1343,1:23000,2:11768,3:30775}",1.2509,success,,0.46384427061563266,0.3613617570369153,0.3494604082912074,1.8748353719711304,0.6291603523409728,
2026-07-07T23:12:14.608702+00:00,jannis,41168,logistic_regression,1,250,66736,200,50,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,10,111,"{0:1350,1:23032,2:11787,3:30817}","{0:10,1:84,2:45,3:111}","{0:2,1:17,2:9,3:22}","{0:337,1:5758,2:2947,3:7705}","{0:1340,1:22948,2:11742,3:30706}",1.2026,success,,0.48247447303994745,0.35603995618523365,0.3543643199683998,1.7032462358474731,0.642850529186485,
2026-07-07T23:12:15.823451+00:00,jannis,41168,logistic_regression,1,500,66486,400,100,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,15,226,"{0:1350,1:23032,2:11787,3:30817}","{0:15,1:170,2:89,3:226}","{0:3,1:34,2:18,3:45}","{0:337,1:5758,2:2947,3:7705}","{0:1335,1:22862,2:11698,3:30591}",1.2572,success,,0.5517406102585538,0.40264249678830566,0.4035175588167348,1.129861831665039,0.7063990703939996,
2026-07-07T23:12:17.089159+00:00,jannis,41168,logistic_regression,2,50,66936,40,10,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,4,20,"{0:1350,1:23032,2:11787,3:30817}","{0:4,1:16,2:10,3:20}","{0:1,1:3,2:2,3:4}","{0:337,1:5758,2:2947,3:7705}","{0:1346,1:23016,2:11777,3:30797}",1.1262,success,,0.4662327581059294,0.32639665478571656,0.32852881495378583,1.9373887777328491,0.5967486722174672,
2026-07-07T23:12:18.226270+00:00,jannis,41168,logistic_regression,2,100,66886,80,20,16747,4,54,54,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,4,True,7,42,"{0:1350,1:23032,2:11787,3:30817}","{0:7,1:32,2:19,3:42}","{0:2,1:6,2:4,3:8}","{0:337,1:5758,2:2947,3:7705}","{0:1343,1:23000,2:11768,3:30775}",1.3165,success,,0.4589478712605243,0.34386125565472825,0.34143568157662474,2.233877658843994,0.6314313991611336,
