timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,neural_method,method_fidelity,reference_family,best_epoch,epochs_trained,pretrain_epochs_trained,finetune_epochs_trained,best_val_loss,final_train_loss,neural_validation_strategy,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,train_pool_class_counts,labeled_class_counts,val_class_counts,test_class_counts,unlabeled_class_counts,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-07-07T10:26:09.696235+00:00,segment,36,logistic_regression,0,50,1798,40,10,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,7,8,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:2,cement:2,foliage:1,grass:1,path:1,sky:1,window:2}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:256,cement:257,foliage:257,grass:257,path:257,sky:257,window:257}",0.0852,success,,0.8138528138528138,0.8138528138528139,0.807900684550592,0.6112551093101501,0.962214132668678,
2026-07-07T10:26:09.787267+00:00,segment,36,logistic_regression,0,100,1748,80,20,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,14,15,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:15,cement:15,foliage:14,grass:14,path:14,sky:14,window:14}","{brickface:3,cement:3,foliage:3,grass:3,path:2,sky:3,window:3}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:249,cement:249,foliage:250,grass:250,path:250,sky:250,window:250}",0.0666,success,,0.8896103896103896,0.8896103896103896,0.8874993029541806,0.4831139147281647,0.9766058856967946,
2026-07-07T10:26:09.858097+00:00,segment,36,logistic_regression,0,250,1598,200,50,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,35,36,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}",0.0735,success,,0.9307359307359307,0.9307359307359307,0.9294031601563374,0.3437466323375702,0.9860291223927588,
2026-07-07T10:26:09.935431+00:00,segment,36,logistic_regression,0,500,1348,400,100,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,71,72,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:72,cement:72,foliage:72,grass:71,path:71,sky:71,window:71}","{brickface:14,cement:15,foliage:15,grass:14,path:14,sky:14,window:14}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:192,cement:192,foliage:192,grass:193,path:193,sky:193,window:193}",0.0849,success,,0.9242424242424242,0.9242424242424242,0.9234743431849504,0.2979410290718078,0.9879695220604312,
2026-07-07T10:26:10.024509+00:00,segment,36,logistic_regression,1,50,1798,40,10,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,7,8,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:2,cement:2,foliage:1,grass:2,path:1,sky:1,window:1}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:256,cement:257,foliage:257,grass:257,path:257,sky:257,window:257}",0.0658,success,,0.841991341991342,0.841991341991342,0.8431576600181728,0.5696598887443542,0.96494708994709,
2026-07-07T10:26:10.094150+00:00,segment,36,logistic_regression,1,100,1748,80,20,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,14,15,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:15,cement:15,foliage:14,grass:14,path:14,sky:14,window:14}","{brickface:3,cement:3,foliage:3,grass:3,path:3,sky:2,window:3}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:249,cement:249,foliage:250,grass:250,path:250,sky:250,window:250}",0.0666,success,,0.8614718614718615,0.8614718614718616,0.8584133470856825,0.5070669651031494,0.9679533429533428,
2026-07-07T10:26:10.164230+00:00,segment,36,logistic_regression,1,250,1598,200,50,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,35,36,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}","{brickface:7,cement:7,foliage:8,grass:7,path:7,sky:7,window:7}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}",0.0663,success,,0.9047619047619048,0.9047619047619048,0.906345235328985,0.3890603184700012,0.976840920022738,
2026-07-07T10:26:10.234321+00:00,segment,36,logistic_regression,1,500,1348,400,100,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,71,72,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:72,cement:72,foliage:72,grass:71,path:71,sky:71,window:71}","{brickface:15,cement:14,foliage:15,grass:14,path:14,sky:14,window:14}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:192,cement:192,foliage:192,grass:193,path:193,sky:193,window:193}",0.0692,success,,0.9155844155844156,0.9155844155844156,0.917217189376948,0.3239223659038543,0.9841652455288818,
2026-07-07T10:26:10.307125+00:00,segment,36,logistic_regression,2,50,1798,40,10,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,7,8,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:2,cement:1,foliage:2,grass:2,path:1,sky:1,window:1}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:256,cement:257,foliage:257,grass:257,path:257,sky:257,window:257}",0.0598,success,,0.7987012987012987,0.7987012987012986,0.7916801415037996,0.6043897867202759,0.9596232891687436,
2026-07-07T10:26:10.370345+00:00,segment,36,logistic_regression,2,100,1748,80,20,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,14,15,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:15,cement:15,foliage:14,grass:14,path:14,sky:14,window:14}","{brickface:3,cement:3,foliage:2,grass:3,path:3,sky:3,window:3}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:249,cement:249,foliage:250,grass:250,path:250,sky:250,window:250}",0.0663,success,,0.8722943722943723,0.8722943722943722,0.8668348884911523,0.4299385249614715,0.9816891862346409,
2026-07-07T10:26:10.440417+00:00,segment,36,logistic_regression,2,250,1598,200,50,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,35,36,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}","{brickface:7,cement:7,foliage:8,grass:7,path:7,sky:7,window:7}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}",0.0764,success,,0.9177489177489178,0.9177489177489176,0.9173451579075688,0.3024028539657593,0.9890681708863528,
2026-07-07T10:26:10.521885+00:00,segment,36,logistic_regression,2,500,1348,400,100,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,71,72,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:72,cement:72,foliage:72,grass:71,path:71,sky:71,window:71}","{brickface:14,cement:15,foliage:15,grass:14,path:14,sky:14,window:14}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:192,cement:192,foliage:192,grass:193,path:193,sky:193,window:193}",0.0734,success,,0.9307359307359307,0.9307359307359307,0.931254156991178,0.2629377245903015,0.9907571384844112,
2026-07-07T10:26:10.598654+00:00,segment,36,random_forest,0,50,1798,40,10,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,7,8,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:2,cement:2,foliage:1,grass:1,path:1,sky:1,window:2}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:256,cement:257,foliage:257,grass:257,path:257,sky:257,window:257}",0.7936,success,,0.8398268398268398,0.8398268398268398,0.8389856361898352,0.5421373115438396,0.9801887926887928,
2026-07-07T10:26:11.396600+00:00,segment,36,random_forest,0,100,1748,80,20,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,14,15,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:15,cement:15,foliage:14,grass:14,path:14,sky:14,window:14}","{brickface:3,cement:3,foliage:3,grass:3,path:2,sky:3,window:3}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:249,cement:249,foliage:250,grass:250,path:250,sky:250,window:250}",1.0149,success,,0.9090909090909092,0.9090909090909092,0.9082475225584202,0.3765150271054373,0.9902761380034109,
2026-07-07T10:26:12.414184+00:00,segment,36,random_forest,0,250,1598,200,50,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,35,36,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}",1.124,success,,0.9545454545454546,0.9545454545454544,0.954334709385234,0.2403862083738981,0.9941951987406532,
2026-07-07T10:26:13.546936+00:00,segment,36,random_forest,0,500,1348,400,100,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,71,72,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:72,cement:72,foliage:72,grass:71,path:71,sky:71,window:71}","{brickface:14,cement:15,foliage:15,grass:14,path:14,sky:14,window:14}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:192,cement:192,foliage:192,grass:193,path:193,sky:193,window:193}",2.6043,success,,0.9523809523809524,0.9523809523809524,0.9521868077023888,0.1693812006086996,0.9968024399842582,
2026-07-07T10:26:16.157621+00:00,segment,36,random_forest,1,50,1798,40,10,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,7,8,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:2,cement:2,foliage:1,grass:2,path:1,sky:1,window:1}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:256,cement:257,foliage:257,grass:257,path:257,sky:257,window:257}",1.2415,success,,0.8225108225108225,0.8225108225108225,0.8272869602571461,0.8158129524219544,0.962225064497792,
2026-07-07T10:26:17.405885+00:00,segment,36,random_forest,1,100,1748,80,20,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,14,15,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:15,cement:15,foliage:14,grass:14,path:14,sky:14,window:14}","{brickface:3,cement:3,foliage:3,grass:3,path:3,sky:2,window:3}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:249,cement:249,foliage:250,grass:250,path:250,sky:250,window:250}",1.5425,success,,0.8571428571428571,0.8571428571428571,0.8544180860827765,0.4265762401856766,0.9790655472473654,
2026-07-07T10:26:18.956069+00:00,segment,36,random_forest,1,250,1598,200,50,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,35,36,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}","{brickface:7,cement:7,foliage:8,grass:7,path:7,sky:7,window:7}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}",1.621,success,,0.9155844155844156,0.9155844155844156,0.9163379637149416,0.278637794976928,0.9888823297914204,
2026-07-07T10:26:20.585393+00:00,segment,36,random_forest,1,500,1348,400,100,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,71,72,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:72,cement:72,foliage:72,grass:71,path:71,sky:71,window:71}","{brickface:15,cement:14,foliage:15,grass:14,path:14,sky:14,window:14}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:192,cement:192,foliage:192,grass:193,path:193,sky:193,window:193}",1.4342,success,,0.945887445887446,0.945887445887446,0.9462151325955864,0.2134836216034728,0.9945696138877956,
2026-07-07T10:26:22.034825+00:00,segment,36,random_forest,2,50,1798,40,10,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,7,8,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:2,cement:1,foliage:2,grass:2,path:1,sky:1,window:1}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:256,cement:257,foliage:257,grass:257,path:257,sky:257,window:257}",1.5681,success,,0.8225108225108225,0.8225108225108225,0.8149283692760053,0.5501700705467786,0.9750289693471512,
2026-07-07T10:26:23.611755+00:00,segment,36,random_forest,2,100,1748,80,20,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,14,15,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:15,cement:15,foliage:14,grass:14,path:14,sky:14,window:14}","{brickface:3,cement:3,foliage:2,grass:3,path:3,sky:3,window:3}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:249,cement:249,foliage:250,grass:250,path:250,sky:250,window:250}",1.2796,success,,0.9112554112554112,0.9112554112554112,0.9039014989302556,0.3540390299063081,0.9886035681490228,
2026-07-07T10:26:24.895269+00:00,segment,36,random_forest,2,250,1598,200,50,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,35,36,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}","{brickface:7,cement:7,foliage:8,grass:7,path:7,sky:7,window:7}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}",1.5457,success,,0.945887445887446,0.945887445887446,0.9453451090026024,0.2204762847490118,0.9945696138877956,
2026-07-07T10:26:26.447447+00:00,segment,36,random_forest,2,500,1348,400,100,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,71,72,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:72,cement:72,foliage:72,grass:71,path:71,sky:71,window:71}","{brickface:14,cement:15,foliage:15,grass:14,path:14,sky:14,window:14}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:192,cement:192,foliage:192,grass:193,path:193,sky:193,window:193}",1.5355,success,,0.9675324675324676,0.9675324675324676,0.9676291025045474,0.1560118442209428,0.997789037561765,
2026-07-07T10:26:27.992201+00:00,segment,36,xgboost,0,50,1798,40,10,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,7,8,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:2,cement:2,foliage:1,grass:1,path:1,sky:1,window:2}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:256,cement:257,foliage:257,grass:257,path:257,sky:257,window:257}",3.6,success,,0.7489177489177489,0.7489177489177489,0.7504363004689909,0.821074903011322,0.9417442826533736,
2026-07-07T10:26:31.604840+00:00,segment,36,xgboost,0,100,1748,80,20,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,14,15,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:15,cement:15,foliage:14,grass:14,path:14,sky:14,window:14}","{brickface:3,cement:3,foliage:3,grass:3,path:2,sky:3,window:3}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:249,cement:249,foliage:250,grass:250,path:250,sky:250,window:250}",4.2542,success,,0.8441558441558441,0.844155844155844,0.8490731774684132,0.5169941186904907,0.9752011456556912,
2026-07-07T10:26:35.873390+00:00,segment,36,xgboost,0,250,1598,200,50,462,7,19,19,,,,,,,,,,,,,,,,,,,,,,,,,stratified_labeled_val,7,True,35,36,"{brickface:264,cement:264,foliage:264,grass:264,path:264,sky:264,window:264}","{brickface:36,cement:36,foliage:36,grass:36,path:36,sky:35,window:35}","{brickface:8,cement:7,foliage:7,grass:7,path:7,sky:7,window:7}","{brickface:66,cement:66,foliage:66,grass:66,path:66,sky:66,window:66}","{brickface:228,cement:228,foliage:228,grass:228,path:228,sky:229,window:229}",5.6985,success,,0.9047619047619048,0.9047619047619048,0.907813273486753,0.2604701220989227,0.992500765228038,
