timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,neural_method,best_epoch,epochs_trained,pretrain_epochs_trained,finetune_epochs_trained,best_val_loss,final_train_loss,neural_validation_strategy,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-30T08:51:06.354955+00:00,phoneme,1489,sslae,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,sslae,3,13,,,0.5780885219573975,0.4211103916168213,internal_stratified_val,stratified_labeled_val,2,True,15,35,7.2453,success,,0.7261794634597595,0.5644994797430095,0.5511855201588922,0.5519386208942004,0.7058813814061804,0.5073059749245744
2026-06-30T08:51:13.610685+00:00,phoneme,1489,sslae,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,sslae,29,39,,,0.43271905183792114,0.17001231014728546,internal_stratified_val,stratified_labeled_val,2,True,30,70,8.7288,success,,0.7696577243293247,0.6635485655771549,0.6792112837197661,0.5193720090451378,0.8232323649396337,0.6088169485481044
2026-06-30T08:51:22.347233+00:00,phoneme,1489,sslae,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,sslae,41,51,,,0.42580968141555786,0.2753288149833679,internal_stratified_val,stratified_labeled_val,2,True,74,176,14.6826,success,,0.7705827937095282,0.7555638594810643,0.7388156253896995,0.4983001554657199,0.8455992865046987,0.6296797561684131
2026-06-30T08:51:37.042298+00:00,phoneme,1489,sslae,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,sslae,44,54,,,0.39529719948768616,0.3955736309289932,internal_stratified_val,stratified_labeled_val,2,True,147,353,12.1519,success,,0.7974098057354302,0.781925611508415,0.7670948516470381,0.41110339930860407,0.8689571737658349,0.6951117811175984
2026-06-30T08:51:49.201261+00:00,phoneme,1489,sslae,1,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,sslae,3,13,,,0.48722296953201294,0.2805953025817871,internal_stratified_val,stratified_labeled_val,2,True,15,35,3.1097,success,,0.7474560592044404,0.6487645960988984,0.6601087005345192,0.5334828394708829,0.7630601020694667,0.5422980592777749
2026-06-30T08:51:52.318236+00:00,phoneme,1489,sslae,1,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,sslae,6,16,,,0.44891613721847534,0.3349592387676239,internal_stratified_val,stratified_labeled_val,2,True,30,70,3.6288,success,,0.7844588344125809,0.7487695509273787,0.7443892033201506,0.4973657294703423,0.7903983682098205,0.5345284982703329
2026-06-30T08:51:55.955035+00:00,phoneme,1489,sslae,1,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,sslae,34,44,,,0.455161988735199,0.3695726990699768,internal_stratified_val,stratified_labeled_val,2,True,74,176,9.1479,success,,0.7770582793709528,0.6881637405651808,0.7029274962056465,0.43006543497962857,0.8527342395164088,0.677903789281535
2026-06-30T08:52:05.110662+00:00,phoneme,1489,sslae,1,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,sslae,2,12,,,0.5632970333099365,0.4669951945543289,internal_stratified_val,stratified_labeled_val,2,True,147,353,2.8635,success,,0.7382053654024052,0.5757758435595488,0.5651024896330445,0.5111550924029391,0.8013113779378005,0.6230919552662574
2026-06-30T08:52:07.982467+00:00,phoneme,1489,sslae,2,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,sslae,24,34,,,0.1235264465212822,0.20522545278072357,internal_stratified_val,stratified_labeled_val,2,True,15,35,8.0801,success,,0.6993524514338575,0.7051711893239963,0.674265062430405,0.7209258475717683,0.7782714255041537,0.5424837167720113
2026-06-30T08:52:16.069904+00:00,phoneme,1489,sslae,2,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,sslae,5,15,,,0.4219426214694977,0.36609721183776855,internal_stratified_val,stratified_labeled_val,2,True,30,70,4.2982,success,,0.7613320999074931,0.6788837597238508,0.6898376334519574,0.4810344105184998,0.806848398764596,0.6121764016289551
