timestamp_utc,dataset,dataset_id,method,seed,n_labeled,n_unlabeled,train_labeled_size,val_size,test_size,n_classes,n_features_before_preprocessing,n_features_after_preprocessing,n_pseudo_added_total,n_pseudo_added_last_iter,self_training_iterations,pseudo_label_class_distribution,pseudo_label_fraction,mean_selected_confidence,min_selected_confidence,max_selected_confidence,mean_selected_density,stopped_reason,graph_n_neighbors_used,graph_retry_count,graph_n_rows,graph_n_unlabeled_used,neural_method,method_fidelity,reference_family,best_epoch,epochs_trained,pretrain_epochs_trained,finetune_epochs_trained,best_val_loss,final_train_loss,neural_validation_strategy,validation_strategy,labeled_classes_present,all_classes_present_in_labeled,min_labeled_per_class,max_labeled_per_class,runtime_seconds,status,error_message,metric_accuracy,metric_balanced_accuracy,metric_macro_f1,metric_log_loss,metric_roc_auc,metric_average_precision
2026-06-30T11:14:36.319569+00:00,phoneme,1489,vime,0,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,8,18,50,18,0.5657371282577515,0.4284347593784332,internal_stratified_val,stratified_labeled_val,2,True,15,35,21.3197,success,,0.7261794634597595,0.5377372124134969,0.49312499207948396,0.5959542561409683,0.6614654731035394,0.5059619575454808
2026-06-30T11:14:57.649753+00:00,phoneme,1489,vime,0,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,54,64,50,64,0.4630659520626068,0.1339520514011383,internal_stratified_val,stratified_labeled_val,2,True,30,70,18.3369,success,,0.7807585568917669,0.6880130311989033,0.7041813451939298,0.5700851361778686,0.8161015409516573,0.6016538038999033
2026-06-30T11:15:16.000130+00:00,phoneme,1489,vime,0,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,10,20,50,20,0.5525745153427124,0.4147924482822418,internal_stratified_val,stratified_labeled_val,2,True,74,176,29.1255,success,,0.755781683626272,0.6481947908236576,0.6612733228884774,0.5056125499857586,0.7754223991279502,0.5726827674701969
2026-06-30T11:15:45.134445+00:00,phoneme,1489,vime,0,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,53,63,50,63,0.3852711319923401,0.3101063370704651,internal_stratified_val,stratified_labeled_val,2,True,147,353,34.8277,success,,0.8103607770582794,0.7855508943465408,0.7773943877730398,0.3992017682934264,0.877690058962459,0.7313024498317008
2026-06-30T11:16:19.970756+00:00,phoneme,1489,vime,1,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,7,17,50,17,0.47833070158958435,0.2707695960998535,internal_stratified_val,stratified_labeled_val,2,True,15,35,29.7034,success,,0.7493061979648473,0.6666845591028457,0.676069949633168,0.5267034948239281,0.764835582274927,0.5205911606672031
2026-06-30T11:16:49.680394+00:00,phoneme,1489,vime,1,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,14,24,50,24,0.46686112880706787,0.28362926840782166,internal_stratified_val,stratified_labeled_val,2,True,30,70,23.5464,success,,0.7733580018501388,0.7390704741770856,0.7330624767552847,0.5407775821986796,0.7748567228764431,0.518880092610273
2026-06-30T11:17:13.232738+00:00,phoneme,1489,vime,1,250,4073,200,50,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,24,34,50,34,0.45739227533340454,0.35893458127975464,internal_stratified_val,stratified_labeled_val,2,True,74,176,20.1812,success,,0.7705827937095282,0.6586659950121393,0.6746473266730745,0.4546542196195272,0.8356070490693182,0.6514864442975699
2026-06-30T11:17:33.420226+00:00,phoneme,1489,vime,1,500,3823,400,100,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,48,58,50,58,0.4726712703704834,0.285889595746994,internal_stratified_val,stratified_labeled_val,2,True,147,353,24.4618,success,,0.8020351526364478,0.7279819809404264,0.7427335409252669,0.38189375478253557,0.8922944159083025,0.7303341912795449
2026-06-30T11:17:57.888314+00:00,phoneme,1489,vime,2,50,4273,40,10,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,34,44,50,44,0.1405220925807953,0.1970731019973755,internal_stratified_val,stratified_labeled_val,2,True,15,35,19.8752,success,,0.7363552266419982,0.7184294845326771,0.7017965671542109,0.6593166540298723,0.7906626257287727,0.5522335879771961
2026-06-30T11:18:17.769829+00:00,phoneme,1489,vime,2,100,4223,80,20,1081,2,5,5,,,,,,,,,,,,,,,vime,paper_faithful_core,VIME,14,24,50,24,0.40050557255744934,0.3704734146595001,internal_stratified_val,stratified_labeled_val,2,True,30,70,20.7267,success,,0.7622571692876966,0.7099918245330075,0.7113424663227509,0.4906530573205851,0.8048169190876509,0.6247661719612352
