dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
MagicTelescope,0,100,0.5145739910313901,0.6146943726155536,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.10012038158416348
MagicTelescope,0,250,0.771533210405915,0.773699897075564,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.0021666866696489206
MagicTelescope,0,500,0.8081268480027932,0.7937437945293662,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.014383053473427054
MagicTelescope,0,50,0.500373692077728,0.5681547067017264,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.06778101462399844
MagicTelescope,1,100,0.6962147083747031,0.7067262755538098,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.010511567179106729
MagicTelescope,1,250,0.7678835753694186,0.766599747598733,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.001283827770685697
MagicTelescope,1,500,0.7462849006579162,0.7845924301441305,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.0383075294862143
MagicTelescope,1,50,0.5042497245043807,0.6177993809986216,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.11354965649424098
MagicTelescope,2,100,0.7201173629522947,0.6971639408057202,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.022953422146574476
MagicTelescope,2,250,0.7364534348757451,0.754370651624424,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.017917216748678855
MagicTelescope,2,500,0.7686864223393306,0.7722205856145825,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.0035341632752519114
MagicTelescope,2,50,0.5,0.6900083285144331,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.19000832851443306
bank-marketing,0,100,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
bank-marketing,0,250,0.5,0.507191650696663,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.0071916506966630545
bank-marketing,0,500,0.5797614383301393,0.5059274656048143,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.07383397272532499
bank-marketing,0,50,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
bank-marketing,1,100,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
bank-marketing,1,250,0.5,0.5047318163901361,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.00473181639013609
bank-marketing,1,500,0.555459669773074,0.5734582682794891,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,-0.017998598506415053
bank-marketing,1,50,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
bank-marketing,2,100,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
bank-marketing,2,250,0.557350028941316,0.5191032808443999,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.03824674809691608
bank-marketing,2,500,0.6267711907842327,0.5800461758992819,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.046725014884950844
bank-marketing,2,50,0.5,0.5,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.0
electricity,0,100,0.6818347193347194,0.6693144376030282,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.012520281731691174
electricity,0,250,0.6644090491405927,0.6574115277974338,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.006997521343158897
electricity,0,500,0.7503876950185675,0.7372502656059703,geometric_attention_ssl,laplacian_ssl,metric_balanced_accuracy,0.013137429412597212
