dataset,seed,n_labeled,tabiclv2,tabpfn3,delta_tabpfn3_minus_tabiclv2
MagicTelescope,0,50,0.7716314068642962,0.7371289901403482,-0.03450241672394805
MagicTelescope,0,100,0.8109008979520583,0.8192857844260417,0.008384886473983388
MagicTelescope,0,250,0.8241083216043119,0.8343771253168655,0.010268803712553565
MagicTelescope,0,500,0.8506049992908034,0.8570532333911601,0.006448234100356776
MagicTelescope,1,50,0.7299270072992701,0.7364434333846137,0.006516426085343641
MagicTelescope,1,100,0.759324117413869,0.7465949468829898,-0.012729170530879186
MagicTelescope,1,250,0.8363610574667495,0.8297700748111536,-0.006590982655595878
MagicTelescope,1,500,0.8438985448739631,0.8416563924075953,-0.0022421524663678305
MagicTelescope,2,50,0.7385273804458119,0.7388810695412771,0.0003536890954651817
MagicTelescope,2,100,0.7792807291268881,0.7927536469073571,0.013472917780468996
MagicTelescope,2,250,0.8212897195581886,0.8180137765994202,-0.0032759429587684297
MagicTelescope,2,500,0.8261677195509148,0.830318338370448,0.004150618819533158
adult,0,50,0.672293914967228,0.5300434081948566,-0.1422505067723714
adult,0,100,0.7327630050470604,0.7258629116989506,-0.006900093348109815
adult,0,250,0.7474562381091672,0.744815778213456,-0.002640459895711156
adult,0,500,0.74337310729484,0.7399080954533634,-0.0034650118414765174
adult,1,50,0.7043027676695746,0.7360759189850301,0.03177315131545555
adult,1,100,0.7302571165414715,0.7241374854535695,-0.006119631087902033
adult,1,250,0.7380917845950639,0.7411552407037819,0.0030634561087180545
adult,1,500,0.7502907271563338,0.7510570300658272,0.0007663029094934215
adult,2,50,0.6906494410682642,0.690570960276805,-7.848079145922338e-05
adult,2,100,0.7178271923768819,0.7096303384925173,-0.00819685388436453
adult,2,250,0.6941304829063828,0.6896493074178076,-0.004481175488575184
adult,2,500,0.7523281771424566,0.7487358750403916,-0.0035923021020649593
bank-marketing,0,50,0.5605110835178909,0.5018395786996649,-0.05867150481822603
bank-marketing,0,100,0.6728360595776817,0.6444828618877787,-0.028353197689902965
bank-marketing,0,250,0.5885705475649641,0.612969201468254,0.02439865390328988
bank-marketing,0,500,0.657478933207704,0.6847190443328879,0.027240111125183875
bank-marketing,1,50,0.620233116677892,0.5969142283558609,-0.023318888322031106
bank-marketing,1,100,0.6387669223840069,0.5897272532501275,-0.04903966913387936
bank-marketing,1,250,0.6190608454178617,0.5990407344583949,-0.020020110959466764
bank-marketing,1,500,0.6449458045745035,0.6438246097065268,-0.0011211948679766826
bank-marketing,2,50,0.5947861242665538,0.56640238727387,-0.028383736992683706
bank-marketing,2,100,0.6543704938252608,0.6195642704361793,-0.03480622338908146
bank-marketing,2,250,0.6533047550167908,0.6444105973748037,-0.008894157641987088
bank-marketing,2,500,0.6566188020307453,0.6415407906838555,-0.015078011346889797
electricity,0,50,0.7198397444202813,0.71013854864526,-0.009701195775021265
electricity,0,100,0.6974614946091455,0.7254452512841774,0.027983756675031835
electricity,0,250,0.7659803102756123,0.7578902165311561,-0.00809009374445624
electricity,0,500,0.7860790578911384,0.7763148243014015,-0.009764233589736881
electricity,1,50,0.619917632249847,0.6991715386010688,0.07925390635122187
electricity,1,100,0.7268598397793029,0.7397591457155215,0.012899305936218575
electricity,1,250,0.7620228062342156,0.7507044039762161,-0.011318402257999516
electricity,1,500,0.7631369310899512,0.7685980738833088,0.005461142793357632
electricity,2,50,0.6921837843817709,0.7236933481899925,0.031509563808221674
electricity,2,100,0.7280824494750668,0.7243154790973583,-0.0037669703777085672
electricity,2,250,0.7494226184662427,0.741857358132526,-0.007565260333716739
electricity,2,500,0.76673340037434,0.7603577109449593,-0.006375689429380715
jannis,0,50,0.397776508780677,0.3446541952597528,-0.05312231352092417
jannis,0,100,0.4117237711927579,0.4337008175990591,0.021977046406301215
jannis,0,250,0.4523767109672099,0.4480791347270969,-0.00429757624011301
jannis,0,500,0.4684665617335435,0.4620567609384406,-0.0064098007951028935
jannis,1,50,0.3888729228883708,0.3739821162823106,-0.01489080660606018
jannis,1,100,0.3918105170683238,0.3892730185250031,-0.002537498543320693
jannis,1,250,0.4261792474306001,0.4126798170489105,-0.013499430381689603
jannis,1,500,0.4656041408620769,0.448216171671638,-0.01738796919043889
jannis,2,50,0.3688566940063818,0.345423227310512,-0.02343346669586982
jannis,2,100,0.3663667250168948,0.3461843238872358,-0.020182401129659022
jannis,2,250,0.4447091855825947,0.4454845697041244,0.0007753841215297208
jannis,2,500,0.4559719676166194,0.4545586568491521,-0.0014133107674673129
phoneme,0,50,0.6930132789403274,0.6393524864980924,-0.053660792442234984
phoneme,0,100,0.7524464465621749,0.7632190694832114,0.010772622921036534
phoneme,0,250,0.7839736072802946,0.7813558062331742,-0.002617801047120394
phoneme,0,500,0.7831354154623681,0.7985222224057344,0.01538680694336636
phoneme,1,50,0.7420227261466299,0.7554461823046559,0.013423456158025981
phoneme,1,100,0.7433832394668605,0.7792561976646242,0.035872958197763705
phoneme,1,250,0.794294102102499,0.7907204320610435,-0.003573670041455479
phoneme,1,500,0.7954522932597816,0.8093794903133104,0.01392719705352874
phoneme,2,50,0.7539205080350802,0.7176098733215519,-0.036310634713528245
phoneme,2,100,0.776656977224305,0.7762709135052108,-0.00038606371909422066
phoneme,2,250,0.787448180752143,0.785014121261169,-0.002434059490973972
phoneme,2,500,0.7993789948304623,0.7887240490858342,-0.010654945744628108
satimage,0,50,0.8046199195634727,0.7997849326085588,-0.004834986954913911
