method,scope,delta_mean,delta_std,delta_se,delta_ci95_low,delta_ci95_high,n_pairs,positive_fraction,zero_fraction
tabiclv2_self_training,overall,0.001379391979649243,0.007558468763719899,0.0006899906403479291,2.701032456730191e-05,0.002731773634731184,120,0.19166666666666668,0.6916666666666667
tabiclv2_self_training,budget_50,0.0015376922828142143,0.00577005552550098,0.001053463189791404,-0.0005270955691769376,0.0036024801348053664,30,0.1,0.8666666666666667
tabiclv2_self_training,budget_100,0.002482454261436401,0.009344261877649338,0.0017060210045413736,-0.0008613469074646913,0.005826255430337494,30,0.16666666666666666,0.7333333333333333
tabiclv2_self_training,budget_250,0.0015008006010597875,0.009905187893848156,0.001808431615262574,-0.0020437253648548574,0.005045326566974432,30,0.23333333333333334,0.6333333333333333
tabiclv2_self_training,budget_500,-3.3792267134310123e-06,0.0035259700758851803,0.0006437511158835052,-0.001265131413845101,0.001258372960418239,30,0.26666666666666666,0.5333333333333333
tabpfn3_self_training,overall,0.0022805890436580468,0.015001292737516766,0.0013694244040127262,-0.0004034827882068966,0.00496466087552299,120,0.16666666666666666,0.7166666666666667
tabpfn3_self_training,budget_50,0.004874403965395361,0.0250015368422973,0.004564635233607571,-0.004072281092475478,0.0138210890232662,30,0.06666666666666667,0.9333333333333333
tabpfn3_self_training,budget_100,0.0025292942336376614,0.010578090282003317,0.0019312862209264667,-0.0012560267593782135,0.006314615226653536,30,0.16666666666666666,0.8
tabpfn3_self_training,budget_250,0.0027068920487587854,0.012074551297224257,0.0022045013724143305,-0.001613930641173302,0.007027714738690873,30,0.2,0.6333333333333333
tabpfn3_self_training,budget_500,-0.0009882340731596218,0.004733060559321817,0.0008641346781261925,-0.0026819380422869587,0.0007054698959677154,30,0.23333333333333334,0.5
