dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
MagicTelescope,0,100,0.6146943726155536,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.1146943726155536
MagicTelescope,0,250,0.773699897075564,0.5083921602857153,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.26530773678984865
MagicTelescope,0,500,0.7937437945293662,0.5466278608810768,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.24711593364828932
MagicTelescope,0,50,0.5681547067017264,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.06815470670172641
MagicTelescope,1,100,0.7067262755538098,0.5011210762331838,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.20560519932062604
MagicTelescope,1,250,0.766599747598733,0.5183545546790612,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.24824519291967173
MagicTelescope,1,500,0.7845924301441305,0.5639568081059357,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.22063562203819476
MagicTelescope,1,50,0.6177993809986216,0.5057763157416196,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.11202306525700201
MagicTelescope,2,100,0.6971639408057202,0.5079229994290058,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.18924094137671443
MagicTelescope,2,250,0.754370651624424,0.5191974076134988,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.2351732440109252
MagicTelescope,2,500,0.7722205856145825,0.5679955920700904,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.20422499354449208
MagicTelescope,2,50,0.6900083285144331,0.5007473841554559,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.1892609443589771
bank-marketing,0,100,0.5,0.4990607388854101,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0009392611145899177
bank-marketing,0,250,0.507191650696663,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0071916506966630545
bank-marketing,0,500,0.5059274656048143,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.005927465604814275
bank-marketing,0,50,0.5,0.4991411117016429,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0008588882983571189
bank-marketing,1,100,0.5,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0
bank-marketing,1,250,0.5047318163901361,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.00473181639013609
bank-marketing,1,500,0.5734582682794891,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.07345826827948909
bank-marketing,1,50,0.5,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0
bank-marketing,2,100,0.5,0.4982422737339506,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.0017577262660494197
bank-marketing,2,250,0.5191032808443999,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.01910328084439994
bank-marketing,2,500,0.5800461758992819,0.5,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.08004617589928187
bank-marketing,2,50,0.5,0.4996541838252962,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.00034581617470380577
electricity,0,100,0.6693144376030282,0.5354764612314948,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.13383797637153338
electricity,0,250,0.6574115277974338,0.5516468815965461,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.10576464620088777
electricity,0,500,0.7372502656059703,0.5913952884590469,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.14585497714692341
electricity,0,50,0.6278169680854244,0.5074887428914274,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.120328225193997
electricity,1,100,0.5486357171759857,0.5499822098815388,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.0013464927055530929
electricity,1,250,0.7047266152131924,0.5809424228048389,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.12378419240835348
electricity,1,500,0.7445380598904089,0.6197646970297976,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.12477336286061125
electricity,1,50,0.6649273794408023,0.5156755361453348,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.14925184329546748
electricity,2,100,0.6833953911135119,0.5434442416824967,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.13995114943101516
electricity,2,250,0.7292518881445056,0.5654933743020991,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.16375851384240647
electricity,2,500,0.7303609301092522,0.607371412824433,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.12298951728481922
electricity,2,50,0.6354186059722973,0.5433019207348067,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.09211668523749061
phoneme,0,100,0.6336461756982179,0.5951884486432029,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.038457727055015045
phoneme,0,250,0.7278787553470858,0.6965023039952434,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.031376451351842416
phoneme,0,500,0.7121574974812955,0.7211690917799396,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.009011594298644066
phoneme,0,50,0.6276900589624589,0.6018506284374122,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.02583943052504667
phoneme,1,100,0.6262304490726213,0.6987484929063372,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.07251804383371596
phoneme,1,250,0.7317724247278974,0.6692362957702281,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.06253612895766925
phoneme,1,500,0.7409677605826879,0.7423613060927874,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.0013935455100995142
phoneme,1,50,0.6844207805506466,0.6884754818570697,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.0040547013064231585
phoneme,2,100,0.7567736634350175,0.67108196937916,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.08569169405585753
phoneme,2,250,0.7115030472195154,0.6639346292962491,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.04756841792326627
phoneme,2,500,0.7145915569722695,0.7304821048111385,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.015890547838869007
phoneme,2,50,0.7092713098914893,0.5904896196343337,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.11878169025715568
satimage,0,100,0.5591480592106741,0.7749225935940892,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.2157745343834151
satimage,0,250,0.6983637669512487,0.8192176872425035,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.12085392029125486
satimage,0,500,0.7355629335088038,0.8270059969263337,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.09144306341752995
satimage,0,50,0.5593111115295578,0.7773445291196303,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.21803341759007244
satimage,1,100,0.6152154402269655,0.8182915404834464,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.20307610025648093
satimage,1,250,0.6943140825631718,0.8508582141317383,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.1565441315685665
satimage,1,500,0.7468333484836173,0.860173869396224,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.11334052091260671
satimage,1,50,0.5543407057167323,0.6736018370343202,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.11926113131758787
satimage,2,100,0.662786297987335,0.8158471517306962,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.1530608537433612
satimage,2,250,0.7437679743812499,0.8184545109662155,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.0746865365849656
satimage,2,500,0.7520152899028901,0.8357685217602343,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.08375323185734418
satimage,2,50,0.6709725241815021,0.8000340348317518,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.12906151065024973
segment,0,100,0.6926406926406926,0.738095238095238,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.045454545454545414
segment,0,250,0.7727272727272727,0.8787878787878788,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.10606060606060608
segment,0,500,0.8939393939393938,0.9069264069264068,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.012987012987012991
segment,0,50,0.6926406926406926,0.670995670995671,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.021645021645021578
segment,1,100,0.6450216450216449,0.7424242424242424,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.09740259740259749
segment,1,250,0.79004329004329,0.8398268398268398,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.04978354978354982
segment,1,500,0.8852813852813852,0.9025974025974026,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.017316017316017396
segment,1,50,0.5909090909090909,0.6082251082251082,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.017316017316017285
segment,2,100,0.5844155844155845,0.8138528138528137,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.22943722943722922
segment,2,250,0.829004329004329,0.854978354978355,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.025974025974025983
segment,2,500,0.8766233766233766,0.8874458874458874,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.010822510822510734
segment,2,50,0.6038961038961039,0.6774891774891775,laplacian_ssl,label_propagation,metric_balanced_accuracy,-0.07359307359307354
spambase,0,250,0.9084318255872508,0.5404262567019166,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.3680055688853342
spambase,0,500,0.9180885097307384,0.5799564560561628,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.33813205367457566
spambase,1,100,0.8683536242187269,0.5358126721763086,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.3325409520424183
spambase,1,250,0.9044477028347996,0.5523415977961432,laplacian_ssl,label_propagation,metric_balanced_accuracy,0.35210610503865636
