dataset,method,seed,n_labeled,selected_round,rounds_attempted,fallback_reason,n_pseudo_added_total,pseudo_candidates_seen,pseudo_mean_confidence,graph_n_nodes,graph_n_edges,graph_n_isolated_nodes,graph_n_connected_components,graph_build_time_seconds,graph_affinity_mean,attention_entropy,labeled_attention_mass,unlabeled_attention_mass,memory_size,memory_leakage_flag,embedding_variance,effective_embedding_rank,representation_collapse_suspect,constant_prediction_suspect,max_pred_class_fraction,mean_intra_class_distance,mean_inter_prototype_distance
MagicTelescope,laplacian_ssl,0,100,,,,,,,15196.0,46457.0,207.0,231.0,0.976255105342716,0.49540977854396057,,,,,False,0.011649022244473894,,False,False,0.8645038167938931,,
MagicTelescope,laplacian_ssl,0,250,,,,,,,15166.0,46389.0,205.0,228.0,0.9924397822469473,0.49537652056601866,,,,,False,0.04838689486287911,,False,False,0.7406039825926415,,
MagicTelescope,laplacian_ssl,0,500,,,,,,,15116.0,46222.0,202.0,224.0,0.9591319342143834,0.49543960739845183,,,,,False,0.05812230902619976,,False,False,0.7149378142365705,,
MagicTelescope,laplacian_ssl,0,50,,,,,,,15206.0,46493.0,207.0,230.0,0.9475146341137588,0.49541284346331976,,,,,False,0.006165417450755394,,False,False,0.9314086544784953,,
MagicTelescope,laplacian_ssl,1,100,,,,,,,15196.0,46473.0,214.0,237.0,1.0023022084496915,0.494937950116439,,,,,False,0.03483794345442294,,False,False,0.8202158462753356,,
MagicTelescope,laplacian_ssl,1,250,,,,,,,15166.0,46368.0,215.0,237.0,0.9828729932196438,0.49497271991552555,,,,,False,0.07230180319497606,,False,False,0.751615455624423,,
MagicTelescope,laplacian_ssl,1,500,,,,,,,15116.0,46194.0,212.0,236.0,0.9753124597482383,0.49504372781990086,,,,,False,0.0625793005206934,,False,False,0.7265811061127282,,
MagicTelescope,laplacian_ssl,1,50,,,,,,,15206.0,46488.0,215.0,238.0,0.995302771218121,0.49495838219645516,,,,,False,0.007342937935426646,,False,False,0.8755754307510193,,
MagicTelescope,laplacian_ssl,2,100,,,,,,,15196.0,46544.0,194.0,221.0,0.9915481102652848,0.4954690000387151,,,,,False,0.0517873506972444,,False,False,0.7688865490918663,,
MagicTelescope,laplacian_ssl,2,250,,,,,,,15166.0,46441.0,196.0,223.0,0.9858120009303093,0.4954513449593215,,,,,False,0.056886087616751256,,False,False,0.7302518792034814,,
MagicTelescope,laplacian_ssl,2,500,,,,,,,15116.0,46326.0,195.0,221.0,0.9810511032119393,0.49551851850755657,,,,,False,0.06394701483293423,,False,False,0.7258534003704684,,
MagicTelescope,laplacian_ssl,2,50,,,,,,,15206.0,46592.0,194.0,221.0,0.9815289829857647,0.49543035100624516,,,,,False,0.04636424364464593,,False,False,0.7751545442588452,,
MagicTelescope,tabiclv2_self_training,0,100,0.0,2.0,loop0,0.0,80.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,0,250,0.0,2.0,loop0,0.0,200.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,0,500,1.0,2.0,,400.0,400.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,0,50,0.0,1.0,loop0,0.0,0.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,1,100,0.0,3.0,loop0,0.0,80.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,1,250,0.0,2.0,loop0,0.0,200.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,1,500,1.0,2.0,,400.0,400.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,1,50,0.0,1.0,loop0,0.0,0.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,2,100,0.0,2.0,loop0,0.0,80.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,2,250,0.0,2.0,loop0,0.0,200.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,2,500,0.0,2.0,loop0,0.0,400.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabiclv2_self_training,2,50,1.0,3.0,,40.0,40.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,0,100,0.0,2.0,loop0,0.0,80.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,0,250,0.0,2.0,loop0,0.0,200.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,0,500,1.0,2.0,,400.0,400.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,0,50,0.0,1.0,loop0,0.0,0.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,1,100,0.0,1.0,loop0,0.0,0.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,1,250,0.0,2.0,loop0,0.0,200.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,1,500,1.0,2.0,,400.0,400.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,1,50,0.0,1.0,loop0,0.0,0.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,2,100,0.0,2.0,loop0,0.0,80.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,2,250,0.0,2.0,loop0,0.0,200.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,2,500,0.0,2.0,loop0,0.0,400.0,,,,,,,,,,,,False,,,,,,,
MagicTelescope,tabpfn3_self_training,2,50,2.0,3.0,,40.0,40.0,,,,,,,,,,,,False,,,,,,,
bank-marketing,laplacian_ssl,0,100,,,,,,,36148.0,98130.0,1014.0,1191.0,2.2855812800116837,0.5412560393854218,,,,,False,0.013701124485762568,,False,True,1.0,,
bank-marketing,laplacian_ssl,0,250,,,,,,,36118.0,98046.0,1014.0,1188.0,2.2424264759756625,0.5413372742262768,,,,,False,0.03501983788658161,,False,True,0.9954316407331525,,
bank-marketing,laplacian_ssl,0,500,,,,,,,36068.0,97901.0,1011.0,1185.0,2.216875631827861,0.541288727638612,,,,,False,0.032099293070121576,,False,True,0.9966452256848176,,
bank-marketing,laplacian_ssl,0,50,,,,,,,36158.0,98154.0,1017.0,1193.0,2.2307414542883635,0.5412812833017475,,,,,False,0.00462347113163814,,False,True,1.0,,
bank-marketing,laplacian_ssl,1,100,,,,,,,36148.0,98284.0,996.0,1178.0,2.248893906828016,0.5414113462782508,,,,,False,0.012241908040811962,,False,True,1.0,,
bank-marketing,laplacian_ssl,1,250,,,,,,,36118.0,98206.0,996.0,1179.0,2.2210483932867646,0.5414354796618942,,,,,False,0.029558895576009655,,False,True,0.9964560606899607,,
bank-marketing,laplacian_ssl,1,500,,,,,,,36068.0,98053.0,991.0,1176.0,2.214266494847834,0.541387533812026,,,,,False,0.03445202500379475,,False,False,0.965620494621271,,
