dataset,method,seed,n_labeled,status,metric_balanced_accuracy,metric_macro_f1,runtime_seconds,source_tree_hash
jannis,embedding_alignment_ssl,0,250,success,0.393293612040698,0.3883692260206609,4.4768,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
jannis,embedding_alignment_ssl,0,50,success,0.350866124539941,0.348714116507659,3.9665,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
jannis,geometric_attention_ssl,0,250,success,0.3616286870712853,0.3498987887384759,17.9561,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
jannis,geometric_attention_ssl,0,50,success,0.3223421398977897,0.2874352535804642,14.5747,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
jannis,unlabeled_attention_ssl,0,250,success,0.3822340788844102,0.3823109106211196,9.3903,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
jannis,unlabeled_attention_ssl,0,50,success,0.3309267524317385,0.3060242501943583,7.5106,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
segment,embedding_alignment_ssl,0,250,success,0.6233766233766235,0.5699144272414929,3.3974,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
segment,embedding_alignment_ssl,0,50,success,0.577922077922078,0.4919160666128421,3.248,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
segment,geometric_attention_ssl,0,250,success,0.7554112554112553,0.7025895469170992,7.2824,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
segment,geometric_attention_ssl,0,50,success,0.632034632034632,0.525978194835999,4.9779,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
segment,unlabeled_attention_ssl,0,250,success,0.8787878787878788,0.8785003524198841,5.4662,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
segment,unlabeled_attention_ssl,0,50,success,0.655844155844156,0.5565670580258105,8.7672,b9c1f48daae0a38670909bfcee77dc8488c635820805cd7f3886f35130ed7e69
