method,mean_cell_rank,std_cell_rank,cells_ranked,mean_cell_balanced_accuracy,display_name
tabiclv2_self_training,3.0375,1.4605386256183288,40,0.7448479501704115,TabICLv2 self-training
tabiclv2,3.0625,1.585945887782543,40,0.7434685581907623,TabICLv2
tabpfn3_self_training,3.5375,2.208339380736761,40,0.7409827402698377,TabPFN-3 self-training
tabpfn3,3.8375,2.2400420669126864,40,0.7387021512261797,TabPFN-3
catboost,6.3875,2.014331663674593,40,0.7224738000349198,CatBoost
xgboost,7.425,2.9254629263303498,40,0.7116822941451065,XGBoost
self_training_lightgbm,7.7875,4.945714928485683,40,0.6745549177573241,Self-training LightGBM
sslae,9.1,2.9334498811345333,40,0.6903466932929458,SSLAE
unlabeled_attention_ssl,9.425,3.5147126665212807,40,0.6676635690956709,Unlabeled attention
scarf,9.55,2.183269719175042,40,0.6874457403391308,SCARF
vime,9.6875,2.6425694081562128,40,0.6855441711575753,VIME
label_spreading,10.054054054054054,4.320146254892728,37,0.6764028931708154,Label spreading
laplacian_ssl,12.4,2.6799349398915044,40,0.617476549114335,Laplacian SSL
label_propagation,13.076923076923077,3.69483719023561,39,0.6001910101703687,Label propagation
geometric_attention_ssl,13.2875,2.2783470729051327,40,0.5961591943353775,Combined geometric attention
embedding_alignment_ssl,13.85,2.270773052599105,40,0.5830789423867379,Embedding alignment
