dataset,seed,n_labeled,treatment,control,treatment_method,control_method,metric,delta
MagicTelescope,0,100,0.8192857844260417,0.8192857844260417,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,0,250,0.8343771253168655,0.8343771253168655,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,0,500,0.8494921060958179,0.8570532333911601,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.007561127295342196
MagicTelescope,0,50,0.7371289901403482,0.7371289901403482,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,1,100,0.7465949468829898,0.7465949468829898,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,1,250,0.8297700748111536,0.8297700748111536,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,1,500,0.8381740550409333,0.8416563924075953,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.003482337366661925
MagicTelescope,1,50,0.7364434333846137,0.7364434333846137,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,2,100,0.7927536469073571,0.7927536469073571,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,2,250,0.8180137765994202,0.8180137765994202,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,2,500,0.830318338370448,0.830318338370448,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
MagicTelescope,2,50,0.7481688178964865,0.7388810695412771,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.009287748355209402
bank-marketing,0,100,0.6444828618877787,0.6444828618877787,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
bank-marketing,0,250,0.612969201468254,0.612969201468254,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
bank-marketing,0,500,0.6847190443328879,0.6847190443328879,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
bank-marketing,0,50,0.5018395786996649,0.5018395786996649,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
bank-marketing,1,100,0.6379127096765793,0.5897272532501275,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.04818545642645178
bank-marketing,1,250,0.5990407344583949,0.5990407344583949,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
bank-marketing,1,500,0.6525309151255958,0.6438246097065268,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.008706305419069027
bank-marketing,1,50,0.5969142283558609,0.5969142283558609,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
bank-marketing,2,100,0.6195642704361793,0.6195642704361793,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
bank-marketing,2,250,0.6691684431939375,0.6444105973748037,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.024757845819133872
bank-marketing,2,500,0.6214580623167494,0.6415407906838555,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,-0.020082728367106117
bank-marketing,2,50,0.56640238727387,0.56640238727387,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
electricity,0,100,0.7254452512841774,0.7254452512841774,tabpfn3_self_training,tabpfn3,metric_balanced_accuracy,0.0
