overall_rank,method,display_name,family,mean_cell_rank,median_cell_rank,mean_balanced_accuracy,std_balanced_accuracy_across_cells,mean_runtime_seconds,evaluated_cells,ranked_cells,attempted_runs,successful_runs,failed_runs,coverage_fraction
1,tabiclv2_self_training,TabICL v2 + self-training,TFM self-training,4.0625,3.5,0.7448479501704115,0.14371514045896516,11.088123333333332,40,40,120,120,0,1.0
2,tabiclv2,TabICL v2,frozen TFM,4.1375,3.5,0.7434685581907623,0.145064235765057,6.311375,40,40,120,120,0,1.0
3,tabpfn3_self_training,TabPFN-3 + self-training,TFM self-training,4.6875,3.25,0.7409827402698377,0.14921397033192496,13.326364166666668,40,40,120,120,0,1.0
4,tabpfn3,TabPFN-3,frozen TFM,5.1875,4.0,0.7387021512261797,0.15060104544617883,8.782866666666667,40,40,120,120,0,1.0
5,catboost,CatBoost,supervised,8.6625,8.5,0.7224738000349198,0.14340107572030505,5.8499625,40,40,120,120,0,1.0
6,rpl_lite_xgboost,RPL-lite XGBoost,robust pseudo-labeling,9.6625,8.5,0.7161553895461784,0.1377159684715438,20.132340833333334,40,40,120,120,0,1.0
7,self_training_xgboost,Self-training XGBoost,classical self-training,9.8875,8.5,0.7164031764568024,0.13712442226428972,13.338149999999999,40,40,120,120,0,1.0
8,self_training_catboost,Self-training CatBoost,classical self-training,10.5375,11.0,0.7139904816907751,0.14395250347782987,5.405520833333333,40,40,120,120,0,1.0
9,xgboost,XGBoost,supervised,10.625,9.0,0.7116822941451065,0.14185956363346888,3.5001958333333336,40,40,120,120,0,1.0
10,self_training_lightgbm,Self-training LightGBM,classical self-training,10.9125,8.0,0.6745549177573241,0.18649199880505013,17.066155000000002,40,40,120,120,0,1.0
11,random_forest,Random forest,supervised,11.025,11.0,0.7110611735472221,0.14942723823010265,2.300895833333333,40,40,120,120,0,1.0
12,self_training_lr,Self-training LR,classical self-training,12.15,14.0,0.7083379426213999,0.13718863898848038,0.6475383333333333,40,40,120,120,0,1.0
13,logistic_regression,Logistic regression,supervised,13.0625,14.0,0.701765319992631,0.13944910783224249,0.41464,40,40,120,120,0,1.0
14,sslae,SSLAE,neural SSL,14.0375,15.0,0.6903466932929458,0.14795764301477748,57.118550000000006,40,40,120,120,0,1.0
15,lightgbm,LightGBM,supervised,14.425,11.5,0.6625653947261381,0.18660268113252612,3.41522,40,40,120,120,0,1.0
16,unlabeled_attention_ssl,Unlabeled attention SSL,geometric SSL,14.675,16.5,0.6676635690956709,0.17214007403984075,4.950359166666667,40,40,120,120,0,1.0
17,scarf,SCARF,neural SSL,14.7625,15.0,0.6874457403391308,0.1520415544782343,177.33605083333333,40,40,120,120,0,1.0
18,vime,VIME,neural SSL,15.2,16.0,0.6855441711575753,0.15431725905223923,263.44231083333335,40,40,120,120,0,1.0
19,rpl_lr,RPL LR,robust pseudo-labeling,16.3,16.0,0.6846373347058354,0.13927928518183819,1.0709391666666668,40,40,120,120,0,1.0
20,label_spreading,Label spreading,graph SSL,16.625,19.0,0.6764028931708154,0.14416385788655212,11.908326576576576,37,40,120,105,15,0.875
21,laplacian_ssl,Laplacian SSL,geometric SSL,19.2875,21.0,0.617476549114335,0.17669230251128412,7.605147499999999,40,40,120,120,0,1.0
22,label_propagation,Label propagation,graph SSL,20.35,22.5,0.6001910101703687,0.15688770784971917,11.785828632478632,39,40,120,111,9,0.925
23,geometric_attention_ssl,Combined geometric + attention SSL,geometric SSL,20.5375,22.0,0.5961591943353775,0.18006440751241762,9.465886666666666,40,40,120,120,0,1.0
24,embedding_alignment_ssl,Embedding alignment SSL,geometric SSL,21.55,22.0,0.5830789423867379,0.15677736349859928,3.5704841666666667,40,40,120,120,0,1.0
25,mlp,MLP,supervised,22.775,23.0,0.5625840405149024,0.16023006276711624,0.5521266666666667,40,40,120,120,0,1.0
