method,n_labeled,mean_balanced_accuracy,standard_error,runs,display_name
catboost,50,0.6732126087519755,0.025412946902828654,30,CatBoost
catboost,100,0.7084769986103533,0.02498978372419,30,CatBoost
catboost,250,0.7427526603254122,0.026451968772232604,30,CatBoost
catboost,500,0.7654529324519379,0.026198332671137914,30,CatBoost
sslae,50,0.6295931709799628,0.02914368935374878,30,SSLAE
sslae,100,0.6800003599311655,0.02650177888158608,30,SSLAE
sslae,250,0.7227219564172409,0.027512353682142478,30,SSLAE
sslae,500,0.7290712858434143,0.027695694189260413,30,SSLAE
tabiclv2,50,0.6965577351515349,0.026137587998458917,30,TabICL v2
tabiclv2,100,0.7329925511734119,0.026718015617128412,30,TabICL v2
tabiclv2,250,0.7631795746606727,0.026295740379039582,30,TabICL v2
tabiclv2,500,0.7811443717774298,0.02550078755379897,30,TabICL v2
tabiclv2_self_training,50,0.698095427434349,0.026065524728120328,30,TabICL v2 + self-training
tabiclv2_self_training,100,0.7354750054348482,0.02647909996207082,30,TabICL v2 + self-training
tabiclv2_self_training,250,0.7646803752617325,0.025727692643874752,30,TabICL v2 + self-training
tabiclv2_self_training,500,0.7811409925507163,0.025332135065792766,30,TabICL v2 + self-training
tabpfn3,50,0.6866723504575598,0.02969420887539417,30,TabPFN-3
tabpfn3,100,0.7298827566578119,0.027170399194910235,30,TabPFN-3
tabpfn3,250,0.7581310515354621,0.026551227200165686,30,TabPFN-3
tabpfn3,500,0.7801224462538846,0.02568872939823604,30,TabPFN-3
tabpfn3_self_training,50,0.6915467544229551,0.028976312253363827,30,TabPFN-3 + self-training
tabpfn3_self_training,100,0.7324120508914496,0.026729760004277636,30,TabPFN-3 + self-training
tabpfn3_self_training,250,0.7608379435842209,0.026743911326702726,30,TabPFN-3 + self-training
tabpfn3_self_training,500,0.7791342121807251,0.025674613237664956,30,TabPFN-3 + self-training
unlabeled_attention_ssl,50,0.5903749818835201,0.03173239349210269,30,Unlabeled attention SSL
unlabeled_attention_ssl,100,0.6404178792878309,0.03328212046692852,30,Unlabeled attention SSL
unlabeled_attention_ssl,250,0.6979407864352716,0.030757399534451474,30,Unlabeled attention SSL
unlabeled_attention_ssl,500,0.7419206287760615,0.026611733159415535,30,Unlabeled attention SSL
xgboost,50,0.6494628532327841,0.024407341914101023,30,XGBoost
xgboost,100,0.6953688773188342,0.02442080584450965,30,XGBoost
xgboost,250,0.7377226584544841,0.025257899495150827,30,XGBoost
xgboost,500,0.7641747875743236,0.02595436082330069,30,XGBoost
